"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Miguel Montero",29,"C","Vet",1e+07,0,0,1e+07,1e+07,11.32,0
"Heath Bell",35,"RP","Vet",9e+06,1e+06,0,1e+07,1e+07,11.32,0
"Martin Prado",29,"3B","Arb 3",7e+06,0,0,7e+06,7e+06,7.93,0
"J.J. Putz",36,"RP","Vet",6500000,0,0,6500000,6500000,7.36,0
"Cody Ross",32,"RF","Vet",5e+06,1e+06,0,6e+06,6e+06,6.79,0
"Trevor Cahill",25,"RP","Arb 2",5500000,2e+05,0,5700000,5700000,6.45,0
"Aaron Hill",31,"3B","Vet",5500000,0,0,5500000,5500000,6.23,0
"Brandon McCarthy",29,"SP","Vet",4e+06,1250000,0,5250000,5250000,5.94,0
"Brad Ziegler",33,"RP","Arb 2",3150000,0,0,3150000,3150000,3.57,0
"Gerardo Parra",26,"LF","Arb 1",2350000,0,0,2350000,2350000,2.66,0
"Willie Bloomquist",35,"2B","Vet",1900000,0,0,1900000,1900000,2.15,0
"Cliff Pennington",29,"SS","Arb 1",1250000,5e+05,0,1750000,1750000,1.98,0
"David Hernandez",28,"RP","Arb 1",1250000,125000,0,1375000,1375000,1.56,0
"Tony Sipp",29,"RP","Arb 1",1275000,0,0,1275000,1275000,1.44,0
"Wil Nieves",35,"C","Vet",8e+05,0,0,8e+05,8e+05,0.91,0
"Daniel Hudson",26,"RP","Pre-Arb",518500,0,0,518500,518500,0.59,0
"Matt Reynolds",28,"RP","Pre-Arb",505500,0,0,505500,505500,0.57,0
"Josh Collmenter",27,"RP","Pre-Arb",504000,0,0,504000,504000,0.57,0
"Wade Miley",26,"SP","Pre-Arb",500500,0,0,500500,500500,0.57,0
"Paul Goldschmidt",25,"1B","Vet",5e+05,0,0,5e+05,5e+05,0.57,0
"Patrick Corbin",24,"SP","Pre-Arb",494000,0,0,494000,494000,0.56,0
"Adam Eaton",24,"RF","Pre-Arb",491000,0,0,491000,491000,0.56,0
"Didi Gregorius",23,"SS","Pre-Arb",491000,0,0,491000,491000,0.56,0
"A.J. Pollock",25,"CF","Pre-Arb",491000,0,0,491000,491000,0.56,0
"Joe Thatcher",31,"RP","Arb 2",1350000,0,0,1350000,457378,0.52,0
"Will Harris",28,"RP","Pre-Arb",490000,0,0,490000,388251,0.44,0
"Josh Wilson",32,"2B","Pre-Arb",650000,0,0,650000,294808,0.33,0
"Randall Delgado",23,"RP","Pre-Arb",495000,0,0,495000,292131,0.33,0
"Eury De La Rosa",23,"RP","Pre-Arb",490000,0,0,490000,163333,0.18,0
"Tuffy Gosewisch",29,"C","Pre-Arb",490000,0,0,490000,141912,0.16,0
"Matt Davidson",22,"DH","Pre-Arb",490000,0,0,490000,133879,0.15,0
"Chaz Roe",26,"RP","Pre-Arb",490000,0,0,490000,133879,0.15,0
"Chris Owings",21,"2B","Pre-Arb",490000,0,0,490000,74972,0.08,0
