"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Freddie Freeman",27,"1B","Vet",20500000,359375,0,20859375,20859375,19.82,"16,875,000"
"Nick Markakis",33,"RF","Vet",10500000,5e+05,0,1.1e+07,1.1e+07,10.45,"11,000,000"
"Matt Kemp",32,"RF","Vet",21500000,0,0,21500000,9500000,9.03,"20,000,000"
"R.A. Dickey",42,"SP","Vet",7500000,0,0,7500000,7500000,7.13,"8,000,000"
"Julio Teheran",26,"SP","Vet",6300000,166666,0,6466666,6466666,6.15,"5,400,000"
"Jim Johnson",34,"RP","Vet",4500000,5e+05,5e+05,5500000,5500000,5.23,"5,000,000"
"Tyler Flowers",31,"C","Arb 3",3e+06,0,6e+05,3600000,3600000,3.42,"2,650,000"
"Ender Inciarte",26,"CF","Arb 1",2e+06,7e+05,0,2700000,2700000,2.57,"6,105,000"
"Matt Adams",28,"1B","Arb 2",2800000,0,0,2800000,2065573,1.96,"2,800,000"
"Kurt Suzuki",33,"C","Vet",1500000,0,1e+05,1600000,1600000,1.52,"3,500,000"
"Arodys Vizcaino",26,"RP/CL","Arb 2",1550000,0,0,1550000,1550000,1.47,"1,550,000"
"Ian Krol",26,"RP","Arb 1",9e+05,0,0,9e+05,9e+05,0.86,"900,000"
"Adonis Garcia",32,"3B","Pre-Arb",547500,0,0,547500,547500,0.52,"547,500"
"Daniel Winkler",27,"RP","Pre-Arb",545000,0,0,545000,545000,0.52,"545,000"
"Mike Foltynewicz",25,"SP","Pre-Arb",544000,0,0,544000,544000,0.52,"544,000"
"Jose Ramirez",27,"RP","Pre-Arb",536250,0,0,536250,536250,0.51,"536,250"
"Dansby Swanson",23,"SS","Pre-Arb",540000,0,0,540000,498719,0.47,"540,000"
"Jason Motte",35,"RP","Vet",535000,0,0,535000,461834,0.44,"535,000"
"Sam Freeman",30,"RP","Pre-Arb",535000,0,0,535000,441373,0.42,"535,000"
"Jace Peterson",27,"LF","Pre-Arb",555000,0,0,555000,424620,0.4,"555,000"
"Luke Jackson",25,"RP","Pre-Arb",535000,0,0,535000,412143,0.39,"535,000"
"Johan Camargo",23,"SS","Pre-Arb",535000,0,0,535000,394605,0.38,"535,000"
"Micah Johnson",26,"CF","Pre-Arb",535000,0,0,535000,379990,0.36,"535,000"
"Lane Adams",27,"RF","Pre-Arb",535000,0,0,535000,347837,0.33,"535,000"
"Sean Newcomb",24,"SP","Pre-Arb",535000,0,0,535000,330299,0.31,"535,000"
"Rio Ruiz",23,"3B","Pre-Arb",535000,0,0,535000,295223,0.28,"535,000"
"Rex Brothers",29,"RP","Arb 1",535000,0,0,535000,245532,0.23,"535,000"
"Matt Wisler",24,"RP","Pre-Arb",535000,0,0,535000,216302,0.21,"535,000"
"Ozzie Albies",20,"SS","Pre-Arb",535000,0,0,535000,181226,0.17,"535,000"
"Lucas Sims",23,"SP","Pre-Arb",535000,0,0,535000,181226,0.17,"535,000"
"Max Fried",23,"RP","Pre-Arb",535000,0,0,535000,143227,0.14,"535,000"
"A.J. Minter",23,"RP/CL","Pre-Arb",535000,0,0,535000,116920,0.11,"535,000"
"David Freitas",28,"C","Pre-Arb",535000,0,0,535000,96459,0.09,"535,000"
"Luiz Gohara",20,"SP","Pre-Arb",535000,0,0,535000,78921,0.08,"535,000"
"Tony Sanchez",29,"C","Pre-Arb",535000,0,0,535000,52614,0.05,"535,000"
