"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Nick Markakis",29,"RF","Vet",1.5e+07,350000,0,15350000,15350000,15.29,0
"Brian Roberts",35,"2B","Vet",1e+07,0,0,1e+07,1e+07,9.96,0
"Adam Jones",27,"CF","Arb 3",8500000,333333,75000,8908333,8908333,8.87,0
"J.J. Hardy",30,"SS","Vet",7e+06,416667,0,7416667,7416667,7.39,0
"Jason Hammel",30,"SP","Arb 4",6750000,0,0,6750000,6750000,6.72,0
"Jim Johnson",30,"RP","Arb 3",6500000,0,0,6500000,6500000,6.47,0
"Matt Wieters",27,"C","Arb 1",5500000,0,0,5500000,5500000,5.48,0
"Tsuyoshi Wada",32,"SP","Pre-Arb",4200000,0,0,4200000,4200000,4.18,0
"Wei-Yin Chen",28,"SP","Pre-Arb",3572000,83333,0,3655333,3655333,3.64,0
"Chris Davis",27,"1B","Arb 1",3300000,0,50000,3350000,3350000,3.34,0
"Scott Feldman",30,"SP","Vet",6e+06,0,0,6e+06,2983606,2.97,0
"Darren O'Day",30,"RP","Arb 2",2200000,0,0,2200000,2200000,2.19,0
"Nate McLouth",31,"LF","Vet",2e+06,0,0,2e+06,2e+06,1.99,0
"Tommy Hunter",27,"RP","Arb 1",1820000,0,0,1820000,1820000,1.81,0
"Alexi Casilla",28,"2B","Arb 3",1700000,0,0,1700000,1700000,1.69,0
"Brian Matusz",26,"RP","Pre-Arb",1600000,0,0,1600000,1600000,1.59,0
"Francisco Rodriguez",31,"RP","Vet",2e+06,0,0,2e+06,1256831,1.25,0
"Dylan Bundy",20,"SP","Pre-Arb",445000,8e+05,0,1245000,1245000,1.24,0
"Mike Morse",31,"LF","Arb 3",6750000,0,0,6750000,1180327,1.18,0
"Bud Norris",28,"SP","Arb 1",3e+06,0,0,3e+06,1016393,1.01,0
"Nolan Reimold",29,"LF","Pre-Arb",1e+06,0,0,1e+06,1e+06,1,0
"Troy Patton",27,"RP","Arb 1",815000,0,0,815000,815000,0.81,0
"Steven Pearce",30,"LF","Arb 1",7e+05,0,0,7e+05,7e+05,0.7,0
"Taylor Teagarden",29,"C","Pre-Arb",650000,0,0,650000,650000,0.65,0
"Manny Machado",20,"3B","Pre-Arb",495000,0,25000,520000,520000,0.52,0
"Chris Tillman",25,"SP","Pre-Arb",508500,0,0,508500,508500,0.51,0
"Miguel Gonzalez",29,"SP","Pre-Arb",502000,0,0,502000,502000,0.5,0
"T.J. McFarland",24,"RP","Pre-Arb",490000,0,0,490000,490000,0.49,0
"Ryan Flaherty",26,"3B","Pre-Arb",493500,0,0,493500,450352,0.45,0
"Chris Dickerson",31,"LF","Pre-Arb",490000,0,0,490000,358797,0.36,0
"Kevin Gausman",22,"SP","Pre-Arb",490000,0,0,490000,348087,0.35,0
"Steve Johnson",25,"RP","Pre-Arb",495000,0,0,495000,346229,0.34,0
"Danny Valencia",28,"3B","Pre-Arb",490000,0,0,490000,281147,0.28,0
"Steve Clevenger",27,"C","Pre-Arb",496000,0,0,496000,246644,0.25,0
"Henry Urrutia",26,"DH","Pre-Arb",490000,0,0,490000,195464,0.19,0
"Zach Britton",25,"RP","Pre-Arb",490000,0,0,490000,149945,0.15,0
"Jonathan Schoop",21,"2B","Pre-Arb",490000,0,0,490000,74972,0.07,0
"Dan Johnson",33,"1B","Pre-Arb",490000,0,0,490000,48196,0.05,0
"Mike Belfiore",24,"SP","Pre-Arb",490000,0,0,490000,32131,0.03,0
"Jason Pridie",29,"RF","Pre-Arb",490000,0,0,490000,16065,0.02,0
