"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jon Lester",32,"SP","Vet",2e+07,5e+06,0,2.5e+07,2.5e+07,13.56,"25,833,333"
"Jason Heyward",26,"RF","Vet",1.5e+07,6666666,0,21666666,21666666,11.75,"23,000,000"
"John Lackey",37,"SP","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,8.68,"16,000,000"
"Miguel Montero",32,"C","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,7.59,"12,000,000"
"Jake Arrieta",30,"SP","Arb 2",10700000,0,0,10700000,10700000,5.8,"10,700,000"
"Ben Zobrist",35,"2B","Vet",1e+07,5e+05,0,10500000,10500000,5.7,"14,000,000"
"Jason Hammel",33,"SP","Vet",9e+06,0,0,9e+06,9e+06,4.88,"10,000,000"
"Dexter Fowler",30,"CF","Vet",8e+06,0,0,8e+06,8e+06,4.34,"13,000,000"
"Travis Wood",29,"SP","Arb 3",6170000,0,0,6170000,6170000,3.35,"6,170,000"
"Anthony Rizzo",26,"1B","Vet",5e+06,285714,0,5285714,5285714,2.87,"5,857,143"
"Pedro Strop",31,"RP","Arb 3",4400000,0,0,4400000,4400000,2.39,"4,400,000"
"Aroldis Chapman",28,"RP/CL","Arb 3",11325000,0,0,11325000,4331967,2.35,"11,325,000"
"Trevor Cahill",28,"RP","Vet",4250000,0,0,4250000,4250000,2.31,"4,250,000"
"Hector Rondon",28,"RP/CL","Arb 1",4200000,0,0,4200000,4200000,2.28,"4,200,000"
"Jorge Soler",24,"LF","Pre-Arb",3e+06,666667,0,3666667,3666667,1.99,"3,333,333"
"Chris Coghlan",31,"LF","Arb 3",4800000,0,0,4800000,3042680,1.65,"4,800,000"
"David Ross",39,"C","Vet",2250000,250000,0,2500000,2500000,1.36,"2,500,000"
"Joe Smith",32,"RP","Vet",5250000,0,0,5250000,1807377,0.98,"5,250,000"
"Justin Grimm",27,"RP","Arb 1",1275000,0,0,1275000,1275000,0.69,"1,275,000"
"Kris Bryant",24,"3B","Pre-Arb",652000,0,0,652000,652000,0.35,"652,000"
"Kyle Hendricks",26,"SP","Pre-Arb",541000,0,0,541000,541000,0.29,"541,000"
"Addison Russell",22,"SS","Pre-Arb",527000,0,0,527000,527000,0.29,"527,000"
"Kyle Schwarber",23,"LF","Pre-Arb",522000,0,0,522000,522000,0.28,"522,000"
"Javier Baez",23,"2B","Pre-Arb",521000,0,0,521000,521000,0.28,"521,000"
"Matt Szczur",26,"CF","Pre-Arb",511500,0,0,511500,511500,0.28,"511,500"
"Tommy La Stella",27,"2B","Pre-Arb",532000,0,0,532000,438957,0.24,"532,000"
"Willson Contreras",24,"C","Pre-Arb",507500,0,0,507500,299484,0.16,"507,500"
"C.J. Edwards",24,"RP","Pre-Arb",507500,0,0,507500,293938,0.16,"507,500"
"Tim Federowicz",29,"C","Pre-Arb",507500,0,0,507500,213521,0.12,"507,500"
"Mike Montgomery",27,"RP","Pre-Arb",515000,0,0,515000,211050,0.11,"515,000"
"Spencer Patton",28,"RP","Pre-Arb",507500,0,0,507500,210748,0.11,"507,500"
"Albert Almora",22,"CF","Pre-Arb",507500,0,0,507500,202429,0.11,"507,500"
"Felix Pena",26,"RP","Pre-Arb",507500,0,0,507500,124785,0.07,"507,500"
"Rob Zastryzny",24,"P","Pre-Arb",507500,0,0,507500,124785,0.07,"507,500"
"Munenori Kawasaki",35,"SS","Arb 1",507500,0,0,507500,99828,0.05,"507,500"
"Jake Buchanan",26,"RP","Pre-Arb",507500,0,0,507500,88736,0.05,"507,500"
