"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jose Abreu",31,"1B","Arb 2",1.3e+07,0,0,1.3e+07,1.3e+07,18.1,"13,000,000"
"James Shields",36,"SP","Vet",2.1e+07,0,0,2.1e+07,1e+07,13.92,"18,750,000"
"Welington Castillo",31,"C","Vet",7250000,0,0,7250000,7250000,10.09,"7,500,000"
"Avisail Garcia",27,"RF","Arb 3",6700000,0,0,6700000,6700000,9.33,"6,700,000"
"Nate Jones",32,"RP","Vet",3950000,0,0,3950000,3950000,5.5,"2,666,667"
"Yolmer Sanchez",26,"3B","Arb 1",2350000,0,0,2350000,2350000,3.27,"2,350,000"
"Carlos Rodon",25,"SP","Arb 1",2300000,0,0,2300000,2300000,3.2,"2,300,000"
"Hector Santiago",30,"RP","Vet",2e+06,0,0,2e+06,2e+06,2.78,"2,000,000"
"Leury Garcia",27,"RF","Arb 1",1175000,0,0,1175000,1175000,1.64,"1,175,000"
"Tim Anderson",25,"SS","Pre-Arb",1e+06,0,0,1e+06,1e+06,1.39,"4,166,667"
"Matt Davidson",27,"DH","Pre-Arb",570000,0,0,570000,570000,0.79,"570,000"
"Omar Narvaez",26,"C","Pre-Arb",560000,0,0,560000,560000,0.78,"560,000"
"Lucas Giolito",23,"SP","Pre-Arb",555000,0,0,555000,555000,0.77,"555,000"
"Reynaldo Lopez",24,"SP","Pre-Arb",555000,0,0,555000,555000,0.77,"555,000"
"Yoan Moncada",23,"2B","Pre-Arb",555000,0,0,555000,555000,0.77,"555,000"
"Nicky Delmonico",25,"LF","Pre-Arb",553000,0,0,553000,553000,0.77,"553,000"
"Adam Engel",26,"CF","Pre-Arb",552000,0,0,552000,552000,0.77,"552,000"
"Daniel Palka",26,"LF","Pre-Arb",545000,0,0,545000,468800,0.65,"545,000"
"Jace Fry",24,"RP","Pre-Arb",545000,0,0,545000,439500,0.61,"545,000"
"Dylan Covey",26,"SP","Pre-Arb",545000,0,0,545000,398480,0.55,"545,000"
"Juan Minaya",27,"RP","Pre-Arb",558000,0,0,558000,381000,0.53,"558,000"
"Kevan Smith",30,"C","Pre-Arb",545000,0,0,545000,345740,0.48,"545,000"
"Aaron Bummer",24,"RP","Pre-Arb",549000,0,0,549000,293000,0.41,"549,000"
"Jeanmar Gomez",30,"RP","Vet",545000,0,0,545000,240260,0.33,"545,000"
"Jose Rondon",24,"SS","Pre-Arb",545000,0,0,545000,237330,0.33,"545,000"
"Ryan LaMarre",29,"CF","Pre-Arb",580000,0,0,580000,199552,0.28,"580,000"
"Thyago Vieira",25,"SP","Pre-Arb",545000,0,0,545000,196310,0.27,"545,000"
"Ryan Burr",24,"RP","Pre-Arb",545000,0,0,545000,117200,0.16,"545,000"
"Ian Hamilton",23,"RP","Pre-Arb",545000,0,0,545000,90830,0.13,"545,000"
"Ryan Cordell",26,"OF","Pre-Arb",545000,0,0,545000,82040,0.11,"545,000"
"Jose Ruiz",23,"RP","Pre-Arb",545000,0,0,545000,79110,0.11,"545,000"
"Rob Scahill",31,"RP","Arb 1",545000,0,0,545000,67390,0.09,"545,000"
