"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joey Votto",34,"1B","Vet",2.5e+07,0,75000,25075000,25075000,25,"22,500,000"
"Homer Bailey",32,"SP","Vet",2.1e+07,0,0,2.1e+07,2.1e+07,20.94,"17,500,000"
"Scooter Gennett",28,"2B","Arb 2",5700000,0,0,5700000,5700000,5.68,"5,700,000"
"Raisel Iglesias",28,"RP/CL","Pre-Arb",4500000,714285,0,5214285,5214285,5.2,"3,857,143"
"Billy Hamilton",27,"CF","Arb 2",4600000,0,0,4600000,4600000,4.59,"4,600,000"
"Tucker Barnhart",27,"C","Pre-Arb",4e+06,437500,0,4437500,4437500,4.42,"4,000,000"
"Jared Hughes",32,"RP","Arb 3",2125000,0,750000,2875000,2875000,2.87,"2,125,000"
"David Hernandez",33,"RP","Vet",2500000,0,3e+05,2800000,2800000,2.79,"2,500,000"
"Eugenio Suarez",26,"3B","Arb 1",2250000,285714,0,2535714,2535714,2.53,"11,000,000"
"Michael Lorenzen",26,"RP","Arb 1",1312500,0,0,1312500,1312500,1.31,"1,312,500"
"Anthony DeSclafani",28,"SP","Arb 1",860000,0,0,860000,860000,0.86,"860,000"
"Scott Schebler",27,"RF","Pre-Arb",580000,0,0,580000,580000,0.58,"580,000"
"Jose Peraza",23,"SS","Pre-Arb",570000,0,0,570000,570000,0.57,"570,000"
"Luis Castillo",25,"SP","Pre-Arb",555000,0,0,555000,555000,0.55,"555,000"
"Amir Garrett",26,"RP","Pre-Arb",545000,0,0,545000,545000,0.54,"545,000"
"Sal Romano",24,"SP","Pre-Arb",545000,0,0,545000,545000,0.54,"545,000"
"Tyler Mahle",23,"SP","Pre-Arb",545000,0,0,545000,451220,0.45,"545,000"
"Wandy Peralta",26,"RP","Pre-Arb",557500,0,0,557500,449550,0.45,"557,500"
"Jackson Stephens",24,"RP","Pre-Arb",545000,0,0,545000,404340,0.4,"545,000"
"Curt Casali",29,"C","Pre-Arb",545000,0,0,545000,357460,0.36,"545,000"
"Brandon Dixon",26,"2B","Pre-Arb",545000,0,0,545000,336950,0.34,"545,000"
"Phillip Ervin",25,"CF","Pre-Arb",545000,0,0,545000,301790,0.3,"545,000"
"Dilson Herrera",24,"2B","Pre-Arb",545000,0,0,545000,254910,0.25,"545,000"
"Cody Reed",22,"RP","Pre-Arb",545000,0,0,545000,210960,0.21,"545,000"
"Mason Williams",26,"CF","Pre-Arb",545000,0,0,545000,196310,0.2,"545,000"
"Matt Wisler",25,"RP","Pre-Arb",545000,0,0,545000,90830,0.09,"545,000"
"Lucas Sims",24,"SP","Pre-Arb",545000,0,0,545000,87900,0.09,"545,000"
"Blake Trahan",24,"SS","Pre-Arb",545000,0,0,545000,87900,0.09,"545,000"
"Jesus Reyes",25,"RP","Pre-Arb",545000,0,0,545000,76180,0.08,"545,000"
"Matt Harvey",29,"SP","Arb 3",5625000,0,0,5625000,0,0,"5,625,000"
