"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Nick Swisher",32,"OF","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,11.83,0
"Chris Perez",28,"RP","Arb 3",7300000,0,0,7300000,7300000,7.85,0
"Michael Bourn",30,"CF","Vet",7e+06,0,0,7e+06,7e+06,7.53,0
"Asdrubal Cabrera",27,"2B","Arb 3",6500000,0,0,6500000,6500000,6.99,0
"Ubaldo Jimenez",29,"SP","Vet",5750000,0,0,5750000,5750000,6.18,0
"Justin Masterson",28,"RP","Arb 2",5678500,0,0,5678500,5678500,6.11,0
"Joe Smith",29,"RP","Arb 3",3150000,0,0,3150000,3150000,3.39,0
"Drew Stubbs",28,"CF","Arb 1",2825000,0,0,2825000,2825000,3.04,0
"Scott Kazmir",29,"SP","Vet",1e+06,0,1750000,2750000,2750000,2.96,0
"Mike Aviles",32,"3B","Arb 2",1750000,5e+05,0,2250000,2250000,2.42,0
"Matt Albers",30,"RP","Arb 4",1750000,0,0,1750000,1750000,1.88,0
"Ryan Raburn",32,"LF","Arb 3",1e+06,0,750000,1750000,1750000,1.88,0
"Jason Kubel",31,"LF","Vet",7500000,0,0,7500000,1311475,1.41,0
"Rich Hill",33,"SP","Arb 3",1e+06,0,0,1e+06,1e+06,1.08,0
"Jason Giambi",42,"DH","Vet",750000,0,0,750000,750000,0.81,0
"Carlos Santana",27,"1B","Pre-Arb",550000,2e+05,0,750000,750000,0.81,0
"Blake Wood",27,"RP","Pre-Arb",560000,0,0,560000,560000,0.6,0
"Michael Brantley",26,"LF","Pre-Arb",526900,0,0,526900,526900,0.57,0
"Jason Kipnis",26,"2B","Pre-Arb",509400,0,0,509400,509400,0.55,0
"Josh Tomlin",28,"SP","Pre-Arb",501800,0,0,501800,501800,0.54,0
"Bryan Shaw",25,"RP","Pre-Arb",501700,0,0,501700,501700,0.54,0
"Zach McAllister",25,"RP","Pre-Arb",496400,0,0,496400,496400,0.53,0
"Cody Allen",24,"RP/CL","Pre-Arb",492600,0,0,492600,492600,0.53,0
"Corey Kluber",27,"SP","Pre-Arb",491800,0,0,491800,491800,0.53,0
"Yan Gomes",25,"C","Pre-Arb",490000,0,0,490000,457868,0.49,0
"Vinnie Pestano",28,"RP","Pre-Arb",501900,0,0,501900,411393,0.44,0
"Lonnie Chisenhall",24,"RF","Pre-Arb",492900,0,0,492900,395936,0.43,0
"Marc Rzepczynski",27,"RP","Pre-Arb",1100000,0,0,1100000,378688,0.41,0
"Nick Hagadone",27,"RP","Pre-Arb",492100,0,0,492100,258150,0.28,0
"Preston Guilmet",25,"RP","Pre-Arb",490000,0,0,490000,227595,0.24,0
"Carlos Carrasco",26,"SP","Pre-Arb",490000,0,0,490000,214207,0.23,0
"Danny Salazar",23,"SP","Pre-Arb",490000,0,0,490000,147267,0.16,0
"C.C. Lee",26,"RP","Pre-Arb",490000,0,0,490000,104426,0.11,0
"Matt Carson",32,"LF","Pre-Arb",490000,0,0,490000,88360,0.1,0
