"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jorge De La Rosa",32,"RP","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,13.88,0
"Michael Cuddyer",34,"LF","Vet",10500000,0,0,10500000,10500000,13.25,0
"Troy Tulowitzki",28,"SS","Vet",1e+07,0,25000,10025000,10025000,12.65,0
"Carlos Gonzalez",27,"RF","Vet",7500000,428571,50000,7978571,7978571,10.06,0
"Todd Helton",39,"1B","Vet",5e+06,0,0,5e+06,5e+06,6.31,0
"Rafael Betancourt",38,"RP","Vet",4250000,0,0,4250000,4250000,5.36,0
"Matt Belisle",33,"RP","Vet",4100000,0,0,4100000,4100000,5.17,0
"Dexter Fowler",27,"CF","Arb 2",3250000,5e+05,0,3750000,3750000,4.73,0
"Wilton Lopez",29,"RP","Arb 1",1762500,0,0,1762500,1762500,2.22,0
"Jhoulys Chacin",25,"SP","Arb 1",1650000,0,0,1650000,1650000,2.08,0
"Jeff Francis",32,"SP","Vet",1500000,0,0,1500000,1500000,1.89,0
"Roy Oswalt",35,"SP","Vet",2300000,0,4e+05,2700000,1307103,1.65,0
"Yorbit Torrealba",34,"C","Vet",1e+06,0,0,1e+06,1e+06,1.26,0
"Jonathan Herrera",28,"SS","Pre-Arb",9e+05,0,0,9e+05,9e+05,1.14,0
"Mitchell Boggs",29,"RP","Pre-Arb",1475000,0,0,1475000,677049,0.85,0
"Josh Outman",28,"RP","Pre-Arb",675000,0,0,675000,675000,0.85,0
"Jon Garland",33,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.63,0
"Reid Brignac",27,"3B","Pre-Arb",499000,0,0,499000,499000,0.63,0
"Rex Brothers",25,"RP","Pre-Arb",491000,0,0,491000,491000,0.62,0
"Edgmer Escalona",26,"RP","Pre-Arb",491000,0,0,491000,491000,0.62,0
"Adam Ottavino",27,"RP","Pre-Arb",491000,0,0,491000,491000,0.62,0
"Wilin Rosario",24,"1B","Pre-Arb",491000,0,0,491000,491000,0.62,0
"Corey Dickerson",24,"OF","Pre-Arb",490000,0,0,490000,490000,0.62,0
"Christian Friedrich",25,"SP","Pre-Arb",490000,0,0,490000,490000,0.62,0
"Juan Nicasio",26,"RP","Pre-Arb",491000,0,0,491000,453437,0.57,0
"Jordan Pacheco",27,"3B","Pre-Arb",491000,0,0,491000,434655,0.55,0
"Nolan Arenado",22,"3B","Pre-Arb",490000,0,0,490000,415027,0.52,0
"Tyler Chatwood",23,"SP","Pre-Arb",490000,0,0,490000,390928,0.49,0
"D.J. LeMahieu",24,"2B","Pre-Arb",490000,0,0,490000,366830,0.46,0
"Manny Corpas",30,"RP","Arb 2",490000,0,0,490000,323989,0.41,0
"Charlie Blackmon",27,"CF","Pre-Arb",490000,0,0,490000,270437,0.34,0
"Josh Rutledge",24,"SS","Pre-Arb",490000,0,0,490000,243661,0.31,0
"Drew Pomeranz",24,"SP","Pre-Arb",490000,0,0,490000,222240,0.28,0
"Rob Scahill",26,"RP","Pre-Arb",490000,0,0,490000,203497,0.26,0
"Charlie Culberson",24,"3B","Pre-Arb",490000,0,0,490000,171366,0.22,0
"Chad Bettis",24,"SP","Pre-Arb",490000,0,0,490000,163333,0.21,0
"Jeff Manship",28,"RP","Pre-Arb",490000,0,0,490000,141912,0.18,0
"Ryan Wheeler",24,"3B","Pre-Arb",490000,0,0,490000,123169,0.16,0
"Collin McHugh",26,"SP","Pre-Arb",490000,0,0,490000,77650,0.1,0
