"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jordan Zimmermann",32,"SP","Vet",2.4e+07,0,0,2.4e+07,2.4e+07,18.33,"22,000,000"
"Victor Martinez",39,"DH","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,13.74,"17,000,000"
"Nick Castellanos",26,"RF","Arb 2",6050000,0,0,6050000,6050000,4.62,"6,050,000"
"Francisco Liriano",34,"SP","Vet",4e+06,0,0,4e+06,4e+06,3.05,"4,000,000"
"James McCann",28,"C","Arb 1",2375000,0,0,2375000,2375000,1.81,"2,375,000"
"Shane Greene",29,"RP/CL","Arb 1",1950000,0,0,1950000,1950000,1.49,"1,950,000"
"Alex Wilson",31,"RP","Arb 2",1925000,0,0,1925000,1925000,1.47,"1,925,000"
"Blaine Hardy",31,"RP","Pre-Arb",795000,0,0,795000,795000,0.61,"795,000"
"Matt Boyd",27,"SP","Pre-Arb",562000,0,0,562000,562000,0.43,"562,000"
"Daniel Norris",25,"SP","Pre-Arb",561400,0,0,561400,561400,0.43,"561,400"
"Buck Farmer",27,"RP","Pre-Arb",554800,0,0,554800,554800,0.42,"554,800"
"Jacoby Jones",26,"CF","Pre-Arb",549400,0,0,549400,549400,0.42,"549,400"
"Jeimer Candelario",24,"3B","Pre-Arb",548300,0,0,548300,548300,0.42,"548,300"
"Joe Jimenez",23,"RP","Pre-Arb",547200,0,0,547200,547200,0.42,"547,200"
"Niko Goodrum",26,"2B","Pre-Arb",545000,0,0,545000,545000,0.42,"545,000"
"Victor Reyes",23,"LF","Pre-Arb",545000,0,0,545000,545000,0.42,"545,000"
"Daniel Stumpf",27,"RP","Pre-Arb",552000,0,0,552000,519400,0.4,"552,000"
"Drew VerHagen",27,"RP","Pre-Arb",551400,0,0,551400,429925,0.33,"551,400"
"Louis Coleman",32,"RP","Arb 4",545000,0,0,545000,416060,0.32,"545,000"
"Ronny Rodriguez",26,"3B","Pre-Arb",545000,0,0,545000,313510,0.24,"545,000"
"Grayson Greiner",25,"C","Pre-Arb",545000,0,0,545000,295930,0.23,"545,000"
"Mikie Mahtook",28,"LF","Pre-Arb",560400,0,0,560400,292261,0.22,"560,400"
"Jim Adduci",33,"CF","Pre-Arb",545000,0,0,545000,263700,0.2,"545,000"
"Victor Alcantara",25,"RP","Pre-Arb",545000,0,0,545000,231470,0.18,"545,000"
"Zac Reininger",25,"RP","Pre-Arb",545000,0,0,545000,146500,0.11,"545,000"
"Pete Kozma",30,"SS","Arb 1",545000,0,0,545000,120130,0.09,"545,000"
"Dawel Lugo",23,"SS","Pre-Arb",545000,0,0,545000,99620,0.08,"545,000"
"Sandy Baez",24,"SP","Pre-Arb",545000,0,0,545000,93760,0.07,"545,000"
"Matt Hall",24,"RP","Pre-Arb",545000,0,0,545000,87900,0.07,"545,000"
"Jarrod Saltalamacchia",33,"C","Vet",650000,0,0,650000,76890,0.06,"650,000"
"Christin Stewart",24,"OF","Pre-Arb",545000,0,0,545000,64460,0.05,"545,000"
"Spencer Turnbull",25,"SP","Pre-Arb",545000,0,0,545000,58600,0.04,"545,000"
"Harold Castro",24,"3B","Pre-Arb",545000,0,0,545000,29300,0.02,"545,000"
