"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Carlos Beltran",40,"DH","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,11.53,"16,000,000"
"Yulieski Gurriel",33,"1B","Pre-Arb",1.4e+07,4e+05,0,14400000,14400000,10.38,"9,500,000"
"Josh Reddick",30,"RF","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,9.37,"13,000,000"
"Brian McCann",33,"C","Vet",1.7e+07,0,0,1.7e+07,11500000,8.29,"17,000,000"
"Dallas Keuchel",29,"SP","Arb 2",9150000,0,0,9150000,9150000,6.6,"9,150,000"
"Charlie Morton",33,"SP","Vet",7e+06,0,1875000,8875000,8875000,6.4,"7,000,000"
"Luke Gregerson",33,"RP","Vet",6250000,0,0,6250000,6250000,4.51,"6,166,667"
"Tony Sipp",33,"RP","Vet",6e+06,0,0,6e+06,6e+06,4.33,"6,000,000"
"Evan Gattis",30,"C","Arb 2",5200000,0,0,5200000,5200000,3.75,"3,400,000"
"Justin Verlander",34,"SP","Vet",2.8e+07,0,0,2.8e+07,4743169,3.42,"25,714,286"
"Jose Altuve",27,"2B","Arb 3",4500000,187500,0,4687500,4687500,3.38,"3,125,000"
"Francisco Liriano",33,"RP","Vet",1.3e+07,666668,0,13666668,4475394,3.23,"13,000,000"
"George Springer",27,"RF","Arb 1",3900000,0,0,3900000,3900000,2.81,"3,900,000"
"Collin McHugh",30,"SP","Arb 1",3850000,0,0,3850000,3850000,2.78,"3,850,000"
"Marwin Gonzalez",28,"LF","Arb 3",3725000,0,0,3725000,3725000,2.69,"3,725,000"
"Michael Fiers",32,"SP","Arb 1",3450000,0,0,3450000,3450000,2.49,"3,450,000"
"Will Harris",32,"RP","Arb 1",2200000,0,0,2200000,2200000,1.59,"2,500,000"
"Tyler Clippard",32,"RP","Vet",4150000,2e+06,0,6150000,1646743,1.19,"6,125,000"
"Cameron Maybin",30,"CF","Vet",9e+06,0,0,9e+06,1573760,1.13,"5,000,000"
"Jake Marisnick",26,"CF","Arb 1",1100000,0,0,1100000,1100000,0.79,"1,100,000"
"Chris Devenski",26,"RP","Pre-Arb",554500,0,0,554500,554500,0.4,"554,500"
"Ken Giles",26,"RP/CL","Pre-Arb",550100,0,0,550100,550100,0.4,"550,100"
"Lance McCullers",23,"SP","Pre-Arb",548000,0,0,548000,548000,0.4,"548,000"
"Brad Peacock",29,"SP","Arb 1",541500,0,0,541500,541500,0.39,"541,500"
"Alex Bregman",23,"SS","Pre-Arb",539400,0,0,539400,539400,0.39,"539,400"
"Carlos Correa",22,"SS","Pre-Arb",535000,0,0,535000,535000,0.39,"535,000"
"J.D. Davis",24,"3B","Pre-Arb",535000,0,0,535000,535000,0.39,"535,000"
"Michael Feliz",24,"RP","Pre-Arb",546200,0,0,546200,534315,0.39,"546,200"
"Joe Musgrove",24,"SP","Pre-Arb",543400,0,0,543400,510668,0.37,"543,400"
"James Hoyt",30,"P","Pre-Arb",535000,0,0,535000,420912,0.3,"535,000"
"Francis Martes",21,"RP","Pre-Arb",535000,0,0,535000,339068,0.24,"535,000"
"Colin Moran",24,"3B","Pre-Arb",535000,0,0,535000,222148,0.16,"535,000"
"Derek Fisher",23,"OF","Pre-Arb",535000,0,0,535000,216302,0.16,"535,000"
"Reymin Guduan",25,"P","Pre-Arb",535000,0,0,535000,195841,0.14,"535,000"
"Juan Centeno",27,"C","Pre-Arb",535000,0,0,535000,169534,0.12,"535,000"
"Max Stassi",26,"C","Pre-Arb",535000,0,0,535000,143227,0.1,"535,000"
"Tyler White",26,"1B","Pre-Arb",535000,0,0,535000,134458,0.1,"535,000"
"Tony Kemp",25,"LF","Pre-Arb",535000,0,0,535000,102305,0.07,"535,000"
"A.J. Reed",24,"1B","Pre-Arb",535000,0,0,535000,17538,0.01,"535,000"
"Preston Tucker",26,"RF","Pre-Arb",0,0,0,0,0,0,"0"
