"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ervin Santana",30,"SP","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,15.4,0
"James Shields",31,"SP","Vet",10250000,0,0,10250000,10250000,12.14,0
"Alex Gordon",29,"LF","Arb 4",9e+06,0,50000,9050000,9050000,10.72,0
"Billy Butler",27,"DH","Arb 3",8e+06,5e+05,0,8500000,8500000,10.07,0
"Jeremy Guthrie",34,"SP","Vet",5e+06,0,0,5e+06,5e+06,5.92,0
"Luke Hochevar",29,"RP","Arb 3",4560000,0,0,4560000,4560000,5.4,0
"Bruce Chen",36,"RP","Vet",4500000,0,0,4500000,4500000,5.33,0
"Alcides Escobar",26,"SS","Arb 1",3e+06,0,0,3e+06,3e+06,3.55,0
"Wade Davis",27,"RP/CL","Vet",2800000,0,0,2800000,2800000,3.32,0
"Felipe Paulino",29,"SP","Arb 3",1750000,0,0,1750000,1750000,2.07,0
"Aaron Crow",26,"RP","Pre-Arb",1280000,0,0,1280000,1280000,1.52,0
"Chris Getz",29,"2B","Arb 2",1050000,0,0,1050000,1050000,1.24,0
"Salvador Perez",23,"C","Vet",1e+06,0,50000,1050000,1050000,1.24,0
"Jamey Carroll",39,"2B","Vet",3750000,0,0,3750000,1008064,1.19,0
"George Kottaras",30,"C","Arb 2",1e+06,0,0,1e+06,1e+06,1.18,0
"Emilio Bonifacio",28,"CF","Arb 2",2600000,0,0,2600000,681967,0.81,0
"Greg Holland",27,"RP","Pre-Arb",539500,0,50000,589500,589500,0.7,0
"Tim Collins",23,"RP","Pre-Arb",534500,0,0,534500,534500,0.63,0
"Luis Mendoza",29,"SP","Pre-Arb",532000,0,0,532000,532000,0.63,0
"Eric Hosmer",23,"1B","Pre-Arb",528250,0,0,528250,528250,0.63,0
"Mike Moustakas",24,"3B","Pre-Arb",524500,0,0,524500,524500,0.62,0
"Kelvin Herrera",23,"RP/CL","Pre-Arb",508175,0,0,508175,508175,0.6,0
"Everett Teaford",29,"RP","Pre-Arb",507250,0,0,507250,507250,0.6,0
"Jarrod Dyson",28,"RF","Pre-Arb",506000,0,0,506000,506000,0.6,0
"Danny Duffy",24,"SP","Pre-Arb",505125,0,0,505125,505125,0.6,0
"Lorenzo Cain",27,"CF","Pre-Arb",503175,0,0,503175,503175,0.6,0
"David Lough",27,"RF","Pre-Arb",491625,0,0,491625,491625,0.58,0
"Louis Coleman",27,"RP","Pre-Arb",511000,0,0,511000,254103,0.3,0
"Justin Maxwell",29,"LF","Pre-Arb",492500,0,0,492500,166857,0.2,0
"Will Smith",23,"RP","Pre-Arb",496500,0,0,496500,162786,0.19,0
"Johnny Giavotella",25,"2B","Pre-Arb",494000,0,0,494000,126874,0.15,0
"Brett Hayes",29,"C","Pre-Arb",6e+05,0,0,6e+05,121311,0.14,0
"Clay Mortensen",28,"RP","Pre-Arb",504500,0,0,504500,96489,0.11,0
"Francisley Bueno",32,"RP","Pre-Arb",492650,0,0,492650,88838,0.11,0
"Pedro Ciriaco",27,"SS","Pre-Arb",502500,0,0,502500,82377,0.1,0
"Carlos Pena",35,"1B","Vet",490000,0,0,490000,74972,0.09,0
"Irving Falu",30,"SS","Pre-Arb",492025,0,0,492025,37641,0.04,0
"Yordano Ventura",22,"SP","Pre-Arb",490000,0,0,490000,37486,0.04,0
"Chris Dwyer",25,"SP","Pre-Arb",490000,0,0,490000,34808,0.04,0
