"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Hiroki Kuroda",36,"SP","Pre-Arb",8e+06,4e+06,5e+05,12500000,12500000,10.53,0
"Andre Ethier",29,"CF","Arb 3",9250000,250000,0,9500000,9500000,8.01,0
"Ted Lilly",35,"SP","Vet",7e+06,1166666,0,8166666,8166666,6.88,0
"Matt Kemp",26,"RF","Arb 2",7100000,0,0,7100000,7100000,5.98,0
"Jonathan Broxton",27,"RP","Arb 3",7e+06,0,0,7e+06,7e+06,5.9,0
"Chad Billingsley",26,"SP","Arb 2",6275000,0,0,6275000,6275000,5.29,0
"Casey Blake",36,"3B","Vet",5250000,0,0,5250000,5250000,4.42,0
"Jon Garland",31,"SP","Pre-Arb",5e+06,0,0,5e+06,5e+06,4.21,0
"Juan Uribe",32,"3B","Vet",5e+06,0,0,5e+06,5e+06,4.21,0
"James Loney",27,"1B","Arb 2",4875000,0,0,4875000,4875000,4.11,0
"Rod Barajas",35,"C","Vet",3250000,0,0,3250000,3250000,2.74,0
"Hong-Chih Kuo",29,"SP","Pre-Arb",2725000,0,0,2725000,2725000,2.3,0
"Matt Guerrier",32,"RP","Vet",1500000,1e+06,0,2500000,2500000,2.11,0
"Jamey Carroll",37,"2B","Vet",1800000,5e+05,0,2300000,2300000,1.94,0
"Juan Rivera",32,"LF","Vet",5250000,0,0,5250000,2237704,1.89,0
"Vincent Padilla",33,"RP","Vet",2e+06,0,0,2e+06,2e+06,1.69,0
"Lance Cormier",30,"RP","Pre-Arb",1200000,0,0,1200000,1200000,1.01,0
"Dioner Navarro",27,"C","Arb 2",1e+06,0,0,1e+06,1e+06,0.84,0
"Marcus Thames",34,"LF","Pre-Arb",1e+06,0,0,1e+06,1e+06,0.84,0
"Tony Gwynn Jr.",28,"LF","Pre-Arb",675000,0,0,675000,675000,0.57,0
"Jay Gibbons",34,"RF","Pre-Arb",650000,0,0,650000,650000,0.55,0
"Clayton Kershaw",23,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.42,0
"Mike MacDougal",34,"RP","Vet",5e+05,0,0,5e+05,5e+05,0.42,0
"Aaron Miles",34,"2B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.42,0
"Blake Hawksworth",28,"RP","Pre-Arb",426000,0,0,426000,426000,0.36,0
"Hector Gimenez",28,"C","Pre-Arb",425000,0,0,425000,425000,0.36,0
"A.J. Ellis",30,"C","Pre-Arb",421000,0,0,421000,421000,0.35,0
"Xavier Paul",26,"LF","Pre-Arb",419500,0,0,419500,419500,0.35,0
"Kenley Jansen",23,"RP/CL","Pre-Arb",416000,0,0,416000,416000,0.35,0
"Ronald Belisario",28,"RP","Pre-Arb",414500,0,0,414500,414500,0.35,0
"Ivan DeJesus",24,"SS","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Scott Elbert",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Nathan Eovaldi",21,"SP","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Tim Federowicz",24,"C","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Dee Gordon",23,"2B","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Javy Guerra",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Josh Lindblom",24,"SP","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Jerry Sands",23,"LF","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Justin Sellers",25,"SS","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Ramon Troncoso",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.35,0
"Rubby De La Rosa",22,"SP","Pre-Arb",313245,0,0,313245,313245,0.26,0
