"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Starlin Castro",28,"2B","Vet",1e+07,857142,0,10857142,10857142,11.82,"8,571,429"
"Wei-Yin Chen",33,"SP","Vet",1e+07,0,0,1e+07,1e+07,10.89,"16,000,000"
"Dan Straily",29,"SP","Arb 1",3375000,0,0,3375000,3375000,3.68,"3,375,000"
"Derek Dietrich",28,"LF","Arb 2",2900000,0,0,2900000,2900000,3.16,"2,900,000"
"J.T. Realmuto",27,"C","Arb 1",2900000,0,0,2900000,2900000,3.16,"2,900,000"
"Miguel Rojas",29,"SS","Arb 1",1180000,0,0,1180000,1180000,1.29,"1,180,000"
"Kyle Barraclough",28,"RP","Pre-Arb",1113000,0,0,1113000,1113000,1.21,"1,113,000"
"Brett Graves",25,"RP","Pre-Arb",1090000,0,0,1090000,1090000,1.19,"1,090,000"
"Elieser Hernandez",23,"RP","Pre-Arb",1090000,0,0,1090000,1090000,1.19,"1,090,000"
"Drew Steckenrider",27,"RP/CL","Pre-Arb",1090000,0,0,1090000,1090000,1.19,"1,090,000"
"Bryan Holaday",30,"C","Arb 1",1e+06,0,0,1e+06,1e+06,1.09,"1,000,000"
"Jose Urena",26,"SP","Pre-Arb",575000,0,0,575000,575000,0.63,"575,000"
"Brian Anderson",25,"RF","Pre-Arb",545000,0,0,545000,545000,0.59,"545,000"
"Lewis Brinson",24,"CF","Pre-Arb",545000,0,0,545000,545000,0.59,"545,000"
"Tayron Guerrero",27,"RP","Pre-Arb",545000,0,0,545000,545000,0.59,"545,000"
"Yadiel Rivera",26,"2B","Pre-Arb",545000,0,0,545000,545000,0.59,"545,000"
"Trevor Richards",25,"SP","Pre-Arb",545000,0,0,545000,416060,0.45,"545,000"
"Adam Conley",28,"RP","Pre-Arb",545000,0,0,545000,398480,0.43,"545,000"
"Jarlin Garcia",25,"RP","Pre-Arb",555000,0,0,555000,381952,0.42,"555,000"
"J.T. Riddle",26,"SS","Pre-Arb",545000,0,0,545000,375040,0.41,"545,000"
"Drew Rucinski",29,"RP","Arb 1",545000,0,0,545000,351600,0.38,"545,000"
"Nick Wittgren",27,"RP","Pre-Arb",545000,0,0,545000,290070,0.32,"545,000"
"Ben Meyer",25,"RP","Pre-Arb",545000,0,0,545000,263700,0.29,"545,000"
"Sandy Alcantara",22,"SP","Pre-Arb",545000,0,0,545000,205100,0.22,"545,000"
"Magneuris Sierra",22,"OF","Pre-Arb",545000,0,0,545000,201480,0.22,"545,000"
"Isaac Galloway",28,"RF","Pre-Arb",545000,0,0,545000,181660,0.2,"545,000"
"Tyler Kinley",27,"RP","Pre-Arb",545000,0,0,545000,158220,0.17,"545,000"
"Chad Wallach",26,"C","Pre-Arb",545000,0,0,545000,155290,0.17,"545,000"
"Austin Dean",24,"LF","Pre-Arb",545000,0,0,545000,137710,0.15,"545,000"
"Jeff Brigham",26,"SP","Pre-Arb",545000,0,0,545000,87900,0.1,"545,000"
"Peter O'Brien",27,"LF","Pre-Arb",545000,0,0,545000,79110,0.09,"545,000"
