"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ryan Braun",31,"LF","Vet",1.2e+07,1e+06,0,1.3e+07,1.3e+07,13.83,"21,000,000"
"Matt Garza",31,"SP","Vet",12500000,0,0,12500000,12500000,13.3,"12,500,000"
"Kyle Lohse",36,"SP","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,11.7,"11,000,000"
"Adam Lind",31,"1B","Vet",7500000,0,0,7500000,7500000,7.98,"4,500,000"
"Francisco Rodriguez",33,"RP","Vet",3500000,0,0,3500000,3500000,3.72,"6,500,000"
"Jonathan Lucroy",29,"C","Arb 2",3300000,1e+05,0,3400000,3400000,3.62,"2,200,000"
"Martin Maldonado",28,"C","Arb 1",8e+05,25000,0,825000,825000,0.88,"975,000"
"Jean Segura",25,"SS","Pre-Arb",534000,0,0,534000,534000,0.57,"534,000"
"Wily Peralta",26,"SP","Pre-Arb",525500,0,0,525500,525500,0.56,"525,500"
"Khris Davis",27,"LF","Pre-Arb",519500,0,0,519500,519500,0.55,"519,500"
"Will Smith",25,"RP","Pre-Arb",512500,0,0,512500,512500,0.55,"512,500"
"Jeremy Jeffress",27,"RP","Pre-Arb",510500,0,0,510500,510500,0.54,"510,500"
"Hernan Perez",24,"LF","Pre-Arb",508500,0,0,508500,508500,0.54,"508,500"
"Scooter Gennett",25,"2B","Pre-Arb",516500,0,0,516500,451584,0.48,"516,500"
"Corey Knebel",23,"RP/CL","Pre-Arb",507500,0,0,507500,377158,0.4,"507,500"
"Jason Rogers",27,"1B","Pre-Arb",507500,0,0,507500,374385,0.4,"507,500"
"Shane Peterson",27,"LF","Pre-Arb",507500,0,0,507500,343879,0.37,"507,500"
"Taylor Jungmann",25,"RP","Pre-Arb",507500,0,0,507500,327240,0.35,"507,500"
"Elian Herrera",30,"SS","Pre-Arb",507500,0,0,507500,288415,0.31,"507,500"
"Logan Schafer",28,"LF","Pre-Arb",510500,0,0,510500,273382,0.29,"510,500"
"Tyler Thornburg",26,"RP","Pre-Arb",510500,0,0,510500,234327,0.25,"510,500"
"Tyler Cravy",0,"RP","Pre-Arb",507500,0,0,507500,221857,0.24,"507,500"
"David Goforth",26,"RP","Pre-Arb",507500,0,0,507500,207991,0.22,"507,500"
"Luis Sardinas",22,"SS","Pre-Arb",507500,0,0,507500,144207,0.15,"507,500"
"Cesar Jimenez",30,"RP","Pre-Arb",575000,0,0,575000,138251,0.15,"575,000"
"Domingo Santana",22,"RF","Pre-Arb",507500,0,0,507500,138251,0.15,"507,500"
"Zach Davies",22,"SP","Pre-Arb",507500,0,0,507500,92120,0.1,"507,500"
"Ariel Pena",26,"RP","Pre-Arb",507500,0,0,507500,82901,0.09,"507,500"
"Nevin Ashley",30,"C","Pre-Arb",507500,0,0,507500,72103,0.08,"507,500"
"Tyler Wagner",24,"RP","Pre-Arb",507500,0,0,507500,36051,0.04,"507,500"
"Yhonathan Barrios",23,"RP","Pre-Arb",507500,0,0,507500,33278,0.04,"507,500"
"Adrian Houser",22,"SP","Pre-Arb",507500,0,0,507500,33278,0.04,"507,500"
"Jorge Lopez",22,"SP","Pre-Arb",507500,0,0,507500,33278,0.04,"507,500"
"Michael Reed",22,"LF","Pre-Arb",507500,0,0,507500,33278,0.04,"507,500"
