"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joe Mauer",29,"1B","Vet",2.3e+07,0,25000,23025000,23025000,21.1,0
"Justin Morneau",31,"1B","Vet",1.4e+07,1e+06,0,1.5e+07,1.5e+07,13.75,0
"Carl Pavano",36,"SP","Vet",8500000,0,0,8500000,8500000,7.79,0
"Josh Willingham",33,"LF","Vet",7e+06,0,0,7e+06,7e+06,6.41,0
"Scott Baker",30,"SP","Arb 3",6500000,0,0,6500000,6500000,5.96,0
"Francisco Liriano",28,"RP","Arb 3",5500000,0,0,5500000,5500000,5.04,0
"Nick Blackburn",30,"SP","Pre-Arb",4750000,0,0,4750000,4750000,4.35,0
"Matt Capps",28,"RP","Vet",4500000,0,0,4500000,4500000,4.12,0
"Ryan Doumit",31,"C","Vet",3e+06,0,0,3e+06,3e+06,2.75,0
"Jason Marquis",33,"SP","Vet",3e+06,0,0,3e+06,3e+06,2.75,0
"Tsuyoshi Nishioka",27,"2B","Pre-Arb",3e+06,0,0,3e+06,3e+06,2.75,0
"Denard Span",28,"CF","Vet",3e+06,0,0,3e+06,3e+06,2.75,0
"Jamey Carroll",38,"2B","Vet",2750000,0,0,2750000,2750000,2.52,0
"Glen Perkins",29,"RP","Arb 2",1550000,0,0,1550000,1550000,1.42,0
"Alexi Casilla",27,"2B","Arb 2",1382500,0,0,1382500,1382500,1.27,0
"Joel Zumaya",27,"RP","Vet",850000,0,0,850000,850000,0.78,0
"Jared Burton",31,"RP","Vet",750000,0,0,750000,750000,0.69,0
"Brian Duensing",29,"RP","Pre-Arb",515000,0,0,515000,515000,0.47,0
"Danny Valencia",27,"3B","Pre-Arb",515000,0,0,515000,515000,0.47,0
"Ben Revere",24,"CF","Pre-Arb",492500,0,0,492500,492500,0.45,0
"Alex Burnett",24,"RP","Pre-Arb",490000,0,0,490000,490000,0.45,0
"Anthony Swarzak",26,"RP","Pre-Arb",487500,0,0,487500,487500,0.45,0
"Jeff Gray",30,"RP","Pre-Arb",485000,0,0,485000,485000,0.44,0
"Trevor Plouffe",26,"3B","Pre-Arb",485000,0,0,485000,485000,0.44,0
"Matt Maloney",28,"RP","Pre-Arb",482500,0,0,482500,482500,0.44,0
"Oswaldo Arcia",21,"LF","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Joe Benson",24,"LF","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Drew Butera",28,"C","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Matt Carson",31,"LF","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Cole De Vries",27,"C","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Samuel Deduno",28,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Scott Diamond",25,"SP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Brian Dozier",25,"2B","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Casey Fien",28,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Pedro Florimon",25,"SS","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Deolis Guerra",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Carlos Gutierrez",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Liam Hendriks",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Pedro Hernandez",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Chris Herrmann",24,"C","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Jeff Manship",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Darin Mastroianni",26,"CF","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Lester Oliveros",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Chris Parmelee",24,"1B","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Luis Perdomo",19,"SP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Tyler Robertson",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Kyle Waldrop",26,"RF","Pre-Arb",480000,0,0,480000,480000,0.44,0
"P.J. Walters",27,"SP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Sean Burroughs",31,"3B","Pre-Arb",525000,0,0,525000,80327,0.07,0
