"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"David Wright",32,"3B","Vet",2e+07,0,0,2e+07,2e+07,17.29,"17,250,000"
"Curtis Granderson",34,"RF","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,13.83,"15,000,000"
"Bartolo Colon",42,"SP","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,9.51,"10,000,000"
"Michael Cuddyer",36,"LF","Vet",8500000,0,0,8500000,8500000,7.35,"10,500,000"
"Daniel Murphy",30,"2B","Arb 3",8e+06,0,0,8e+06,8e+06,6.91,"8,000,000"
"Jonathan Niese",28,"RP","Arb 3",7e+06,50000,0,7050000,7050000,6.09,"5,103,900"
"Lucas Duda",29,"1B","Arb 1",4200000,0,0,4200000,4200000,3.63,"4,200,000"
"Yoenis Cespedes",29,"CF","Vet",10500000,0,0,10500000,3786885,3.27,"9,000,000"
"Bobby Parnell",30,"RP","Arb 3",3700000,0,0,3700000,3700000,3.2,"3,700,000"
"Tyler Clippard",30,"RP","Arb 4",3174863,0,0,3174863,3174863,2.74,"8,300,000"
"Juan Uribe",36,"3B","Vet",3152855,0,0,3152855,3152855,2.73,"7,500,000"
"Ruben Tejada",25,"SS","Arb 1",1880000,0,0,1880000,1880000,1.62,"1,880,000"
"Eric O'Flaherty",30,"RP","Vet",1833333,0,0,1833333,1833333,1.58,"3,500,000"
"Addison Reed",26,"RP","Arb 1",932377,0,0,932377,932377,0.81,"4,875,000"
"Matt Harvey",26,"SP","Pre-Arb",614125,0,0,614125,614125,0.53,"614,125"
"Kelly Johnson",33,"2B","Vet",598360,0,0,598360,598360,0.52,"1,500,000"
"Carlos Torres",32,"RP","Pre-Arb",582125,0,0,582125,582125,0.5,"582,125"
"Jacob deGrom",27,"SP","Pre-Arb",556875,0,0,556875,556875,0.48,"556,875"
"Juan Lagares",26,"CF","Pre-Arb",528696,0,25000,553696,553696,0.48,"4,710,739"
"Travis d'Arnaud",26,"C","Pre-Arb",525424,0,0,525424,525424,0.45,"525,424"
"Jeurys Familia",25,"RP","Pre-Arb",523925,0,0,523925,523925,0.45,"523,925"
"Wilmer Flores",23,"SS","Pre-Arb",513543,0,0,513543,513543,0.44,"513,543"
"Sean Gilmartin",25,"RP","Pre-Arb",507500,0,0,507500,507500,0.44,"507,500"
"Erik Goeddel",26,"RP","Pre-Arb",509125,0,0,509125,506342,0.44,"509,125"
"Hansel Robles",24,"RP","Pre-Arb",507500,0,0,507500,465901,0.4,"507,500"
"Noah Syndergaard",22,"SP","Pre-Arb",507500,0,0,507500,410437,0.35,"507,500"
"Kevin Plawecki",24,"C","Pre-Arb",507500,0,0,507500,407663,0.35,"507,500"
"Eric Campbell",28,"1B","Pre-Arb",511065,0,0,511065,388185,0.34,"511,065"
"Anthony Recker",31,"C","Pre-Arb",517880,0,0,517880,376382,0.33,"517,880"
"Steven Matz",24,"SP","Pre-Arb",507500,0,0,507500,274549,0.24,"507,500"
"Kirk Nieuwenhuis",27,"CF","Pre-Arb",525415,0,0,525415,261271,0.23,"525,415"
"Dilson Herrera",21,"2B","Pre-Arb",507500,0,0,507500,241270,0.21,"507,500"
"Logan Verrett",25,"RP","Pre-Arb",507500,0,0,507500,216311,0.19,"507,500"
"Michael Conforto",22,"CF","Pre-Arb",507500,0,0,507500,202445,0.17,"507,500"
"Johnny Monell",29,"C","Pre-Arb",507500,0,0,507500,202445,0.17,"507,500"
"Eric Young Jr.",30,"CF","Arb 2",1e+06,0,0,1e+06,180327,0.16,"1,000,000"
"Dario Alvarez",26,"RP","Pre-Arb",507500,0,0,507500,88743,0.08,"507,500"
"Tim Stauffer",33,"RP","",507500,0,0,507500,72103,0.06,"507,500"
