"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Alex Rodriguez",36,"DH","Vet",3.1e+07,1e+06,0,3.2e+07,3.2e+07,14.98,0
"C.C. Sabathia",30,"SP","Vet",24285714,1285714,0,25571428,25571428,11.97,0
"Mark Teixeira",31,"1B","Vet",22500000,625000,0,23125000,23125000,10.83,0
"A.J. Burnett",34,"SP","Vet",16500000,0,0,16500000,16500000,7.73,0
"Derek Jeter",37,"SS","Vet",1.5e+07,0,0,1.5e+07,1.5e+07,7.02,0
"Mariano Rivera",41,"RP","Vet",1.5e+07,0,0,1.5e+07,1.5e+07,7.02,0
"Jorge Posada",39,"C","Vet",13100000,0,0,13100000,13100000,6.13,0
"Robinson Cano",28,"2B","Vet",1e+07,0,0,1e+07,1e+07,4.68,0
"Rafael Soriano",31,"RP","Vet",1e+07,0,0,1e+07,1e+07,4.68,0
"Nick Swisher",30,"OF","Vet",9e+06,1e+05,0,9100000,9100000,4.26,0
"Curtis Granderson",30,"RF","Vet",8250000,0,75000,8325000,8325000,3.9,0
"Russell Martin",28,"C","Arb 2",4e+06,0,75000,4075000,4075000,1.91,0
"Kei Igawa",31,"RP","Pre-Arb",4e+06,0,0,4e+06,4e+06,1.87,0
"Damaso Marte",36,"RP","Vet",4e+06,0,0,4e+06,4e+06,1.87,0
"Pedro Feliciano",34,"RP","Vet",3750000,0,0,3750000,3750000,1.76,0
"Phil Hughes",25,"RP","Arb 1",2700000,0,0,2700000,2700000,1.26,0
"Eric Chavez",33,"3B","Vet",1500000,0,0,1500000,1500000,0.7,0
"Andruw Jones",34,"LF","Vet",1500000,0,0,1500000,1500000,0.7,0
"Kevin Millwood",36,"SP","Pre-Arb",1500000,0,0,1500000,1500000,0.7,0
"Joba Chamberlain",25,"RP","Arb 1",1400000,0,0,1400000,1400000,0.66,0
"Boone Logan",26,"RP","Arb 2",1200000,0,0,1200000,1200000,0.56,0
"Bartolo Colon",38,"SP","Vet",9e+05,0,0,9e+05,9e+05,0.42,0
"Luis Ayala",33,"RP","Vet",650000,0,0,650000,650000,0.3,0
"Brett Gardner",27,"LF","Pre-Arb",529500,0,0,529500,529500,0.25,0
"David Robertson",26,"RP","Pre-Arb",460450,0,0,460450,460450,0.22,0
"Francisco Cervelli",25,"C","Pre-Arb",455700,0,0,455700,455700,0.21,0
"Gustavo Molina",29,"C","Pre-Arb",455000,0,0,455000,455000,0.21,0
"Ivan Nova",24,"SP","Pre-Arb",432900,0,0,432900,432900,0.2,0
"Colin Curtis",25,"RF","Pre-Arb",420400,0,0,420400,420400,0.2,0
"Eduardo Nunez",24,"SS","Pre-Arb",419300,0,0,419300,419300,0.2,0
"Dellin Betances",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Reegie Corona",24,"2B","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Greg Golson",25,"RF","Pre-Arb",414000,0,0,414000,414000,0.19,0
"George Kontos",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Brandon Laird",32,"3B","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Melky Mesa",24,"CF","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Jesus Montero",21,"C","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Hector Noesi",24,"SP","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Ramiro Pena",25,"2B","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Austin Romine",22,"C","Pre-Arb",414000,0,0,414000,414000,0.19,0
"Andrew Brackman",25,"RP","Pre-Arb",4e+05,0,0,4e+05,4e+05,0.19,0
