"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ryan Madson",35,"RP","Vet",6500000,166666,1250000,7916666,7916666,9.55,"7,333,333"
"John Axford",33,"RP","Arb 3",4500000,0,0,4500000,4500000,5.43,"5,000,000"
"Danny Valencia",31,"3B","Arb 2",3150000,0,0,3150000,3150000,3.8,"3,150,000"
"Yonder Alonso",29,"1B","Arb 2",2650000,0,0,2650000,2650000,3.2,"2,650,000"
"Sean Doolittle",29,"RP/CL","Arb 2",1550000,30000,0,1580000,1580000,1.91,"2,100,000"
"Sonny Gray",26,"SP","Pre-Arb",527500,0,0,527500,527500,0.64,"527,500"
"Stephen Vogt",31,"C","Pre-Arb",527500,0,0,527500,527500,0.64,"527,500"
"Khris Davis",28,"LF","Pre-Arb",524500,0,0,524500,524500,0.63,"524,500"
"Liam Hendriks",27,"RP","Pre-Arb",523400,0,0,523400,523400,0.63,"523,400"
"Kendall Graveman",25,"SP","Pre-Arb",512500,0,0,512500,512500,0.62,"512,500"
"Marcus Semien",25,"SS","Pre-Arb",512500,0,0,512500,512500,0.62,"512,500"
"Ryan Dull",26,"RP","Pre-Arb",507500,0,0,507500,507500,0.61,"507,500"
"Sean Manaea",24,"SP","Pre-Arb",507500,0,0,507500,435361,0.53,"507,500"
"Ross Detwiler",30,"SP","Vet",1e+06,0,0,1e+06,426192,0.51,"1,000,000"
"Jake Smolinski",27,"LF","Pre-Arb",507500,0,0,507500,377128,0.46,"507,500"
"Andrew Triggs",27,"SP","Pre-Arb",507500,0,0,507500,332760,0.4,"507,500"
"Zach Neal",27,"RP","Pre-Arb",507500,0,0,507500,282846,0.34,"507,500"
"Daniel Coulombe",26,"RP","Pre-Arb",507500,0,0,507500,277300,0.33,"507,500"
"Max Muncy",25,"1B","Pre-Arb",507500,0,0,507500,268981,0.32,"507,500"
"Ryon Healy",24,"1B","Pre-Arb",507500,0,0,507500,221840,0.27,"507,500"
"Daniel Mengden",23,"SP","Pre-Arb",507500,0,0,507500,207975,0.25,"507,500"
"Bruce Maxwell",25,"C","Pre-Arb",507500,0,0,507500,199656,0.24,"507,500"
"Matt McBride",31,"C","Pre-Arb",507500,0,0,507500,196883,0.24,"507,500"
"Brett Eibner",27,"LF","Pre-Arb",507500,0,0,507500,163607,0.2,"507,500"
"Chris Smith",35,"RP","Pre-Arb",507500,0,0,507500,158061,0.19,"507,500"
"Arismendy Alcantara",24,"CF","Pre-Arb",507500,0,0,507500,152515,0.18,"507,500"
"J.B. Wendelken",23,"RP","Pre-Arb",507500,0,0,507500,138650,0.17,"507,500"
"Chad Pinder",24,"SS","Pre-Arb",507500,0,0,507500,130331,0.16,"507,500"
"Joe Wendle",26,"2B","Pre-Arb",507500,0,0,507500,94282,0.11,"507,500"
"Dillon Overton",1816,"RP","Pre-Arb",507500,0,0,507500,91509,0.11,"507,500"
"Raul Alcantara",23,"RP","Pre-Arb",507500,0,0,507500,77644,0.09,"507,500"
"Jharel Cotton",24,"SP","Pre-Arb",507500,0,0,507500,72098,0.09,"507,500"
"Renato Nunez",22,"LF","Pre-Arb",507500,0,0,507500,58233,0.07,"507,500"
"Matt Olson",22,"1B","Pre-Arb",507500,0,0,507500,58233,0.07,"507,500"
