"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ryan Howard",36,"1B","Vet",2.5e+07,0,0,2.5e+07,2.5e+07,24.06,"25,000,000"
"Jeremy Hellickson",29,"SP","Arb 3",7e+06,0,0,7e+06,7e+06,6.74,"7,000,000"
"David Hernandez",31,"RP","Vet",3900000,0,0,3900000,3900000,3.75,"3,900,000"
"Peter Bourjos",29,"RF","Arb 3",2e+06,0,0,2e+06,2e+06,1.92,"2,000,000"
"Freddy Galvis",26,"SS","Arb 1",2e+06,0,0,2e+06,2e+06,1.92,"2,000,000"
"Andres Blanco",32,"SS","Arb 3",1450000,0,0,1450000,1450000,1.4,"1,450,000"
"Jeanmar Gomez",28,"RP","Arb 2",1400000,0,0,1400000,1400000,1.35,"1,400,000"
"Sean Burnett",33,"RP","Vet",1250000,0,0,1250000,1250000,1.2,"1,250,000"
"A.J. Ellis",35,"C","Arb 4",4500000,0,0,4500000,983606,0.95,"4,500,000"
"Odubel Herrera",24,"CF","Pre-Arb",528000,0,0,528000,528000,0.51,"528,000"
"Cesar Hernandez",26,"2B","Pre-Arb",525000,0,0,525000,525000,0.51,"525,000"
"Emmanuel Burriss",31,"SS","Arb 2",925000,0,0,925000,520665,0.5,"925,000"
"Cameron Rupp",27,"C","Pre-Arb",518000,0,0,518000,518000,0.5,"518,000"
"Maikel Franco",23,"3B","Pre-Arb",517500,0,0,517500,517500,0.5,"517,500"
"Jerad Eickhoff",25,"SP","Pre-Arb",516000,0,0,516000,516000,0.5,"516,000"
"Vincent Velasquez",24,"SP","Pre-Arb",516000,0,0,516000,516000,0.5,"516,000"
"Aaron Altherr",25,"RF","Pre-Arb",515500,0,0,515500,515500,0.5,"515,500"
"Hector Neris",27,"RP/CL","Pre-Arb",515000,0,0,515000,515000,0.5,"515,000"
"Tyler Goeddel",23,"RF","Pre-Arb",507500,0,0,507500,507500,0.49,"507,500"
"Cody Asche",26,"LF","Pre-Arb",530000,0,0,530000,448880,0.43,"530,000"
"Tommy Joseph",24,"1B","Pre-Arb",507500,0,0,507500,396539,0.38,"507,500"
"Jimmy Paredes",27,"RF","Pre-Arb",520000,0,0,520000,352408,0.34,"520,000"
"Adam Morgan",26,"RP","Pre-Arb",507500,0,0,507500,332760,0.32,"507,500"
"Michael Mariot",27,"RP","Pre-Arb",512500,0,0,512500,296906,0.29,"512,500"
"Edubray Ramos",23,"RP","Pre-Arb",507500,0,0,507500,280073,0.27,"507,500"
"Severino Gonzalez",23,"RP","Pre-Arb",507500,0,0,507500,266208,0.26,"507,500"
"Colton Murray",26,"RP","Pre-Arb",507500,0,0,507500,219067,0.21,"507,500"
"Darin Ruf",29,"1B","Pre-Arb",527000,0,0,527000,201600,0.19,"527,000"
"Jake Thompson",22,"RP","Pre-Arb",507500,0,0,507500,160834,0.15,"507,500"
"Frank Herrmann",32,"RP","Arb 1",507500,0,0,507500,130331,0.13,"507,500"
"Luis Garcia",29,"RP","Pre-Arb",507500,0,0,507500,127558,0.12,"507,500"
"Patrick Schuster",25,"RP","Pre-Arb",507500,0,0,507500,85963,0.08,"507,500"
"Phil Klein",27,"RP","Pre-Arb",509500,0,0,509500,69600,0.07,"509,500"
"Alec Asher",24,"SP","Pre-Arb",507500,0,0,507500,69325,0.07,"507,500"
"Jorge Alfaro",23,"C","Pre-Arb",507500,0,0,507500,66552,0.06,"507,500"
"Joely Rodriguez",24,"RP","Pre-Arb",507500,0,0,507500,66552,0.06,"507,500"
"Roman Quinn",23,"CF","Pre-Arb",507500,0,0,507500,63779,0.06,"0"
