"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Andrew McCutchen",29,"RF","Vet",1.3e+07,208333,0,13208333,13208333,13.27,"8,583,333"
"Neftali Feliz",28,"RP","Arb 4",3900000,0,180000,4080000,4080000,4.1,"3,900,000"
"John Jaso",32,"RF","Vet",4e+06,0,0,4e+06,4e+06,4.02,"4,000,000"
"Francisco Cervelli",30,"C","Arb 3",3500000,0,0,3500000,3500000,3.52,"10,333,333"
"Tony Watson",31,"RP","Arb 2",3450000,0,0,3450000,3450000,3.47,"3,450,000"
"Ryan Vogelsong",38,"SP","Vet",2e+06,0,1225000,3225000,3225000,3.24,"2,000,000"
"Jeff Locke",28,"RP","Arb 1",3025000,0,0,3025000,3025000,3.04,"3,025,000"
"David Freese",33,"3B","Vet",3e+06,0,0,3e+06,3e+06,3.01,"3,666,667"
"Juan Nicasio",29,"RP","Arb 2",3e+06,0,0,3e+06,3e+06,3.01,"3,000,000"
"Sean Rodriguez",31,"2B","Vet",2500000,0,350000,2850000,2850000,2.86,"2,500,000"
"Jung Ho Kang",29,"3B","Pre-Arb",2500000,0,0,2500000,2500000,2.51,"2,750,000"
"Jared Hughes",30,"RP","Arb 1",2175000,0,0,2175000,2175000,2.19,"2,175,000"
"Jordy Mercer",29,"SS","Arb 1",2075000,0,0,2075000,2075000,2.09,"2,075,000"
"Antonio Bastardo",30,"RP","Vet",5250000,125000,0,5375000,1807377,1.82,"6,000,000"
"Ivan Nova",29,"SP","Arb 3",4100000,0,0,4100000,1411475,1.42,"4,100,000"
"Matt Joyce",31,"RF","Vet",1e+06,0,0,1e+06,1e+06,1,"1,000,000"
"Gregory Polanco",24,"LF","Pre-Arb",535000,0,0,535000,535000,0.54,"7,000,000"
"Drew Hutchison",25,"RP","Pre-Arb",2200000,0,0,2200000,324594,0.33,"2,200,000"
"Jameson Taillon",24,"SP","Pre-Arb",507500,0,0,507500,302257,0.3,"507,500"
"Adam Frazier",24,"2B","Pre-Arb",507500,0,0,507500,266208,0.27,"507,500"
"Eric Fryer",30,"C","Pre-Arb",507500,0,0,507500,252343,0.25,"507,500"
"Chad Kuhl",23,"SP","Pre-Arb",507500,0,0,507500,216294,0.22,"507,500"
"Felipe Vazquez",24,"RP/CL","Pre-Arb",516100,0,0,516100,183314,0.18,"516,100"
"Josh Bell",23,"1B","Pre-Arb",507500,0,0,507500,146969,0.15,"507,500"
"Jason Rogers",28,"1B","Pre-Arb",523500,0,0,523500,131606,0.13,"523,500"
"Alen Hanson",23,"RF","Pre-Arb",507500,0,0,507500,105374,0.11,"507,500"
"Steven Brault",24,"RP","Pre-Arb",507500,0,0,507500,97055,0.1,"507,500"
"Tyler Glasnow",22,"RP","Pre-Arb",507500,0,0,507500,80417,0.08,"507,500"
"Pedro Florimon",29,"SS","Pre-Arb",521500,0,0,521500,76950,0.08,"521,500"
"Trevor Williams",24,"SP","Pre-Arb",507500,0,0,507500,74871,0.08,"507,500"
"Jacob Stallings",26,"C","Pre-Arb",507500,0,0,507500,69325,0.07,"507,500"
"Zach Phillips",29,"RP","Pre-Arb",510000,0,0,510000,55740,0.06,"510,000"
"Wade LeBlanc",31,"RP","",507500,0,0,507500,55460,0.06,"507,500"
"Phil Coke",33,"RP","Vet",507500,0,0,507500,30503,0.03,"507,500"
