"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Heath Bell",33,"RP","Arb 3",7500000,0,0,7500000,7500000,15.62,0
"Ryan Ludwick",32,"LF","Arb 3",6775000,0,0,6775000,6775000,14.11,0
"Jason Bartlett",31,"SS","Arb 3",4e+06,0,0,4e+06,4e+06,8.33,0
"Orlando Hudson",33,"3B","Vet",4e+06,0,0,4e+06,4e+06,8.33,0
"Aaron Harang",33,"SP","Vet",3500000,0,0,3500000,3500000,7.29,0
"Mike Adams",32,"RP","Arb 2",2535000,0,0,2535000,2535000,5.28,0
"Chase Headley",27,"3B","Arb 1",2325000,0,0,2325000,2325000,4.84,0
"Brad Hawpe",32,"RF","Vet",2e+06,0,0,2e+06,2e+06,4.17,0
"Chad Qualls",32,"RP","Vet",1500000,0,0,1500000,1500000,3.12,0
"Tim Stauffer",29,"RP","",1075000,0,0,1075000,1075000,2.24,0
"Dustin Moseley",29,"SP","Arb 1",9e+05,0,0,9e+05,9e+05,1.87,0
"Jorge Cantu",29,"3B","Pre-Arb",850000,0,0,850000,850000,1.77,0
"Chris Denorfia",30,"RF","Arb 1",8e+05,0,0,8e+05,8e+05,1.67,0
"Pat Neshek",30,"RP","Pre-Arb",625000,0,0,625000,625000,1.3,0
"Alberto Gonzalez",28,"SS","Pre-Arb",6e+05,0,0,6e+05,6e+05,1.25,0
"Clayton Richard",27,"SP","Pre-Arb",468800,0,0,468800,468800,0.98,0
"Mat Latos",23,"SP","Pre-Arb",460700,0,0,460700,460700,0.96,0
"Luke Gregerson",27,"RP","Pre-Arb",447800,0,0,447800,447800,0.93,0
"Will Venable",28,"CF","Pre-Arb",444400,0,0,444400,444400,0.93,0
"Nick Hundley",27,"C","Pre-Arb",439900,0,0,439900,439900,0.92,0
"Joe Thatcher",29,"RP","Pre-Arb",433900,0,0,433900,433900,0.9,0
"Cameron Maybin",24,"CF","Pre-Arb",429100,0,0,429100,429100,0.89,0
"Kyle Blanks",24,"LF","Pre-Arb",424700,0,0,424700,424700,0.88,0
"Eric Patterson",28,"LF","Pre-Arb",423300,0,0,423300,423300,0.88,0
"Rob Johnson",38,"C","",421700,0,0,421700,421700,0.88,0
"Ernesto Frieri",25,"RP","Pre-Arb",417100,0,0,417100,417100,0.87,0
"Cory Luebke",26,"RP","Pre-Arb",415600,0,0,415600,415600,0.87,0
"Jarrett Hoffpauir",28,"3B","Pre-Arb",414800,0,0,414800,414800,0.86,0
"Samuel Deduno",27,"RP","Pre-Arb",414240,0,0,414240,414240,0.86,0
"Mike Baxter",26,"LF","Pre-Arb",414100,0,0,414100,414100,0.86,0
"Everth Cabrera",24,"SS","Pre-Arb",414000,0,0,414000,414000,0.86,0
"Logan Forsythe",24,"2B","Pre-Arb",414000,0,0,414000,414000,0.86,0
"Cedric Hunter",23,"RF","Pre-Arb",414000,0,0,414000,414000,0.86,0
"Wade LeBlanc",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.86,0
"Anthony Rizzo",21,"1B","Pre-Arb",149311,0,0,149311,149311,0.31,0
"Brad Brach",25,"RP","Pre-Arb",90491,0,0,90491,90491,0.19,0
"Jeremy Hermida",27,"RF","",414000,0,0,414000,67868,0.14,0
