"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Mark Melancon",33,"RP","Vet",1e+07,1e+07,0,2e+07,2e+07,9.72,"15,500,000"
"Hunter Pence",35,"RF","Vet",18500000,0,0,18500000,18500000,9,"18,000,000"
"Brandon Belt",30,"1B","Vet",1.6e+07,1200000,0,17200000,17200000,8.36,"14,560,000"
"Brandon Crawford",31,"SS","Vet",1.5e+07,2e+05,0,15200000,15200000,7.39,"12,500,000"
"Evan Longoria",32,"3B","Vet",13500000,0,0,13500000,1.2e+07,5.83,"11,165,300"
"Madison Bumgarner",28,"SP","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,5.83,"7,000,000"
"Sam Dyson",30,"RP","Arb 2",4425000,0,0,4425000,4425000,2.15,"4,425,000"
"Joe Panik",27,"2B","Arb 1",3450000,0,0,3450000,3450000,1.68,"3,450,000"
"Tony Watson",33,"RP","Vet",3e+06,0,0,3e+06,3e+06,1.46,"3,000,000"
"Nick Hundley",34,"C","Vet",2500000,0,0,2500000,2500000,1.22,"2,500,000"
"Will Smith",28,"RP/CL","Arb 3",2500000,0,0,2500000,2500000,1.22,"2,500,000"
"Derek Holland",31,"RP","Vet",1750000,0,0,1750000,1750000,0.85,"1,750,000"
"Hunter Strickland",29,"RP/CL","Arb 1",1550000,0,0,1550000,1550000,0.75,"1,550,000"
"Ty Blach",27,"RP","Pre-Arb",565000,0,0,565000,565000,0.27,"565,000"
"Gorkys Hernandez",30,"LF","Pre-Arb",561500,0,0,561500,561500,0.27,"561,500"
"Reyes Moronta",25,"RP","Pre-Arb",545000,0,0,545000,545000,0.26,"545,000"
"Alen Hanson",25,"2B","Pre-Arb",545000,0,0,545000,457080,0.22,"545,000"
"Andrew Suarez",25,"SP","Pre-Arb",545000,0,0,545000,454150,0.22,"545,000"
"Chris Stratton",27,"SP","Pre-Arb",552500,0,0,552500,445500,0.22,"552,500"
"Dereck Rodriguez",26,"SP","Pre-Arb",545000,0,0,545000,369180,0.18,"545,000"
"Pierce Johnson",27,"RP","Pre-Arb",545000,0,0,545000,366250,0.18,"545,000"
"Kelby Tomlinson",28,"2B","Pre-Arb",560000,0,0,560000,331210,0.16,"560,000"
"Austin Slater",25,"LF","Pre-Arb",545000,0,0,545000,310580,0.15,"545,000"
"Chase d'Arnaud",31,"3B","Arb 1",545000,0,0,545000,251980,0.12,"545,000"
"Ray Black",30,"RP","Pre-Arb",545000,0,0,545000,213890,0.1,"545,000"
"Gregor Blanco",34,"RF","Vet",1e+06,0,0,1e+06,177408,0.09,"1,000,000"
"Casey Kelly",28,"SP","Pre-Arb",545000,0,0,545000,123060,0.06,"545,000"
"Aramis Garcia",25,"C","Pre-Arb",545000,0,0,545000,105480,0.05,"545,000"
"Chris Shaw",24,"1B","Pre-Arb",545000,0,0,545000,90830,0.04,"545,000"
"Steven Okert",26,"RP","Pre-Arb",545000,0,0,545000,84970,0.04,"545,000"
"Ryder Jones",24,"3B","Pre-Arb",545000,0,0,545000,82040,0.04,"545,000"
"Abiatal Avelino",23,"SS","Pre-Arb",545000,0,0,545000,79110,0.04,"545,000"
