"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ichiro Suzuki",37,"RF","Vet",1.7e+07,1e+06,0,1.8e+07,1.8e+07,17.75,0
"Milton Bradley",33,"RF","Vet",1.2e+07,1333334,0,13333334,13333334,13.15,0
"Felix Hernandez",25,"SP","Arb 3",1.1e+07,7e+05,250000,11950000,11950000,11.78,0
"Chone Figgins",33,"3B","Vet",9e+06,5e+05,0,9500000,9500000,9.37,0
"David Aardsma",29,"RP","Vet",4500000,0,0,4500000,4500000,4.44,0
"Franklin Gutierrez",28,"CF","Vet",4e+06,312500,0,4312500,4312500,4.25,0
"Jack Cust",32,"DH","Arb 2",2500000,0,0,2500000,2500000,2.46,0
"Miguel Olivo",32,"C","Vet",2250000,250000,0,2500000,2500000,2.46,0
"Jason Vargas",28,"SP","Arb 1",2450000,0,0,2450000,2450000,2.42,0
"Brandon League",28,"RP","Arb 3",2250000,0,0,2250000,2250000,2.22,0
"Danny Hultzen",21,"RP","Pre-Arb",430000,1270000,0,1700000,1700000,1.68,0
"Dustin Ackley",23,"2B","Pre-Arb",3e+05,1200000,0,1500000,1500000,1.48,0
"Brendan Ryan",29,"1B","Arb 1",1e+06,0,175000,1175000,1175000,1.16,0
"Chris Ray",29,"RP","Pre-Arb",1e+06,0,0,1e+06,1e+06,0.99,0
"Jamey Wright",36,"RP","Vet",9e+05,0,0,9e+05,9e+05,0.89,0
"Adam Kennedy",35,"2B","Vet",750000,0,0,750000,750000,0.74,0
"Luis Rodriguez",31,"SS","Pre-Arb",6e+05,0,0,6e+05,6e+05,0.59,0
"Doug Fister",27,"SP","Pre-Arb",436500,0,0,436500,436500,0.43,0
"David Pauley",28,"SP","Pre-Arb",422000,0,0,422000,422000,0.42,0
"Shawn Kelley",27,"RP","Pre-Arb",420000,0,0,420000,420000,0.41,0
"Michael Saunders",24,"LF","Pre-Arb",420000,0,0,420000,420000,0.41,0
"Justin Smoak",24,"1B","Pre-Arb",419000,0,0,419000,419000,0.41,0
"Adam Moore",27,"C","Pre-Arb",417500,0,0,417500,417500,0.41,0
"Blake Beavan",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Mike Carp",25,"LF","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Steve Delabar",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Charlie Furbush",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Chris Gimenez",28,"C","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Cesar Jimenez",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Alex Liddi",22,"3B","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Josh Lueke",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Yoervis Medina",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Yusmeiro Petit",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Michael Pineda",22,"SP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Trayvon Robinson",23,"LF","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Mauricio Robles",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Chance Ruffin",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Kyle Seager",23,"3B","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Chris Seddon",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Tom Wilhelmsen",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Mike Wilson",28,"RF","Pre-Arb",414000,0,0,414000,414000,0.41,0
"Casper Wells",26,"RF","Pre-Arb",418000,0,0,0,0,0,0
