"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Yadier Molina",35,"C","Vet",2e+07,0,0,2e+07,2e+07,12.21,"20,000,000"
"Adam Wainwright",36,"SP","Vet",19500000,0,0,19500000,19500000,11.91,"19,500,000"
"Matt Carpenter",32,"1B","Vet",13500000,250000,0,13750000,13750000,8.4,"8,666,667"
"Carlos Martinez",26,"SP","Arb 2",11500000,2e+05,0,11700000,11700000,7.14,"10,200,000"
"Marcell Ozuna",27,"LF","Arb 2",9e+06,0,0,9e+06,9e+06,5.5,"9,000,000"
"Miles Mikolas",29,"SP","Pre-Arb",7750000,0,0,7750000,7750000,4.73,"7,750,000"
"Brett Cecil",31,"RP","Vet",7500000,250000,0,7750000,7750000,4.73,"7,625,000"
"Jedd Gyorko",29,"3B","Arb 3",9e+06,0,0,9e+06,6500000,3.97,"6,200,000"
"Kolten Wong",27,"2B","Arb 2",4e+06,0,0,4e+06,4e+06,2.44,"5,100,000"
"Bud Norris",33,"RP","Vet",3e+06,0,0,3e+06,3e+06,1.83,"3,000,000"
"Paul DeJong",24,"SS","Pre-Arb",1e+06,166666,0,1166666,1166666,0.71,"4,333,333"
"Dominic Leone",26,"RP","Arb 1",1085000,0,0,1085000,1085000,0.66,"1,085,000"
"Matt Adams",29,"1B","Arb 3",4e+06,0,0,4e+06,881705,0.54,"4,000,000"
"Francisco Pena",28,"C","Pre-Arb",650000,0,0,650000,650000,0.4,"650,000"
"Greg Garcia",28,"2B","Pre-Arb",569600,0,0,569600,569600,0.35,"569,600"
"Jose Martinez",29,"1B","Pre-Arb",560400,0,0,560400,560400,0.34,"560,400"
"Jordan Hicks",21,"RP/CL","Pre-Arb",545000,0,0,545000,545000,0.33,"545,000"
"Tyson Ross",31,"SP","Vet",1750000,0,950000,2700000,536313,0.33,"1,750,000"
"Harrison Bader",24,"RF","Pre-Arb",545000,0,0,545000,530330,0.32,"545,000"
"Luke Weaver",24,"SP","Pre-Arb",550800,0,0,550800,512253,0.31,"550,800"
"Mike Mayers",26,"RP","Pre-Arb",545000,0,0,545000,477590,0.29,"545,000"
"Yairo Munoz",23,"SS","Pre-Arb",545000,0,0,545000,454150,0.28,"545,000"
"Jack Flaherty",22,"SP","Pre-Arb",545000,0,0,545000,433640,0.26,"545,000"
"John Gant",25,"RP","Pre-Arb",545000,0,0,545000,375040,0.23,"545,000"
"John Brebbia",28,"RP","Pre-Arb",552000,0,0,552000,368032,0.22,"552,000"
"Austin Gomber",24,"SP","Pre-Arb",545000,0,0,545000,322300,0.2,"545,000"
"Tyler O'Neill",23,"OF","Pre-Arb",545000,0,0,545000,295930,0.18,"545,000"
"Chasen Shreve",27,"RP","Arb 1",825000,0,0,825000,283840,0.17,"825,000"
"Dakota Hudson",23,"RP","Pre-Arb",545000,0,0,545000,193380,0.12,"545,000"
"Daniel Poncedeleon",26,"RP","Pre-Arb",545000,0,0,545000,178730,0.11,"545,000"
"Carson Kelly",23,"C","Pre-Arb",545000,0,0,545000,175800,0.11,"545,000"
"Tyler Webb",27,"RP","Pre-Arb",545000,0,0,545000,140640,0.09,"545,000"
"Patrick Wisdom",26,"3B","Pre-Arb",545000,0,0,545000,131850,0.08,"545,000"
"Adolis Garcia",25,"OF","Pre-Arb",545000,0,0,545000,120130,0.07,"545,000"
"Giovanny Gallegos",26,"RP","Pre-Arb",549975,0,0,549975,29570,0.02,"549,975"
"Edmundo Sosa",22,"SS","Pre-Arb",545000,0,0,545000,23440,0.01,"545,000"
