"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Cole Hamels",32,"SP","Vet",22500000,0,0,22500000,22500000,13.8,"24,000,000"
"Shin-Soo Choo",33,"RF","Vet",2e+07,0,0,2e+07,2e+07,12.27,"18,571,429"
"Adrian Beltre",37,"3B","Vet",1.8e+07,0,1e+05,18100000,18100000,11.1,"18,000,000"
"Elvis Andrus",27,"SS","Vet",1.5e+07,250000,0,15250000,15250000,9.35,"15,000,000"
"Yu Darvish",29,"SP","Vet",1e+07,0,8e+05,10800000,10800000,6.62,"10,000,000"
"Derek Holland",29,"SP","Vet",1e+07,0,0,1e+07,1e+07,6.13,"5,700,000"
"Ian Desmond",30,"LF","Vet",8e+06,0,0,8e+06,8e+06,4.91,"8,000,000"
"Colby Lewis",36,"SP","Vet",6e+06,0,0,6e+06,6e+06,3.68,"6,000,000"
"Mitch Moreland",30,"1B","Arb 3",5700000,0,0,5700000,5700000,3.5,"5,700,000"
"Martin Perez",25,"SP","Arb 1",2900000,250000,0,3150000,3150000,1.93,"3,125,000"
"Carlos Beltran",39,"DH","Vet",1.5e+07,0,0,1.5e+07,2500000,1.53,"15,000,000"
"Robinson Chirinos",32,"C","Arb 1",1550000,0,0,1550000,1550000,0.95,"1,550,000"
"Tony Barnette",32,"RP","Pre-Arb",1500000,0,0,1500000,1500000,0.92,"1,750,000"
"Jonathan Lucroy",30,"C","Arb 3",4250000,1e+05,25000,4375000,1463114,0.9,"2,200,000"
"Jake Diekman",29,"RP","Arb 1",1255000,0,0,1255000,1255000,0.77,"1,255,000"
"Tanner Scheppers",29,"RP","Arb 1",9e+05,0,0,9e+05,9e+05,0.55,"900,000"
"Sam Dyson",28,"RP","Pre-Arb",525270,0,0,525270,525270,0.32,"525,270"
"Rougned Odor",22,"2B","Pre-Arb",522700,0,0,522700,522700,0.32,"522,700"
"Keone Kela",23,"RP","Pre-Arb",518000,0,0,518000,518000,0.32,"518,000"
"A.J. Griffin",28,"RP","Pre-Arb",507500,0,0,507500,493633,0.3,"507,500"
"Ryan Rua",26,"LF","Pre-Arb",510120,0,0,510120,493476,0.3,"510,120"
"Nomar Mazara",21,"RF","Pre-Arb",507500,0,0,507500,488087,0.3,"507,500"
"Jurickson Profar",23,"SS","Pre-Arb",605000,0,0,605000,426474,0.26,"605,000"
"Alexander Claudio",24,"RP","Pre-Arb",510250,0,0,510250,420988,0.26,"510,250"
"Matt Bush",30,"RP","Pre-Arb",507500,0,0,507500,396539,0.24,"507,500"
"Delino DeShields",23,"CF","Pre-Arb",517130,0,0,517130,322164,0.2,"517,130"
"Nick Martinez",25,"SP","Pre-Arb",519190,0,0,519190,204264,0.13,"519,190"
"Jared Hoying",27,"RF","Pre-Arb",507500,0,0,507500,188564,0.12,"507,500"
"Jeremy Jeffress",28,"RP","Pre-Arb",519100,0,0,519100,178706,0.11,"519,100"
"Brett Nicholas",27,"C","Pre-Arb",507500,0,0,507500,152515,0.09,"507,500"
"Dario Alvarez",27,"RP","Pre-Arb",507500,0,0,507500,130331,0.08,"507,500"
"Jose Leclerc",22,"RP","Pre-Arb",507500,0,0,507500,113693,0.07,"507,500"
"Carlos Gomez",30,"CF","Vet",507500,0,0,507500,110920,0.07,"507,500"
"Joey Gallo",22,"3B","Pre-Arb",509500,0,0,509500,108576,0.07,"509,500"
"Andrew Faulkner",23,"RP","Pre-Arb",508500,0,0,508500,88928,0.05,"508,500"
"Hanser Alberto",27,"SS","Pre-Arb",511500,0,0,511500,86721,0.05,"511,500"
"Yohander Mendez",21,"RP","Pre-Arb",507500,0,0,507500,85963,0.05,"507,500"
