"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Mark Buehrle",35,"SP","Vet",1.8e+07,1e+06,50000,19050000,19050000,13.43,0
"Jose Reyes",31,"3B","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,11.28,0
"Jose Bautista",33,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,9.87,0
"R.A. Dickey",39,"SP","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,8.46,0
"Edwin Encarnacion",31,"DH","Vet",9e+06,0,0,9e+06,9e+06,6.35,0
"Melky Cabrera",29,"LF","Vet",8e+06,0,0,8e+06,8e+06,5.64,0
"Brandon Morrow",29,"RP/CL","Vet",8e+06,0,0,8e+06,8e+06,5.64,0
"Adam Lind",30,"1B","Vet",7e+06,0,0,7e+06,7e+06,4.94,0
"Colby Rasmus",27,"LF","Arb 3",7e+06,0,0,7e+06,7e+06,4.94,0
"J.A. Happ",31,"SP","Arb 3",5200000,0,0,5200000,5200000,3.67,0
"Casey Janssen",32,"RP","Vet",4e+06,0,0,4e+06,4e+06,2.82,0
"Dioner Navarro",30,"C","Vet",3e+06,0,0,3e+06,3e+06,2.12,0
"Dustin McGowan",32,"RP","Vet",1500000,0,0,1500000,1500000,1.06,0
"Brett Cecil",27,"RP","Arb 1",1300000,0,0,1300000,1300000,0.92,0
"Josh Thole",27,"C","Arb 2",1250000,0,0,1250000,1250000,0.88,0
"John Mayberry Jr.",30,"RF","Arb 1",1587500,0,0,1587500,520491,0.37,0
"Brett Lawrie",24,"2B","Pre-Arb",516100,0,0,516100,516100,0.36,0
"Steve Delabar",30,"RP","Pre-Arb",515900,0,0,515900,515900,0.36,0
"Aaron Loup",26,"RP","Pre-Arb",512400,0,0,512400,512400,0.36,0
"Todd Redmond",29,"RP","Pre-Arb",505700,0,0,505700,505700,0.36,0
"Drew Hutchison",23,"RP","Pre-Arb",503200,0,0,503200,503200,0.35,0
"Juan Francisco",27,"1B","Arb 1",5e+05,0,0,5e+05,445355,0.31,0
"Marcus Stroman",23,"SP","Pre-Arb",5e+05,0,0,5e+05,371584,0.26,0
"Anthony Gose",23,"RP","Pre-Arb",5e+05,0,0,5e+05,297814,0.21,0
"Dan Johnson",34,"1B","Arb 1",5e+05,0,0,5e+05,218579,0.15,0
"Chad Jenkins",26,"RP","Pre-Arb",5e+05,0,0,5e+05,215846,0.15,0
"Ryan Goins",26,"2B","Pre-Arb",501900,0,0,501900,202379,0.14,0
"Aaron Sanchez",21,"SP","Pre-Arb",5e+05,0,0,5e+05,188524,0.13,0
"Danny Valencia",29,"3B","Pre-Arb",532500,0,0,532500,183319,0.13,0
"Kevin Pillar",25,"CF","Pre-Arb",5e+05,0,0,5e+05,174863,0.12,0
"George Kottaras",31,"C","Arb 3",5e+05,0,0,5e+05,73770,0.05,0
"Sean Nolin",24,"RP","Pre-Arb",5e+05,0,0,5e+05,73770,0.05,0
"Dalton Pompey",21,"CF","Pre-Arb",5e+05,0,0,5e+05,73770,0.05,0
"Darin Mastroianni",28,"CF","Pre-Arb",505000,0,0,505000,71748,0.05,0
"Rob Rasmussen",25,"RP","Pre-Arb",5e+05,0,0,5e+05,71038,0.05,0
"Kendall Graveman",23,"SP","Pre-Arb",5e+05,0,0,5e+05,68306,0.05,0
"Kyle Drabek",26,"RP","Pre-Arb",5e+05,0,0,5e+05,21505,0.02,0
