"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Max Scherzer",31,"SP","Vet",1.5e+07,7142857,1e+05,22242857,22242857,15.96,"30,000,000"
"Ryan Zimmerman",31,"1B","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,10.04,"16,666,667"
"Gio Gonzalez",30,"SP","Vet",1.2e+07,1e+05,0,12100000,12100000,8.68,"8,400,000"
"Jayson Werth",37,"LF","Vet",2.1e+07,571428,0,21571428,11571428,8.3,"18,000,000"
"Stephen Strasburg",27,"SP","Arb 3",10400000,0,0,10400000,10400000,7.46,"25,000,000"
"Daniel Murphy",31,"2B","Vet",8e+06,0,0,8e+06,8e+06,5.74,"12,500,000"
"Ben Revere",28,"CF","Arb 2",6250000,0,0,6250000,6250000,4.48,"6,250,000"
"Bryce Harper",23,"RF","Arb 2",5e+06,0,0,5e+06,5e+06,3.59,"3,750,000"
"Shawn Kelley",32,"RP","Vet",4e+06,0,2e+05,4200000,4200000,3.01,"5,000,000"
"Mark Melancon",31,"RP/CL","Arb 3",9650000,0,0,9650000,3427595,2.46,"9,650,000"
"Stephen Drew",33,"2B","Vet",3e+06,0,0,3e+06,3e+06,2.15,"3,000,000"
"Oliver Perez",34,"RP","Vet",3e+06,0,0,3e+06,3e+06,2.15,"3,500,000"
"Danny Espinosa",29,"SS","Arb 2",2875000,0,0,2875000,2875000,2.06,"2,875,000"
"Anthony Rendon",26,"3B","Arb 1",2800000,0,0,2800000,2800000,2.01,"2,800,000"
"Yusmeiro Petit",31,"RP","Arb 3",2500000,0,0,2500000,2500000,1.79,"3,000,000"
"Jose Lobaton",31,"C","Arb 3",1387500,0,0,1387500,1387500,1,"1,387,500"
"Matt Belisle",36,"RP","Vet",1250000,0,0,1250000,1250000,0.9,"1,250,000"
"Marc Rzepczynski",30,"RP","Arb 3",2950000,0,0,2950000,628688,0.45,"2,950,000"
"Tanner Roark",29,"SP","Pre-Arb",543400,0,0,543400,543400,0.39,"543,400"
"Clint Robinson",31,"1B","Pre-Arb",534900,0,0,534900,534900,0.38,"534,900"
"Blake Treinen",28,"RP/CL","Pre-Arb",524900,0,0,524900,524900,0.38,"524,900"
"Joe Ross",23,"SP","Pre-Arb",514400,0,0,514400,514400,0.37,"514,400"
"Chris Heisey",31,"LF","Arb 3",507500,0,0,507500,507500,0.36,"507,500"
"Sammy Solis",27,"RP","Pre-Arb",507500,0,0,507500,440907,0.32,"507,500"
"Michael Taylor",25,"CF","Pre-Arb",524000,0,0,524000,412272,0.3,"524,000"
"Trea Turner",23,"SS","Pre-Arb",507500,0,0,507500,249570,0.18,"507,500"
"Wilmer Difo",24,"SS","Pre-Arb",507500,0,0,507500,163607,0.12,"507,500"
"A.J. Cole",24,"SP","Pre-Arb",507500,0,0,507500,122012,0.09,"507,500"
"Reynaldo Lopez",22,"SP","Pre-Arb",507500,0,0,507500,116466,0.08,"507,500"
"Lucas Giolito",21,"SP","Pre-Arb",507500,0,0,507500,108147,0.08,"507,500"
"Trevor Gott",23,"RP","Pre-Arb",516000,0,0,516000,87420,0.06,"516,000"
"Sean Burnett",33,"RP","Vet",507500,0,0,507500,85963,0.06,"507,500"
"Matt Grace",27,"RP","Pre-Arb",507500,0,0,507500,85963,0.06,"507,500"
"Mat Latos",28,"SP","Vet",507500,0,0,507500,85963,0.06,"507,500"
"Erik Davis",29,"RP","Pre-Arb",0,0,0,0,0,0,"0"
