"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Dan Uggla",33,"2B","Vet",1.3e+07,2e+05,0,13200000,13200000,13.9,0
"Melvin Upton",28,"LF","Vet",12450000,6e+05,0,13050000,13050000,13.74,0
"Brian McCann",29,"C","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,12.64,0
"Justin Upton",25,"LF","Vet",9750000,208333,0,9958333,9958333,10.49,0
"Tim Hudson",37,"SP","Vet",9e+06,0,5e+05,9500000,9500000,10.01,0
"Eric O'Flaherty",28,"RP","Arb 3",4320000,0,0,4320000,4320000,4.55,0
"Jason Heyward",23,"RF","Arb 1",3650000,0,0,3650000,3650000,3.84,0
"Kris Medlen",27,"SP","Arb 1",2600000,0,0,2600000,2600000,2.74,0
"Chris Johnson",28,"3B","Pre-Arb",2287500,0,0,2287500,2287500,2.41,0
"Scott Downs",37,"RP","Vet",5e+06,0,0,5e+06,1748633,1.84,0
"Jonny Venters",28,"RP","Arb 1",1625500,0,0,1625500,1625500,1.71,0
"Reed Johnson",36,"LF","Vet",1600000,0,0,1600000,1600000,1.69,0
"Gerald Laird",33,"C","Vet",1500000,0,0,1500000,1500000,1.58,0
"Luis Ayala",35,"RP","Vet",1e+06,0,0,1e+06,1e+06,1.05,0
"Paul Janish",30,"SS","Pre-Arb",725000,0,0,725000,725000,0.76,0
"Craig Kimbrel",25,"RP/CL","Pre-Arb",655000,0,0,655000,655000,0.69,0
"Freddie Freeman",23,"1B","Pre-Arb",560000,0,0,560000,560000,0.59,0
"Ramiro Pena",27,"2B","Pre-Arb",550000,0,0,550000,550000,0.58,0
"Jordan Walden",25,"RP","Pre-Arb",541500,0,0,541500,541500,0.57,0
"Jordan Schafer",26,"CF","Pre-Arb",512500,0,0,512500,512500,0.54,0
"Brandon Beachy",26,"SP","Pre-Arb",510000,0,0,510000,510000,0.54,0
"Mike Minor",25,"RP","Pre-Arb",505000,0,0,505000,505000,0.53,0
"Luis Avilan",23,"RP","Pre-Arb",491250,0,0,491250,491250,0.52,0
"Andrelton Simmons",23,"SS","Pre-Arb",491250,0,0,491250,491250,0.52,0
"David Carpenter",27,"RP","Pre-Arb",490000,0,0,490000,490000,0.52,0
"Julio Teheran",22,"SP","Pre-Arb",490000,0,0,490000,490000,0.52,0
"Anthony Varvaro",28,"RP","Pre-Arb",490000,0,0,490000,490000,0.52,0
"Evan Gattis",26,"C","Pre-Arb",490000,0,0,490000,479289,0.5,0
"Alex Wood",22,"SP","Pre-Arb",490000,0,0,490000,326666,0.34,0
"Joey Terdoslavich",24,"LF","Pre-Arb",490000,0,0,490000,232950,0.25,0
"Todd Cunningham",24,"LF","Pre-Arb",490000,0,0,490000,163333,0.17,0
"Jose Constanza",29,"RF","Pre-Arb",490000,0,0,490000,157978,0.17,0
"Elliot Johnson",29,"2B","Pre-Arb",520500,0,0,520500,110926,0.12,0
"Freddy Garcia",36,"SP","Vet",490000,0,0,490000,80327,0.08,0
"Christian Bethancourt",21,"C","Pre-Arb",490000,0,0,490000,58907,0.06,0
