"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Adrian Gonzalez",30,"1B","Vet",2.1e+07,857142,0,21857142,21857142,12.47,0
"Carl Crawford",30,"LF","Vet",19500000,857142,0,20357142,20357142,11.61,0
"Josh Beckett",32,"SP","Vet",15750000,1250000,0,1.7e+07,1.7e+07,9.7,0
"John Lackey",33,"SP","Vet",15250000,7e+05,0,15950000,15950000,9.1,0
"David Ortiz",36,"DH","Vet",14575000,0,0,14575000,14575000,8.32,0
"Daisuke Matsuzaka",31,"SP","Pre-Arb",1e+07,333334,0,10333334,10333334,5.9,0
"Dustin Pedroia",28,"2B","Vet",8e+06,250000,0,8250000,8250000,4.71,0
"Jacoby Ellsbury",28,"CF","Arb 2",8050000,0,0,8050000,8050000,4.59,0
"Jon Lester",28,"SP","Vet",7625000,0,0,7625000,7625000,4.35,0
"Bobby Jenks",31,"RP","Vet",6e+06,0,0,6e+06,6e+06,3.42,0
"Andrew Bailey",28,"RP","",3900000,0,0,3900000,3900000,2.23,0
"Clay Buchholz",27,"SP","Vet",3500000,250000,0,3750000,3750000,2.14,0
"Cody Ross",31,"RF","Vet",3e+06,0,0,3e+06,3e+06,1.71,0
"Jarrod Saltalamacchia",27,"C","Arb 2",2500000,0,0,2500000,2500000,1.43,0
"Jose Iglesias",22,"SS","Pre-Arb",562500,1500000,0,2062500,2062500,1.18,0
"Ryan Sweeney",27,"CF","Arb 2",1750000,0,0,1750000,1750000,1,0
"Daniel Bard",27,"RP","Pre-Arb",1612500,0,0,1612500,1612500,0.92,0
"Vincent Padilla",34,"RP","Vet",1500000,0,0,1500000,1500000,0.86,0
"Nick Punto",34,"SS","Vet",1500000,0,0,1500000,1500000,0.86,0
"Aaron Cook",33,"SP","Pre-Arb",1500000,0,0,1500000,1254098,0.72,0
"Alfredo Aceves",30,"RP","Arb 1",1200000,0,0,1200000,1200000,0.68,0
"Mike Aviles",31,"3B","Arb 1",1200000,0,0,1200000,1200000,0.68,0
"Matt Albers",29,"RP","Arb 3",1075000,0,0,1075000,1075000,0.61,0
"Andrew Miller",27,"RP","Arb 1",1040000,0,0,1040000,1040000,0.59,0
"Junichi Tazawa",26,"RP","Pre-Arb",920000,0,0,920000,920000,0.52,0
"Franklin Morales",26,"RP","Arb 1",850000,0,0,850000,850000,0.48,0
"Rich Hill",32,"SP","Arb 2",725000,0,0,725000,725000,0.41,0
"Mark Melancon",27,"RP/CL","Pre-Arb",521000,0,0,521000,521000,0.3,0
"Scott Atchison",36,"RP","Arb 2",510000,0,0,510000,510000,0.29,0
"Darnell McDonald",33,"LF","Pre-Arb",506500,0,0,506500,506500,0.29,0
"Felix Doubront",24,"SP","Pre-Arb",484000,0,0,484000,484000,0.28,0
"Ryan Kalish",24,"LF","Pre-Arb",483000,0,0,483000,483000,0.28,0
"Chris Carpenter",26,"RP","Pre-Arb",482000,0,0,482000,482000,0.27,0
"Drake Britton",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Pedro Ciriaco",26,"SS","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Mauro Gomez",27,"1B","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Ryan Lavarnway",24,"C","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Che-Hsuan Lin",23,"LF","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Will Middlebrooks",23,"3B","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Clay Mortensen",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Stolmy Pimentel",22,"RP","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Jerry Sands",24,"LF","Pre-Arb",480000,0,0,480000,480000,0.27,0
"Marlon Byrd",34,"LF","Vet",6500000,0,0,6500000,435165,0.25,0
"Daniel Nava",29,"LF","Pre-Arb",480000,0,0,480000,382950,0.22,0
"David Carpenter",26,"RP","Pre-Arb",485000,0,0,485000,201420,0.11,0
"Jason Repko",31,"CF","Pre-Arb",575000,0,0,575000,185382,0.11,0
"Justin Thomas",28,"RP","Pre-Arb",516000,0,0,516000,107147,0.06,0
