"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jason Heyward",28,"RF","Vet",21500000,6666667,0,28166667,28166667,14.5,"23,000,000"
"Jon Lester",34,"SP","Vet",22500000,5e+06,0,27500000,27500000,14.16,"25,833,333"
"Ben Zobrist",37,"2B","Vet",1.6e+07,5e+05,0,16500000,16500000,8.49,"14,000,000"
"Tyler Chatwood",28,"SP","Vet",12500000,0,0,12500000,12500000,6.43,"12,666,667"
"Kris Bryant",26,"3B","Arb 1",10850000,0,0,10850000,10850000,5.59,"10,850,000"
"Jose Quintana",29,"SP","Vet",8850000,0,0,8850000,8850000,4.56,"5,300,000"
"Steve Cishek",32,"RP","Vet",6500000,0,1e+06,7500000,7500000,3.86,"6,500,000"
"Anthony Rizzo",28,"1B","Vet",7e+06,285714,0,7285714,7285714,3.75,"5,857,143"
"Pedro Strop",33,"RP/CL","Vet",5850000,0,0,5850000,5850000,3.01,"5,925,000"
"Justin Wilson",30,"RP","Arb 3",4250000,0,0,4250000,4250000,2.19,"4,250,000"
"Kyle Hendricks",28,"SP","Arb 1",4175000,0,0,4175000,4175000,2.15,"4,175,000"
"Daniel Murphy",33,"2B","Vet",17500000,0,0,17500000,3857526,1.99,"12,500,000"
"Brian Duensing",35,"RP","Vet",3500000,0,0,3500000,3500000,1.8,"3,500,000"
"Cole Hamels",34,"SP","Vet",22500000,0,0,22500000,2096774,1.08,"24,000,000"
"Brandon Kintzler",33,"RP","Vet",5e+06,0,0,5e+06,1666684,0.86,"5,000,000"
"Tommy La Stella",29,"3B","Arb 1",950000,0,0,950000,950000,0.49,"950,000"
"Javier Baez",25,"2B","Pre-Arb",657000,0,0,657000,657000,0.34,"657,000"
"Mike Montgomery",28,"SP","Pre-Arb",611250,0,0,611250,611250,0.31,"611,250"
"Willson Contreras",26,"C","Pre-Arb",604500,0,0,604500,604500,0.31,"604,500"
"Kyle Schwarber",25,"LF","Pre-Arb",604500,0,0,604500,604500,0.31,"604,500"
"C.J. Edwards",26,"RP","Pre-Arb",594000,0,0,594000,594000,0.31,"594,000"
"Albert Almora",24,"CF","Pre-Arb",584500,0,0,584500,584500,0.3,"584,500"
"Ian Happ",23,"CF","Pre-Arb",570000,0,0,570000,570000,0.29,"570,000"
"Victor Caratini",24,"C","Pre-Arb",547500,0,0,547500,432768,0.22,"547,500"
"Jesse Chavez",34,"RP","Vet",1e+06,0,5e+05,1500000,397824,0.2,"1,500,000"
"Randy Rosario",24,"RP","Pre-Arb",545000,0,0,545000,354530,0.18,"545,000"
"David Bote",25,"2B","Pre-Arb",545000,0,0,545000,293000,0.15,"545,000"
"Jorge De La Rosa",37,"RP","Vet",545000,0,0,545000,149430,0.08,"545,000"
"James Norwood",24,"RP","Pre-Arb",545000,0,0,545000,131850,0.07,"545,000"
"Dillon Maples",26,"RP","Pre-Arb",545000,0,0,545000,117200,0.06,"545,000"
"Bobby Wilson",35,"C","Vet",545000,0,0,545000,93760,0.05,"545,000"
"Taylor Davis",28,"C","Pre-Arb",545000,0,0,545000,87900,0.05,"545,000"
"Terrance Gore",27,"LF","Pre-Arb",545000,0,0,545000,87900,0.05,"545,000"
"Alec Mills",26,"RP","Pre-Arb",545000,0,0,545000,82040,0.04,"545,000"
"Jaime Garcia",31,"RP","Vet",545000,0,0,545000,79110,0.04,"545,000"
"Allen Webster",28,"SP","Pre-Arb",545000,0,0,545000,35160,0.02,"545,000"
"Mike Freeman",30,"2B","Pre-Arb",545000,0,0,545000,26370,0.01,"545,000"
