"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Melky Cabrera",31,"LF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,10.79,"14,000,000"
"James Shields",34,"SP","Vet",2.1e+07,0,0,2.1e+07,12114755,9.34,"18,750,000"
"Jose Abreu",29,"1B","Pre-Arb",1e+07,1666667,0,11666667,11666667,8.99,"11,333,333"
"David Robertson",31,"RP","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,8.48,"11,500,000"
"Chris Sale",27,"SP","Arb 3",9150000,0,15000,9165000,9165000,7.07,"6,500,000"
"Todd Frazier",30,"3B","Arb 2",7500000,750000,0,8250000,8250000,6.36,"6,000,000"
"Jose Quintana",27,"SP","Vet",5400000,0,0,5400000,5400000,4.16,"5,300,000"
"Adam Eaton",27,"RF","Arb 1",2750000,0,0,2750000,2750000,2.12,"4,700,000"
"Alex Avila",29,"C","Vet",2500000,0,0,2500000,2500000,1.93,"2,500,000"
"Avisail Garcia",25,"RF","Arb 1",2100000,0,0,2100000,2100000,1.62,"2,100,000"
"Matt Albers",33,"RP","Vet",2e+06,0,0,2e+06,2e+06,1.54,"2,250,000"
"Jacob Turner",25,"RP","Arb 1",1500000,0,0,1500000,1500000,1.16,"1,500,000"
"Nate Jones",30,"RP","Arb 2",9e+05,0,0,9e+05,9e+05,0.69,"2,666,667"
"Dan Jennings",29,"RP","Arb 1",810000,0,0,810000,810000,0.62,"810,000"
"Justin Morneau",35,"1B","Vet",1e+06,0,1e+05,1100000,633879,0.49,"1,000,000"
"Carlos Rodon",23,"SP","Pre-Arb",518000,0,0,518000,518000,0.4,"518,000"
"Miguel Gonzalez",32,"SP","Arb 2",507500,0,0,507500,413177,0.32,"507,500"
"J.B. Shuck",29,"LF","Pre-Arb",521000,0,0,521000,398580,0.31,"521,000"
"Tim Anderson",23,"SS","Pre-Arb",507500,0,0,507500,318895,0.25,"507,500"
"Michael Ynoa",24,"RP","Pre-Arb",507500,0,0,507500,307803,0.24,"507,500"
"Yolmer Sanchez",24,"2B","Pre-Arb",507500,0,0,507500,305030,0.24,"507,500"
"Tommy Kahnle",26,"RP","Pre-Arb",507500,0,0,507500,280073,0.22,"507,500"
"Omar Narvaez",24,"C","Pre-Arb",507500,0,0,507500,246797,0.19,"507,500"
"Jason Coats",26,"RF","Pre-Arb",507500,0,0,507500,224613,0.17,"507,500"
"Chris Beck",25,"RP","Pre-Arb",507500,0,0,507500,199656,0.15,"507,500"
"Anthony Ranaudo",26,"SP","Pre-Arb",509500,0,0,509500,141984,0.11,"509,500"
"Matt Purke",25,"RP","Pre-Arb",507500,0,0,507500,135877,0.1,"507,500"
"Carson Fulmer",22,"SP","Pre-Arb",507500,0,0,507500,94282,0.07,"507,500"
"Juan Minaya",25,"RP","Pre-Arb",507500,0,0,507500,88736,0.07,"507,500"
"Kevan Smith",28,"C","Pre-Arb",507500,0,0,507500,88736,0.07,"507,500"
"Leury Garcia",25,"OF","Pre-Arb",507500,0,0,507500,74871,0.06,"507,500"
"Blake Smith",28,"P","Pre-Arb",507500,0,0,507500,74871,0.06,"507,500"
"Tyler Danish",21,"SP","Pre-Arb",507500,0,0,507500,16638,0.01,"507,500"
"Brandon Brennan",24,"SP","Pre-Arb",507500,0,0,507500,2773,0,"507,500"
"Alfredo Gonzalez",23,"C","Pre-Arb",507500,0,0,507500,2773,0,"507,500"
