"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Francisco Cordero",36,"RP","Pre-Arb",12125000,125000,0,12250000,12250000,14.95,0
"Brandon Phillips",30,"2B","Vet",11250000,187500,0,11437500,11437500,13.96,0
"Scott Rolen",36,"3B","Vet",6500000,1666666,0,8166666,8166666,9.97,0
"Joey Votto",27,"1B","Arb 1",5500000,2e+06,1e+05,7600000,7600000,9.28,0
"Bronson Arroyo",34,"SP","Vet",6500000,0,0,6500000,6500000,7.93,0
"Aroldis Chapman",23,"RP/CL","Pre-Arb",1e+06,2708333,0,3708333,3708333,4.53,0
"Johnny Cueto",25,"SP","Arb 1",3400000,0,0,3400000,3400000,4.15,0
"Ramon Hernandez",35,"C","Vet",2947318,0,0,2947318,2947318,3.6,0
"Jay Bruce",24,"RF","Pre-Arb",2750000,41666,0,2791666,2791666,3.41,0
"Edgar Renteria",35,"SS","Pre-Arb",2068391,0,0,2068391,2068391,2.52,0
"Jonny Gomes",30,"LF","Vet",1750000,0,0,1750000,1750000,2.14,0
"Nick Massett",29,"RP","Arb 2",1725000,0,0,1725000,1725000,2.11,0
"Edinson Volquez",27,"SP","Arb 1",1625000,0,0,1625000,1625000,1.98,0
"Yasmani Grandal",22,"C","Pre-Arb",0,747500,0,747500,1161500,1.42,0
"Miguel Cairo",37,"3B","Vet",1e+06,0,0,1e+06,1e+06,1.22,0
"Yonder Alonso",24,"1B","Pre-Arb",6e+05,4e+05,0,1e+06,1e+06,1.22,0
"Fred Lewis",30,"LF","Pre-Arb",9e+05,0,0,9e+05,9e+05,1.1,0
"Jared Burton",30,"RP","Arb 3",750000,0,0,750000,750000,0.92,0
"Bill Bray",28,"RP","Arb 1",645000,0,0,645000,645000,0.79,0
"Ryan Hanigan",30,"C","Pre-Arb",450000,1e+05,0,550000,550000,0.67,0
"Jose Arredondo",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.59,0
"Drew Stubbs",26,"CF","Pre-Arb",450000,0,0,450000,450000,0.55,0
"Homer Bailey",25,"SP","Pre-Arb",441000,0,0,441000,441000,0.54,0
"Paul Janish",28,"SS","Pre-Arb",437500,0,0,437500,437500,0.53,0
"Mike Leake",23,"SP","Pre-Arb",425000,0,0,425000,425000,0.52,0
"Travis Wood",24,"SP","Pre-Arb",422500,0,0,422500,422500,0.52,0
"Chris Heisey",26,"LF","Pre-Arb",419000,0,0,419000,419000,0.51,0
"Logan Ondrusek",26,"RP","Pre-Arb",418000,0,0,418000,418000,0.51,0
"Jordan Smith",25,"RP","Pre-Arb",416500,0,0,416500,416500,0.51,0
"Matt Maloney",27,"RP","Pre-Arb",415000,0,0,415000,415000,0.51,0
"Zack Cozart",25,"SS","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Carlos Fisher",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Juan Francisco",24,"1B","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Todd Frazier",25,"3B","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Sam LeCure",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Devin Mesoraco",23,"C","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Chris Valaika",25,"2B","Pre-Arb",414000,0,0,414000,414000,0.51,0
"Dontrelle Willis",29,"SP","Vet",414000,0,0,414000,414000,0.51,0
