"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Carlos Santana",30,"1B","Arb 3",8250000,2e+05,0,8450000,8450000,7.97,"4,200,380"
"Mike Napoli",34,"1B","Vet",7e+06,0,0,7e+06,7e+06,6.61,"7,000,000"
"Jason Kipnis",29,"2B","Arb 2",6e+06,166666,0,6166666,6166666,5.82,"8,750,000"
"Rajai Davis",35,"CF","Vet",5250000,0,7e+05,5950000,5950000,5.61,"5,250,000"
"Corey Kluber",30,"SP","Arb 1",4500000,2e+05,0,4700000,4700000,4.44,"7,700,000"
"Cody Allen",27,"RP/CL","Arb 1",4150000,0,0,4150000,4150000,3.92,"4,150,000"
"Andrew Miller",31,"RP","Vet",9e+06,0,0,9e+06,3147520,2.97,"9,000,000"
"Josh Tomlin",31,"SP","Arb 3",2250000,0,750000,3e+06,3e+06,2.83,"1,833,333"
"Bryan Shaw",28,"RP","Arb 2",2750000,0,0,2750000,2750000,2.6,"2,750,000"
"Lonnie Chisenhall",27,"RF","Arb 1",2725000,0,0,2725000,2725000,2.57,"2,725,000"
"Yan Gomes",28,"C","Arb 1",2500000,83333,0,2583333,2583333,2.44,"3,833,333"
"Trevor Bauer",25,"SP","Pre-Arb",1697500,0,0,1697500,1697500,1.6,"1,697,500"
"Zach McAllister",28,"RP","Arb 1",1300000,0,0,1300000,1300000,1.23,"1,300,000"
"Chris Gimenez",33,"C","Arb 3",975000,0,0,975000,809856,0.76,"975,000"
"Jeff Manship",31,"RP","Arb 1",760000,0,0,760000,760000,0.72,"760,000"
"Francisco Lindor",22,"SS","Pre-Arb",540300,0,0,540300,540300,0.51,"540,300"
"Danny Salazar",26,"SP","Pre-Arb",536200,0,0,536200,536200,0.51,"536,200"
"Dan Otero",31,"RP","Pre-Arb",520000,0,0,520000,520000,0.49,"520,000"
"Jose Ramirez",23,"3B","Pre-Arb",518200,0,0,518200,518200,0.49,"518,200"
"Roberto Perez",27,"C","Pre-Arb",515800,0,0,515800,515800,0.49,"515,800"
"Coco Crisp",36,"CF","Vet",1.1e+07,0,0,1.1e+07,5e+05,0.47,"11,375,000"
"Tyler Naquin",25,"CF","Pre-Arb",507500,0,0,507500,451999,0.43,"507,500"
"Brandon Guyer",30,"RF","Arb 1",1185000,0,0,1185000,407950,0.38,"1,185,000"
"Abraham Almonte",27,"CF","Pre-Arb",507500,0,0,507500,255116,0.24,"507,500"
"Kyle Crockett",24,"RP","Pre-Arb",507500,0,0,507500,238478,0.23,"507,500"
"Cody Anderson",25,"RP","Pre-Arb",511400,0,0,511400,229190,0.22,"511,400"
"Mike Clevinger",25,"RP","Pre-Arb",507500,0,0,507500,216294,0.2,"507,500"
"Joseph Colon",26,"RP","Pre-Arb",507500,0,0,507500,199656,0.19,"507,500"
"Austin Adams",29,"RP","Pre-Arb",507500,0,0,507500,185791,0.18,"507,500"
"Michael Martinez",33,"2B","Pre-Arb",507500,0,0,507500,163607,0.15,"507,500"
"Erik Gonzalez",24,"3B","Pre-Arb",507500,0,0,507500,146969,0.14,"507,500"
"Adam Moore",32,"C","Pre-Arb",507500,0,0,507500,97055,0.09,"507,500"
"Perci Garner",27,"RP","Pre-Arb",507500,0,0,507500,94282,0.09,"507,500"
"Shawn Armstrong",25,"RP","Pre-Arb",507500,0,0,507500,88736,0.08,"507,500"
"Ryan Merritt",24,"RP","Pre-Arb",507500,0,0,507500,88736,0.08,"507,500"
"Jesus Aguilar",26,"1B","Pre-Arb",507500,0,0,507500,63779,0.06,"507,500"
"Adam Plutko",24,"P","Pre-Arb",507500,0,0,507500,36049,0.03,"507,500"
