"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Aaron Cook",32,"SP","Pre-Arb",9875000,833334,0,10708334,10708334,12.86,0
"Todd Helton",37,"1B","Vet",6e+06,4600000,0,10600000,10600000,12.73,0
"Jorge De La Rosa",30,"RP","Vet",9500000,5e+05,0,1e+07,1e+07,12.01,0
"Huston Street",27,"RP","Vet",7300000,0,0,7300000,7300000,8.77,0
"Troy Tulowitzki",26,"SS","Vet",5500000,0,75000,5575000,5575000,6.7,0
"Rafael Betancourt",36,"RP","Vet",3775000,0,0,3775000,3775000,4.53,0
"Jose Lopez",27,"3B","Arb 3",3600000,0,0,3600000,3600000,4.32,0
"Ty Wigginton",33,"3B","Vet",3500000,0,0,3500000,3500000,4.2,0
"Jason Hammel",28,"SP","Arb 2",3e+06,0,0,3e+06,3e+06,3.6,0
"Chris Iannetta",28,"C","Arb 2",2550000,83333,0,2633333,2633333,3.16,0
"Matt Belisle",31,"RP","Arb 4",2350000,0,0,2350000,2350000,2.82,0
"Ian Stewart",26,"2B","Pre-Arb",2287500,0,0,2287500,2287500,2.75,0
"Ryan Spilborghs",31,"CF","Arb 2",1950000,0,0,1950000,1950000,2.34,0
"Carlos Gonzalez",25,"RF","Vet",1e+06,428571,0,1428571,1428571,1.72,0
"Jason Giambi",40,"DH","Vet",1e+06,0,0,1e+06,1e+06,1.2,0
"Matt Lindstrom",31,"RP","Arb 2",979234,0,0,979234,979234,1.18,0
"Felipe Paulino",27,"SP","Arb 1",790000,0,0,790000,790000,0.95,0
"Seth Smith",28,"RF","Pre-Arb",429000,0,0,429000,429000,0.52,0
"Dexter Fowler",25,"CF","Pre-Arb",424000,0,0,424000,424000,0.51,0
"Jose Morales",28,"C","Pre-Arb",420000,0,0,420000,420000,0.5,0
"Jhoulys Chacin",23,"SP","Pre-Arb",419000,0,0,419000,419000,0.5,0
"Jonathan Herrera",26,"SS","Pre-Arb",419000,0,0,419000,419000,0.5,0
"Esmil Rogers",25,"RP","Pre-Arb",417000,0,0,417000,417000,0.5,0
"Matt Reynolds",26,"RP","Pre-Arb",415000,0,0,415000,415000,0.5,0
"Charlie Blackmon",24,"CF","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Edgmer Escalona",24,"RP","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Tommy Field",24,"2B","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Clay Mortensen",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Chris Nelson",25,"3B","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Juan Nicasio",24,"RP","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Drew Pomeranz",22,"SP","Pre-Arb",414000,0,0,414000,414000,0.5,0
"Eric Young Jr.",26,"CF","Pre-Arb",414000,0,0,414000,414000,0.5,0
