"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Justin Verlander",33,"SP","Vet",2.8e+07,0,0,2.8e+07,2.8e+07,13.99,"25,714,286"
"Justin Upton",28,"LF","Vet",22125000,0,0,22125000,22125000,11.05,"22,125,000"
"Victor Martinez",37,"DH","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,8.99,"17,000,000"
"Jordan Zimmermann",30,"SP","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,8.99,"22,000,000"
"Anibal Sanchez",32,"RP","Vet",1.6e+07,8e+05,0,16800000,16800000,8.39,"16,000,000"
"Ian Kinsler",34,"2B","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,6.99,"15,000,000"
"Mike Pelfrey",32,"RP","Vet",8e+06,0,0,8e+06,8e+06,4,"8,000,000"
"Francisco Rodriguez",34,"RP","Vet",7500000,0,0,7500000,7500000,3.75,"6,500,000"
"J.D. Martinez",28,"DH","Arb 2",6750000,0,0,6750000,6750000,3.37,"9,250,000"
"Cameron Maybin",29,"CF","Vet",8e+06,1e+05,0,8100000,5600000,2.8,"5,000,000"
"Mark Lowe",33,"RP","Vet",5500000,0,0,5500000,5500000,2.75,"5,500,000"
"Erick Aybar",32,"SS","Vet",8500000,250000,0,8750000,2295072,1.15,"8,750,000"
"Jose Iglesias",26,"SS","Arb 1",2100000,0,0,2100000,2100000,1.05,"2,100,000"
"Justin Wilson",28,"RP","Arb 1",1525000,0,0,1525000,1525000,0.76,"1,525,000"
"Andrew Romine",30,"SS","Arb 1",9e+05,0,0,9e+05,9e+05,0.45,"900,000"
"Nick Castellanos",24,"3B","Pre-Arb",536500,0,0,536500,536500,0.27,"536,500"
"Alex Wilson",29,"RP","Pre-Arb",522500,0,0,522500,522500,0.26,"522,500"
"James McCann",26,"C","Pre-Arb",519500,0,0,519500,519500,0.26,"519,500"
"Shane Greene",27,"RP/CL","Pre-Arb",517000,0,0,517000,517000,0.26,"517,000"
"Jarrod Saltalamacchia",31,"C","Vet",507500,0,0,507500,507500,0.25,"507,500"
"Kyle Ryan",24,"RP","Pre-Arb",509500,0,0,509500,459360,0.23,"509,500"
"Michael Fulmer",23,"SP","Pre-Arb",507500,0,0,507500,435396,0.22,"507,500"
"Daniel Norris",23,"SP","Pre-Arb",514500,0,0,514500,340131,0.17,"514,500"
"Bruce Rondon",25,"RP","Pre-Arb",507500,0,0,507500,293938,0.15,"507,500"
"Tyler Collins",26,"LF","Pre-Arb",510500,0,0,510500,292950,0.15,"510,500"
"Blaine Hardy",29,"RP","Pre-Arb",520500,0,0,520500,287244,0.14,"520,500"
"Matt Boyd",25,"SP","Pre-Arb",507500,0,0,507500,280073,0.14,"507,500"
"Buck Farmer",25,"RP","Pre-Arb",509500,0,0,509500,211584,0.11,"509,500"
"Steven Moya",24,"RF","Pre-Arb",507500,0,0,507500,210748,0.11,"507,500"
"Casey McGehee",33,"3B","Vet",507500,0,0,507500,144196,0.07,"507,500"
"Jacoby Jones",24,"CF","Pre-Arb",507500,0,0,507500,97055,0.05,"507,500"
"Dixon Machado",24,"SS","Pre-Arb",507500,0,0,507500,97055,0.05,"507,500"
"John Hicks",26,"C","Pre-Arb",507500,0,0,507500,88736,0.04,"507,500"
"Joe Mantiply",25,"RP","Pre-Arb",507500,0,0,507500,83190,0.04,"507,500"
