"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Colby Rasmus",29,"LF","Vet",15800000,0,0,15800000,15800000,15.29,"15,800,000"
"Doug Fister",32,"SP","Vet",7e+06,0,4e+06,1.1e+07,1.1e+07,10.65,"7,000,000"
"Dallas Keuchel",28,"SP","Arb 1",7250000,0,0,7250000,7250000,7.02,"7,250,000"
"Pat Neshek",35,"RP","Vet",6500000,0,0,6500000,6500000,6.29,"6,250,000"
"Luke Gregerson",32,"RP","Vet",6250000,0,0,6250000,6250000,6.05,"6,166,667"
"Tony Sipp",32,"RP","Vet",6e+06,0,0,6e+06,6e+06,5.81,"6,000,000"
"Jason Castro",29,"C","Arb 3",5e+06,0,0,5e+06,5e+06,4.84,"5,000,000"
"Jose Altuve",26,"2B","Arb 2",3500000,187500,25000,3712500,3712500,3.59,"3,125,000"
"Evan Gattis",29,"C","Arb 1",3300000,0,0,3300000,3300000,3.19,"3,400,000"
"Marwin Gonzalez",27,"LF","Arb 2",2e+06,0,0,2e+06,2e+06,1.94,"2,000,000"
"Yulieski Gurriel",32,"1B","Pre-Arb",1500000,4e+05,0,1900000,1900000,1.84,"9,500,000"
"Collin McHugh",29,"SP","Pre-Arb",529000,0,0,529000,529000,0.51,"529,000"
"Ken Giles",25,"RP/CL","Pre-Arb",528200,0,0,528200,528200,0.51,"528,200"
"Will Harris",31,"RP","Pre-Arb",525500,0,0,525500,525500,0.51,"525,500"
"Michael Fiers",31,"SP","Pre-Arb",524100,0,0,524100,524100,0.51,"524,100"
"George Springer",26,"RF","Pre-Arb",522400,0,0,522400,522400,0.51,"522,400"
"Carlos Correa",21,"SS","Pre-Arb",516700,0,0,516700,516700,0.5,"516,700"
"Chris Devenski",25,"RP","Pre-Arb",507500,0,0,507500,496407,0.48,"507,500"
"Jake Marisnick",25,"CF","Pre-Arb",519500,0,0,519500,491147,0.48,"519,500"
"Michael Feliz",23,"RP","Pre-Arb",507500,0,0,507500,454772,0.44,"507,500"
"Tyler White",25,"1B","Pre-Arb",507500,0,0,507500,357717,0.35,"507,500"
"Tony Kemp",24,"LF","Pre-Arb",507500,0,0,507500,268981,0.26,"507,500"
"A.J. Reed",23,"1B","Pre-Arb",507500,0,0,507500,244024,0.24,"507,500"
"Alex Bregman",22,"SS","Pre-Arb",507500,0,0,507500,194110,0.19,"507,500"
"Joe Musgrove",23,"SP","Pre-Arb",507500,0,0,507500,174699,0.17,"507,500"
"Teoscar Hernandez",23,"CF","Pre-Arb",507500,0,0,507500,144196,0.14,"507,500"
"James Hoyt",29,"P","Pre-Arb",507500,0,0,507500,130331,0.13,"507,500"
"Brad Peacock",28,"SP","Pre-Arb",507500,0,0,507500,113693,0.11,"507,500"
"Jandel Gustave",23,"RP","Pre-Arb",507500,0,0,507500,99828,0.1,"507,500"
"Max Stassi",25,"C","Pre-Arb",508200,0,0,508200,86087,0.08,"508,200"
"Colin Moran",23,"3B","Pre-Arb",507500,0,0,507500,85963,0.08,"507,500"
"Brady Rodgers",25,"RP","Pre-Arb",507500,0,0,507500,85963,0.08,"507,500"
"Kevin Chapman",28,"RP","Pre-Arb",507500,0,0,507500,80417,0.08,"507,500"
"David Paulino",22,"RP","Pre-Arb",507500,0,0,507500,74871,0.07,"507,500"
