"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Alex Gordon",34,"LF","Vet",2e+07,0,0,2e+07,2e+07,15.39,"18,000,000"
"Ian Kennedy",33,"SP","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,12.31,"14,000,000"
"Danny Duffy",29,"SP","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,10.77,"13,000,000"
"Jason Hammel",35,"RP","Vet",9e+06,0,0,9e+06,9e+06,6.93,"8,000,000"
"Salvador Perez",28,"C","Vet",7500000,1200000,0,8700000,8700000,6.7,"10,500,000"
"Alcides Escobar",31,"SS","Vet",2500000,0,1275000,3775000,3775000,2.91,"2,500,000"
"Brandon Maurer",27,"RP","Arb 2",2950000,0,0,2950000,2950000,2.27,"2,950,000"
"Wily Peralta",29,"RP","Arb 2",1500000,0,0,1500000,1500000,1.15,"1,525,000"
"Brian Flynn",28,"RP","Pre-Arb",573500,0,0,573500,573500,0.44,"573,500"
"Whit Merrifield",29,"2B","Pre-Arb",569500,0,0,569500,569500,0.44,"569,500"
"Jorge Bonifacio",25,"RF","Pre-Arb",561900,0,0,561900,561900,0.43,"561,900"
"Jake Junis",25,"SP","Pre-Arb",554250,0,0,554250,554250,0.43,"554,250"
"Burch Smith",28,"SP","Pre-Arb",552400,0,0,552400,552400,0.43,"552,400"
"Tim Hill",28,"RP","Pre-Arb",545000,0,0,545000,545000,0.42,"545,000"
"Brad Keller",22,"SP","Pre-Arb",545000,0,0,545000,545000,0.42,"545,000"
"Eric Skoglund",25,"SP","Pre-Arb",545000,0,0,545000,545000,0.42,"545,000"
"Kevin McCarthy",26,"RP","Pre-Arb",554250,0,0,554250,509580,0.39,"554,250"
"Hunter Dozier",26,"1B","Pre-Arb",545000,0,0,545000,410200,0.32,"545,000"
"Rosell Herrera",25,"SS","Pre-Arb",545000,0,0,545000,310580,0.24,"545,000"
"Adalberto Mondesi",22,"SS","Pre-Arb",545000,0,0,545000,310580,0.24,"545,000"
"Heath Fillmyer",24,"RP","Pre-Arb",545000,0,0,545000,304720,0.23,"545,000"
"Glenn Sparkman",26,"RP","Pre-Arb",545000,0,0,545000,213890,0.16,"545,000"
"Brian Goodwin",27,"CF","Pre-Arb",553900,0,0,553900,211438,0.16,"553,900"
"Brett Phillips",24,"RF","Pre-Arb",545000,0,0,545000,190450,0.15,"545,000"
"Ryan O'Hearn",24,"1B","Pre-Arb",545000,0,0,545000,181660,0.14,"545,000"
"Cameron Gallagher",25,"C","Pre-Arb",545000,0,0,545000,169940,0.13,"545,000"
"Jorge Lopez",25,"SP","Pre-Arb",545000,0,0,545000,137710,0.11,"545,000"
"Jake Newberry",23,"RP","Pre-Arb",545000,0,0,545000,128920,0.1,"545,000"
"Meibrys Viloria",21,"C","Pre-Arb",545000,0,0,545000,87900,0.07,"545,000"
"Jerry Vasto",0,"RP","Pre-Arb",545000,0,0,545000,79110,0.06,"545,000"
