"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Albert Pujols",37,"DH","Vet",2.6e+07,0,0,2.6e+07,2.6e+07,15.65,"24,000,000"
"Mike Trout",25,"CF","Arb 3",19250000,833333,0,20083333,20083333,12.09,"24,083,333"
"Ricky Nolasco",34,"SP","Vet",1.2e+07,0,0,1.2e+07,8e+06,4.81,"12,250,000"
"Andrelton Simmons",27,"SS","Vet",8e+06,0,0,8e+06,8e+06,4.81,"8,285,714"
"Garrett Richards",29,"SP","Arb 2",6850000,0,0,6850000,6850000,4.12,"6,850,000"
"Jesse Chavez",33,"RP","Vet",5750000,0,8e+05,6550000,6550000,3.94,"5,750,000"
"Luis Valbuena",31,"3B","Vet",6500000,0,0,6500000,6500000,3.91,"7,500,000"
"Kole Calhoun",29,"RF","Arb 2",6e+06,0,0,6e+06,6e+06,3.61,"8,666,667"
"Ben Revere",29,"CF","Arb 3",4e+06,0,0,4e+06,4e+06,2.41,"4,000,000"
"Justin Upton",29,"LF","Vet",22125000,0,0,22125000,3e+06,1.81,"22,125,000"
"Cliff Pennington",33,"SS","Vet",2250000,0,0,2250000,2250000,1.35,"1,875,000"
"Yusmeiro Petit",32,"RP","Vet",2250000,0,0,2250000,2250000,1.35,"2,250,000"
"Bud Norris",32,"SP","Vet",1750000,0,0,1750000,1750000,1.05,"1,750,000"
"Martin Maldonado",30,"C","Arb 3",1725000,0,0,1725000,1725000,1.04,"1,725,000"
"Blake Parker",32,"RP/CL","Pre-Arb",560000,0,0,560000,560000,0.34,"560,000"
"Cam Bedrosian",25,"RP","Pre-Arb",555000,0,0,555000,555000,0.33,"555,000"
"Tyler Skaggs",25,"SP","Pre-Arb",555000,0,0,555000,555000,0.33,"555,000"
"Andrew Heaney",26,"SP","Pre-Arb",543000,0,0,543000,543000,0.33,"543,000"
"Juan Graterol",28,"C","Pre-Arb",535000,0,0,535000,485218,0.29,"535,000"
"C.J. Cron",27,"1B","Pre-Arb",565000,0,0,565000,481572,0.29,"565,000"
"Keynan Middleton",23,"RP","Pre-Arb",535000,0,0,535000,473526,0.28,"535,000"
"Jose Alvarez",28,"RP","Pre-Arb",557000,0,0,557000,441380,0.27,"557,000"
"Blake Wood",31,"RP","Arb 2",1275000,0,0,1275000,264746,0.16,"1,275,000"
"Parker Bridwell",25,"SP","Pre-Arb",535000,0,0,535000,233840,0.14,"535,000"
"Eric Young Jr.",32,"CF","Vet",535000,0,0,535000,230917,0.14,"535,000"
"Kaleb Cowart",25,"3B","Pre-Arb",535000,0,0,535000,204610,0.12,"535,000"
"Eduardo Paredes",22,"RP","Pre-Arb",535000,0,0,535000,198764,0.12,"535,000"
"Brandon Phillips",36,"2B","Vet",1.4e+07,0,0,1.4e+07,169398,0.1,"12,083,333"
"Shane Robinson",32,"CF","Arb 3",535000,0,0,535000,151996,0.09,"535,000"
"Troy Scribner",25,"RP","Pre-Arb",535000,0,0,535000,149073,0.09,"535,000"
"Carlos Perez",26,"C","Pre-Arb",547500,0,0,547500,143616,0.09,"547,500"
"Nolan Fontana",26,"SS","Pre-Arb",535000,0,0,535000,113997,0.07,"535,000"
"Jason Gurka",29,"RP","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Noe Ramirez",27,"RP","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Fernando Salas",32,"RP","Vet",535000,0,0,535000,90613,0.05,"535,000"
