"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Clayton Kershaw",27,"SP","Vet",3e+07,2571428,0,32571428,32571428,10.79,"30,714,286"
"Zack Greinke",31,"SP","Vet",2.3e+07,2e+06,0,2.5e+07,2.5e+07,8.29,"24,500,000"
"Adrian Gonzalez",33,"1B","Vet",2.1e+07,857142,0,21857142,21857142,7.24,"22,000,000"
"Carl Crawford",33,"LF","Vet",20500000,857142,0,21357142,21357142,7.08,"20,285,714"
"Andre Ethier",33,"CF","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,5.97,"17,000,000"
"Brett Anderson",27,"SP","Vet",1e+07,0,2400000,12400000,12400000,4.11,"10,000,000"
"Jimmy Rollins",36,"SS","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,3.65,"11,000,000"
"Howie Kendrick",31,"LF","Vet",9500000,350000,0,9850000,9850000,3.26,"8,375,000"
"Kenley Jansen",27,"RP/CL","Arb 2",7425000,0,0,7425000,7425000,2.46,"7,425,000"
"Alexander Guerrero",28,"LF","Pre-Arb",4e+06,2500000,0,6500000,6500000,2.15,"7,000,000"
"Yasiel Puig",24,"RF","Pre-Arb",4500000,1714285,0,6214285,6214285,2.06,"6,000,000"
"J.P. Howell",32,"RP","Vet",4e+06,1500000,0,5500000,5500000,1.82,"5,625,000"
"A.J. Ellis",34,"C","Arb 3",4250000,0,0,4250000,4250000,1.41,"4,250,000"
"Joel Peralta",39,"RP","Vet",2500000,0,0,2500000,2500000,0.83,"3,000,000"
"Justin Turner",30,"3B","Arb 2",2500000,0,0,2500000,2500000,0.83,"2,500,000"
"Juan Nicasio",28,"RP","Arb 1",2300000,0,0,2300000,2300000,0.76,"2,300,000"
"Alberto Callaspo",32,"3B","Vet",2147540,0,0,2147540,2147540,0.71,"2,147,540"
"Chase Utley",36,"2B","Vet",2130000,0,0,2130000,2130000,0.71,"13,500,000"
"Yasmani Grandal",26,"C","Pre-Arb",693000,0,0,693000,693000,0.23,"693,000"
"Jim Johnson",32,"RP","Vet",585792,0,0,585792,585792,0.19,"1,600,000"
"Chris Hatcher",30,"RP","Pre-Arb",522500,0,0,522500,522500,0.17,"522,500"
"Scott Van Slyke",28,"LF","Pre-Arb",522500,0,0,522500,522500,0.17,"522,500"
"Pedro Baez",27,"RP","Pre-Arb",512500,0,0,512500,512500,0.17,"512,500"
"Joc Pederson",23,"CF","Pre-Arb",510000,0,0,510000,510000,0.17,"510,000"
"Justin Ruggiano",33,"RF","Arb 1",2505000,0,0,2505000,465409,0.15,"2,505,000"
"Carlos Frias",25,"RP","Pre-Arb",507500,0,0,507500,449262,0.15,"507,500"
"Enrique Hernandez",23,"LF","Pre-Arb",512500,0,0,512500,442486,0.15,"512,500"
"Yimi Garcia",24,"RP","Pre-Arb",510000,0,0,510000,404098,0.13,"510,000"
"Adam Liberatore",28,"RP","Pre-Arb",507500,0,0,507500,285642,0.09,"507,500"
"Luis Avilan",25,"RP","Pre-Arb",530000,0,0,530000,194043,0.06,"530,000"
"Alex Wood",24,"SP","Pre-Arb",520000,0,0,520000,190382,0.06,"520,000"
"Austin Barnes",25,"C","Pre-Arb",507500,0,0,507500,163620,0.05,"507,500"
"Jose Peraza",20,"SS","Pre-Arb",507500,0,0,507500,110928,0.04,"507,500"
"Joe Wieland",25,"SP","Pre-Arb",590000,0,0,590000,109617,0.04,"590,000"
"Scott Schebler",24,"LF","Pre-Arb",507500,0,0,507500,94289,0.03,"507,500"
"Corey Seager",21,"SS","Pre-Arb",507500,0,0,507500,85969,0.03,"507,500"
"Chris Heisey",30,"LF","Arb 2",507500,0,0,507500,77650,0.03,"507,500"
"Ronald Torreyes",22,"2B","Pre-Arb",507500,0,0,507500,55464,0.02,"507,500"
