"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Wei-Yin Chen",31,"SP","Vet",6e+06,6500000,0,12500000,12500000,16.08,"16,000,000"
"Giancarlo Stanton",26,"RF","Arb 3",9e+06,0,0,9e+06,9e+06,11.58,"25,000,000"
"Martin Prado",32,"3B","Vet",1.1e+07,0,0,1.1e+07,8e+06,10.29,"13,333,333"
"Tom Koehler",30,"RP","Arb 1",3500000,0,0,3500000,3500000,4.5,"3,500,000"
"Michael Dunn",31,"RP","Arb 3",3450000,0,0,3450000,3450000,4.44,"2,900,000"
"A.J. Ramos",29,"RP","Arb 1",3400000,0,0,3400000,3400000,4.37,"3,400,000"
"Dee Gordon",28,"2B","Arb 1",3e+06,3e+05,0,3300000,3300000,4.25,"10,000,000"
"Adeiny Hechavarria",27,"SS","Arb 1",2625000,0,0,2625000,2625000,3.38,"2,625,000"
"David Phelps",29,"RP","Arb 2",2500000,0,0,2500000,2500000,3.22,"2,500,000"
"Ichiro Suzuki",42,"RF","Vet",2e+06,0,0,2e+06,2e+06,2.57,"2,000,000"
"Jeff Mathis",33,"C","Vet",1500000,0,0,1500000,1500000,1.93,"1,500,000"
"Dustin McGowan",34,"RP","Vet",1e+06,0,0,1e+06,1e+06,1.29,"1,000,000"
"Christian Yelich",24,"LF","Pre-Arb",1e+06,0,0,1e+06,1e+06,1.29,"7,081,429"
"Fernando Rodney",39,"RP","Vet",1600000,0,2500000,4100000,830616,1.07,"2,000,000"
"Marcell Ozuna",25,"CF","Pre-Arb",570000,0,0,570000,570000,0.73,"570,000"
"Justin Bour",28,"1B","Pre-Arb",537500,0,0,537500,537500,0.69,"537,500"
"J.T. Realmuto",25,"C","Pre-Arb",532500,0,0,532500,532500,0.69,"532,500"
"Derek Dietrich",26,"2B","Pre-Arb",522500,0,0,522500,522500,0.67,"522,500"
"Adam Conley",26,"SP","Pre-Arb",512500,0,0,512500,512500,0.66,"512,500"
"Miguel Rojas",27,"SS","Pre-Arb",511000,0,0,511000,511000,0.66,"511,000"
"Chris Johnson",31,"3B","Arb 3",507500,0,0,507500,507500,0.65,"507,500"
"Kyle Barraclough",26,"RP","Pre-Arb",507500,0,0,507500,468637,0.6,"507,500"
"Nick Wittgren",25,"RP","Pre-Arb",507500,0,0,507500,396539,0.51,"507,500"
"Andrew Cashner",29,"SP","Arb 3",7150000,0,0,7150000,303686,0.39,"7,150,000"
"Jose Urena",24,"SP","Pre-Arb",507500,0,0,507500,277300,0.36,"507,500"
"Justin Nicolino",24,"RP","Pre-Arb",507500,0,0,507500,246797,0.32,"507,500"
"Brian Ellington",25,"RP","Pre-Arb",507500,0,0,507500,224613,0.29,"507,500"
"Jeff Francoeur",32,"LF","Vet",1e+06,0,0,1e+06,218579,0.28,"1,000,000"
"Xavier Scruggs",28,"1B","Pre-Arb",507500,0,0,507500,124785,0.16,"507,500"
"Austin Brice",24,"RP","Pre-Arb",507500,0,0,507500,122012,0.16,"507,500"
"Hunter Cervenka",26,"RP","Pre-Arb",507500,0,0,507500,122012,0.16,"507,500"
"Nefi Ogando",25,"RP","Pre-Arb",507500,0,0,507500,110920,0.14,"507,500"
"Tomas Telis",25,"1B","Pre-Arb",507500,0,0,507500,105374,0.14,"507,500"
"Jacob Esch",26,"SP","Pre-Arb",507500,0,0,507500,94282,0.12,"507,500"
"Destin Hood",26,"LF","Pre-Arb",507500,0,0,507500,88736,0.11,"507,500"
"Yefri Perez",25,"CF","Pre-Arb",507500,0,0,507500,88736,0.11,"507,500"
"Odrisamer Despaigne",29,"SP","Pre-Arb",507500,0,0,507500,49914,0.06,"507,500"
