"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ryan Braun",33,"LF","Vet",1.9e+07,1e+06,0,2e+07,2e+07,29.01,"21,000,000"
"Matt Garza",33,"SP","Vet",12500000,0,0,12500000,12500000,18.13,"12,500,000"
"Eric Thames",30,"1B","Arb 3",4e+06,0,5e+05,4500000,4500000,6.53,"5,333,333"
"Neil Walker",31,"2B","Vet",17200000,0,0,17200000,3e+06,4.35,"17,200,000"
"Chase Anderson",29,"SP","Arb 1",2450000,0,0,2450000,2450000,3.55,"2,450,000"
"Carlos Torres",34,"RP","Arb 2",2175000,0,0,2175000,2175000,3.15,"2,175,000"
"Stephen Vogt",32,"C","Arb 1",2965000,0,0,2965000,1603998,2.33,"2,965,000"
"Jared Hughes",31,"RP","Arb 2",950000,0,0,950000,950000,1.38,"950,000"
"Jeremy Jeffress",29,"RP","Arb 1",2100000,0,0,2100000,722925,1.05,"2,100,000"
"Jonathan Villar",26,"SS","Pre-Arb",554500,0,0,554500,554500,0.8,"554,500"
"Zach Davies",24,"SP","Pre-Arb",546200,0,0,546200,546200,0.79,"546,200"
"Hernan Perez",26,"LF","Pre-Arb",545700,0,0,545700,545700,0.79,"545,700"
"Travis Shaw",27,"3B","Pre-Arb",544400,0,0,544400,544400,0.79,"544,400"
"Domingo Santana",24,"RF","Pre-Arb",542200,0,0,542200,542200,0.79,"542,200"
"Corey Knebel",25,"RP/CL","Pre-Arb",538900,0,0,538900,538900,0.78,"538,900"
"Manuel Pina",30,"C","Pre-Arb",538200,0,0,538200,538200,0.78,"538,200"
"Orlando Arcia",22,"SS","Pre-Arb",538100,0,0,538100,538100,0.78,"538,100"
"Jacob Barnes",27,"RP","Pre-Arb",537700,0,0,537700,537700,0.78,"537,700"
"Jesus Aguilar",27,"1B","Pre-Arb",536000,0,0,536000,536000,0.78,"536,000"
"Keon Broxton",27,"LF","Pre-Arb",541200,0,0,541200,508604,0.74,"541,200"
"Oliver Drake",30,"RP","Pre-Arb",535000,0,0,535000,499833,0.72,"535,000"
"Jett Bandy",27,"C","Pre-Arb",539800,0,0,539800,472000,0.68,"539,800"
"Junior Guerra",32,"SP","Pre-Arb",546200,0,0,546200,444765,0.65,"546,200"
"Eric Sogard",31,"2B","Arb 3",535000,0,0,535000,417989,0.61,"535,000"
"Anthony Swarzak",31,"RP","Arb 3",9e+05,0,0,9e+05,339342,0.49,"900,000"
"Josh Hader",23,"RP","Pre-Arb",535000,0,0,535000,336145,0.49,"535,000"
"Brent Suter",27,"SP","Pre-Arb",535000,0,0,535000,333222,0.48,"535,000"
"Brandon Woodruff",24,"SP","Pre-Arb",535000,0,0,535000,257224,0.37,"535,000"
"Andrew Susac",27,"C","Pre-Arb",537400,0,0,537400,172457,0.25,"537,400"
"Brett Phillips",23,"OF","Pre-Arb",535000,0,0,535000,154919,0.22,"535,000"
"Wei-Chung Wang",25,"RP","Pre-Arb",535000,0,0,535000,99382,0.14,"535,000"
"Taylor Williams",25,"RP","Pre-Arb",535000,0,0,535000,90613,0.13,"535,000"
"Quintin Berry",32,"LF","Pre-Arb",535000,0,0,535000,78921,0.11,"535,000"
"Aaron Wilkerson",28,"SP","Pre-Arb",535000,0,0,535000,49691,0.07,"535,000"
