"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joe Mauer",33,"1B","Vet",2.3e+07,0,0,2.3e+07,2.3e+07,23.65,"23,000,000"
"Ervin Santana",33,"SP","Vet",13500000,0,0,13500000,13500000,13.88,"13,750,000"
"Kurt Suzuki",32,"C","Vet",6e+06,0,0,6e+06,6e+06,6.17,"6,000,000"
"Tom Milone",29,"RP","Arb 1",4500000,0,0,4500000,4500000,4.63,"4,500,000"
"Brian Dozier",29,"2B","Arb 1",3e+06,0,0,3e+06,3e+06,3.09,"5,000,000"
"Eduardo Escobar",27,"SS","Arb 1",2150000,0,0,2150000,2150000,2.21,"2,150,000"
"Hector Santiago",28,"RP","Arb 2",5e+06,0,0,5e+06,1721286,1.77,"5,000,000"
"Kyle Gibson",28,"SP","Pre-Arb",587500,0,0,587500,587500,0.6,"587,500"
"Miguel Sano",23,"3B","Pre-Arb",547500,0,0,547500,547500,0.56,"547,500"
"Ryan Pressly",27,"RP","Pre-Arb",520000,0,0,520000,520000,0.53,"520,000"
"Michael Tonkin",26,"RP","Pre-Arb",515000,0,0,515000,515000,0.53,"515,000"
"Tyler Duffey",25,"RP","Pre-Arb",507500,0,0,507500,421496,0.43,"507,500"
"Juan Centeno",26,"C","Pre-Arb",507500,0,0,507500,415950,0.43,"507,500"
"Brandon Kintzler",31,"RP","Arb 2",507500,0,0,507500,413177,0.42,"507,500"
"Taylor Rogers",25,"RP","Pre-Arb",507500,0,0,507500,402085,0.41,"507,500"
"Max Kepler",23,"RF","Pre-Arb",507500,0,0,507500,388220,0.4,"507,500"
"Robbie Grossman",26,"LF","Pre-Arb",507500,0,0,507500,379901,0.39,"507,500"
"Byron Buxton",22,"CF","Pre-Arb",512500,0,0,512500,344523,0.35,"512,500"
"Buddy Boshers",28,"RP","Pre-Arb",507500,0,0,507500,318895,0.33,"507,500"
"Pat Dean",27,"RP","Pre-Arb",507500,0,0,507500,260662,0.27,"507,500"
"Jorge Polanco",22,"SS","Pre-Arb",507500,0,0,507500,257889,0.27,"507,500"
"Jose Berrios",22,"SP","Pre-Arb",507500,0,0,507500,205202,0.21,"507,500"
"Kennys Vargas",25,"1B","Pre-Arb",507500,0,0,507500,205202,0.21,"507,500"
"Ryan O'Rourke",28,"RP","Pre-Arb",507500,0,0,507500,194110,0.2,"507,500"
"John Ryan Murphy",25,"C","Pre-Arb",528700,0,0,528700,182007,0.19,"528,700"
"Pat Light",25,"RP","Pre-Arb",507500,0,0,507500,174699,0.18,"507,500"
"J.T. Chargois",25,"RP","Pre-Arb",507500,0,0,507500,158061,0.16,"507,500"
"Andrew Albers",30,"RP","Pre-Arb",507500,0,0,507500,116466,0.12,"507,500"
"Alex Wimmers",27,"P","Pre-Arb",507500,0,0,507500,108147,0.11,"507,500"
"Logan Schafer",29,"LF","Pre-Arb",507500,0,0,507500,102601,0.11,"507,500"
"James Beresford",27,"3B","Pre-Arb",507500,0,0,507500,74871,0.08,"507,500"
