"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Yoenis Cespedes",30,"CF","Vet",17500000,1e+07,0,27500000,27500000,18.61,"25,000,000"
"Curtis Granderson",35,"RF","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,10.83,"15,000,000"
"Asdrubal Cabrera",30,"2B","Vet",8250000,0,0,8250000,8250000,5.58,"9,250,000"
"Bartolo Colon",43,"SP","Vet",7250000,0,50000,7300000,7300000,4.94,"7,250,000"
"Lucas Duda",30,"1B","Arb 2",6725000,0,0,6725000,6725000,4.55,"6,725,000"
"Alejandro De Aza",32,"LF","Vet",5750000,0,0,5750000,5750000,3.89,"5,750,000"
"Addison Reed",27,"RP","Arb 2",5300000,0,0,5300000,5300000,3.59,"5,300,000"
"Jerry Blevins",32,"RP","Vet",4e+06,0,1e+06,5e+06,5e+06,3.38,"4,000,000"
"Jay Bruce",29,"RF","Vet",12500000,41666,0,12541666,4303278,2.91,"8,500,000"
"Jeurys Familia",26,"RP","Arb 1",4100000,0,0,4100000,4100000,2.78,"4,100,000"
"Juan Lagares",27,"CF","Arb 1",2500000,0,0,2500000,2500000,1.69,"4,710,739"
"Kelly Johnson",34,"2B","Vet",2e+06,0,250000,2250000,1528693,1.03,"2,000,000"
"Travis d'Arnaud",27,"C","Pre-Arb",542604,0,0,542604,542604,0.37,"542,604"
"Noah Syndergaard",23,"SP","Pre-Arb",535375,0,0,535375,535375,0.36,"535,375"
"Wilmer Flores",24,"SS","Pre-Arb",526014,0,0,526014,526014,0.36,"526,014"
"Hansel Robles",25,"RP","Pre-Arb",516500,0,0,516500,516500,0.35,"516,500"
"Jim Henderson",33,"RP","Arb 1",507500,0,0,507500,507500,0.34,"507,500"
"Logan Verrett",26,"RP","Pre-Arb",514875,0,0,514875,444612,0.3,"514,875"
"Rene Rivera",32,"C","Arb 2",507500,0,0,507500,443680,0.3,"507,500"
"Fernando Salas",31,"RP","Arb 3",2400000,0,0,2400000,432795,0.29,"2,400,000"
"Michael Conforto",23,"CF","Pre-Arb",517246,0,0,517246,395640,0.27,"517,246"
"James Loney",32,"1B","Vet",507500,0,0,507500,346625,0.23,"507,500"
"Kevin Plawecki",25,"C","Pre-Arb",511360,0,0,511360,310134,0.21,"511,360"
"Erik Goeddel",27,"RP","Pre-Arb",515125,0,0,515125,273055,0.18,"515,125"
"Jose Reyes",33,"3B","Vet",507500,0,0,507500,249570,0.17,"535,000"
"Matt Reynolds",25,"SS","Pre-Arb",507500,0,0,507500,235705,0.16,"507,500"
"Eric Campbell",29,"1B","Pre-Arb",513308,0,0,513308,232815,0.16,"513,308"
"Seth Lugo",26,"SP","Pre-Arb",507500,0,0,507500,227386,0.15,"507,500"
"Ty Kelly",27,"3B","Pre-Arb",507500,0,0,507500,191337,0.13,"507,500"
"Brandon Nimmo",23,"LF","Pre-Arb",507500,0,0,507500,183018,0.12,"507,500"
"Josh Edgin",29,"RP","Pre-Arb",625000,0,0,625000,153675,0.1,"625,000"
"Sean Gilmartin",26,"RP","Pre-Arb",517500,0,0,517500,152712,0.1,"517,500"
"Josh Smoker",27,"RP","Pre-Arb",507500,0,0,507500,127558,0.09,"507,500"
"Robert Gsellman",22,"RP","Pre-Arb",507500,0,0,507500,116466,0.08,"507,500"
"T.J. Rivera",27,"3B","Pre-Arb",507500,0,0,507500,113693,0.08,"507,500"
"Rafael Montero",25,"RP","Pre-Arb",507500,0,0,507500,108147,0.07,"507,500"
"Gabriel Ynoa",23,"SP","Pre-Arb",507500,0,0,507500,99828,0.07,"507,500"
"Gavin Cecchini",22,"SS","Pre-Arb",507500,0,0,507500,74871,0.05,"507,500"
