"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Chris Young",29,"RF","Vet",8500000,2e+05,0,8700000,8700000,12.97,0
"Yoenis Cespedes",27,"CF","Pre-Arb",8500000,0,0,8500000,8500000,12.68,0
"Coco Crisp",33,"CF","Vet",7e+06,0,0,7e+06,7e+06,10.44,0
"Brett Anderson",25,"SP","Vet",5500000,250000,0,5750000,5750000,8.57,0
"Grant Balfour",35,"RP","Vet",4500000,0,50000,4550000,4550000,6.79,0
"Seth Smith",30,"RF","Arb 2",3675000,0,0,3675000,3675000,5.48,0
"Bartolo Colon",40,"SP","Vet",3e+06,0,0,3e+06,3e+06,4.47,0
"Jed Lowrie",29,"2B","Arb 2",2400000,0,0,2400000,2400000,3.58,0
"John Jaso",29,"RF","Arb 1",1800000,0,0,1800000,1800000,2.68,0
"Brandon Moss",29,"DH","Pre-Arb",1600000,0,0,1600000,1600000,2.39,0
"Alberto Callaspo",30,"3B","Arb 3",4100000,0,0,4100000,1388709,2.07,0
"Kurt Suzuki",29,"C","Vet",6450000,37500,0,6487500,1374590,2.05,0
"Chris Resop",30,"RP","Arb 2",1350000,0,0,1350000,1350000,2.01,0
"Daric Barton",27,"1B","Pre-Arb",1100000,0,0,1100000,1100000,1.64,0
"Jerry Blevins",29,"RP","Arb 1",1100000,0,0,1100000,1100000,1.64,0
"Pat Neshek",32,"RP","Arb 2",975000,0,0,975000,975000,1.45,0
"Josh Reddick",26,"RF","Pre-Arb",510000,0,0,510000,510000,0.76,0
"Ryan Cook",26,"RP","Pre-Arb",505000,0,0,505000,505000,0.75,0
"Scott Sizemore",28,"2B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.75,0
"Jarrod Parker",24,"SP","Pre-Arb",495000,0,0,495000,495000,0.74,0
"Eric Sogard",27,"2B","Pre-Arb",495000,0,0,495000,495000,0.74,0
"Josh Donaldson",27,"3B","Pre-Arb",492500,0,0,492500,492500,0.73,0
"Sean Doolittle",26,"RP/CL","Pre-Arb",492500,0,0,492500,492500,0.73,0
"A.J. Griffin",25,"RP","Pre-Arb",492500,0,0,492500,492500,0.73,0
"Derek Norris",24,"C","Pre-Arb",492500,0,0,492500,492500,0.73,0
"Fernando Rodriguez",29,"RP","Pre-Arb",492000,0,0,492000,492000,0.73,0
"Nate Freiman",26,"1B","Pre-Arb",490000,0,0,490000,490000,0.73,0
"Tom Milone",26,"RP","Pre-Arb",495000,0,0,495000,443606,0.66,0
"Jesse Chavez",29,"RP","Pre-Arb",490000,0,0,490000,406994,0.61,0
"Dan Straily",24,"SP","Pre-Arb",492500,0,0,492500,376775,0.56,0
"Dan Otero",28,"RP","Pre-Arb",490000,0,0,490000,287150,0.43,0
"Stephen Vogt",28,"C","Pre-Arb",490000,0,0,490000,203497,0.3,0
"Evan Scribner",27,"RP","Pre-Arb",495000,0,0,495000,183934,0.27,0
"Sonny Gray",23,"SP","Pre-Arb",490000,0,0,490000,163333,0.24,0
"Travis Blackley",30,"SP","Pre-Arb",550000,0,0,550000,123224,0.18,0
"Andy Parrino",27,"3B","Pre-Arb",492500,0,0,492500,121106,0.18,0
"Michael Choice",23,"LF","Pre-Arb",490000,0,0,490000,80327,0.12,0
"Jemile Weeks",26,"2B","Pre-Arb",490000,0,0,490000,80327,0.12,0
