"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Roy Halladay",34,"SP","Vet",2e+07,0,0,2e+07,2e+07,11.77,0
"Ryan Howard",31,"1B","Arb 3",2e+07,0,0,2e+07,2e+07,11.77,0
"Chase Utley",32,"2B","Vet",1.5e+07,285714,0,15285714,15285714,8.99,0
"Raul Ibanez",39,"DH","Vet",11500000,666668,0,12166668,12166668,7.16,0
"Brad Lidge",34,"RP","Vet",11500000,5e+05,0,1.2e+07,1.2e+07,7.06,0
"Cliff Lee",32,"SP","Vet",1.1e+07,0,50000,11050000,11050000,6.5,0
"Joe Blanton",30,"RP","Vet",8500000,2e+06,0,10500000,10500000,6.18,0
"Cole Hamels",27,"SP","Arb 2",9500000,0,50000,9550000,9550000,5.62,0
"Roy Oswalt",33,"SP","Vet",1.6e+07,0,0,1.6e+07,9e+06,5.3,0
"Jimmy Rollins",32,"SS","Vet",8500000,0,0,8500000,8500000,5,0
"Shane Victorino",30,"RF","Arb 3",7500000,0,50000,7550000,7550000,4.44,0
"Placido Polanco",35,"3B","Vet",5250000,166667,0,5416667,5416667,3.19,0
"Ryan Madson",30,"RP","Vet",4500000,333333,0,4833333,4833333,2.84,0
"Carlos Ruiz",32,"C","Arb 2",2750000,0,2e+05,2950000,2950000,1.74,0
"Danys Baez",33,"RP","Pre-Arb",2750000,0,0,2750000,2750000,1.62,0
"Jose Contreras",39,"SP","Vet",2500000,0,0,2500000,2500000,1.47,0
"Kyle Kendrick",26,"SP","Arb 1",2450000,0,0,2450000,2450000,1.44,0
"Brian Schneider",34,"C","Vet",1500000,125000,0,1625000,1625000,0.96,0
"Ross Gload",35,"1B","Pre-Arb",1600000,0,0,1600000,1600000,0.94,0
"J.C. Romero",35,"RP","Vet",1350000,0,0,1350000,1350000,0.79,0
"Ben Francisco",29,"LF","Arb 1",1175000,0,0,1175000,1175000,0.69,0
"Pete Orr",32,"2B","Pre-Arb",6e+05,0,0,6e+05,6e+05,0.35,0
"Kevin Frandsen",29,"3B","Pre-Arb",575000,0,0,575000,575000,0.34,0
"Wilson Valdez",33,"2B","Pre-Arb",560000,0,0,560000,560000,0.33,0
"David Herndon",25,"RP","Pre-Arb",425000,0,0,425000,425000,0.25,0
"Antonio Bastardo",25,"RP","Pre-Arb",419000,0,0,419000,419000,0.25,0
"Brandon Moss",27,"DH","Pre-Arb",414500,0,0,414500,414500,0.24,0
"Domonic Brown",23,"LF","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Andrew Carpenter",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Justin De Fratus",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Erik Kratz",31,"C","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Michael Martinez",28,"2B","Pre-Arb",414000,0,0,414000,414000,0.24,0
"John Mayberry Jr.",27,"RF","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Joe Savery",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Michael Schwimer",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Michael Stutes",24,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Vance Worley",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Mike Zagurski",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
