"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Francisco Cervelli",32,"C","Vet",10500000,0,0,10500000,10500000,11.54,"10,333,333"
"Josh Harrison",30,"2B","Vet",1e+07,250000,0,10250000,10250000,11.26,"6,825,000"
"Ivan Nova",31,"SP","Vet",8500000,666666,250000,9416666,9416666,10.35,"8,666,667"
"Starling Marte",29,"CF","Pre-Arb",7500000,333333,0,7833333,7833333,8.61,"5,166,667"
"Jordy Mercer",31,"SS","Arb 3",6750000,0,0,6750000,6750000,7.42,"6,750,000"
"Corey Dickerson",29,"LF","Arb 2",5950000,0,0,5950000,5950000,6.54,"5,950,000"
"Jung Ho Kang",31,"3B","Pre-Arb",3e+06,0,0,3e+06,3e+06,3.3,"2,750,000"
"Felipe Vazquez",26,"RP/CL","Arb 1",2500000,5e+05,0,3e+06,3e+06,3.3,"5,625,000"
"Chris Archer",29,"SP","Pre-Arb",6250000,166666,0,6416666,2083324,2.29,"4,250,000"
"Josh Bell",25,"1B","Pre-Arb",572500,0,0,572500,572500,0.63,"572,500"
"Joe Musgrove",25,"SP","Pre-Arb",571000,0,0,571000,571000,0.63,"571,000"
"Jameson Taillon",26,"SP","Pre-Arb",571000,0,0,571000,571000,0.63,"571,000"
"Trevor Williams",26,"SP","Pre-Arb",569500,0,0,569500,569500,0.63,"569,500"
"Elias Diaz",27,"C","Pre-Arb",559000,0,0,559000,559000,0.61,"559,000"
"Edgar Santana",26,"RP","Pre-Arb",556500,0,0,556500,556500,0.61,"556,500"
"Colin Moran",25,"3B","Pre-Arb",550000,0,0,550000,550000,0.6,"550,000"
"Nick Burdi",25,"RP","Pre-Arb",545000,0,0,545000,545000,0.6,"545,000"
"Steven Brault",26,"RP","Pre-Arb",557000,0,0,557000,506155,0.56,"557,000"
"Kyle Crick",25,"RP","Pre-Arb",545000,0,0,545000,501030,0.55,"545,000"
"Richard Rodriguez",28,"RP","Pre-Arb",545000,0,0,545000,501030,0.55,"545,000"
"Michael Feliz",25,"RP","Pre-Arb",575500,0,0,575500,491946,0.54,"575,500"
"Keone Kela",25,"RP","Arb 1",1200000,0,0,1200000,400024,0.44,"1,200,000"
"Nick Kingham",25,"SP","Pre-Arb",545000,0,0,545000,263700,0.29,"545,000"
"Jose Osuna",25,"1B","Pre-Arb",545000,0,0,545000,216820,0.24,"545,000"
"Dovydas Neverauskas",25,"RP","Pre-Arb",557500,0,0,557500,212787,0.23,"557,500"
"Adam Frazier",26,"2B","Pre-Arb",571000,0,0,571000,211830,0.23,"571,000"
"Jacob Stallings",28,"C","Pre-Arb",545000,0,0,545000,208030,0.23,"545,000"
"Clay Holmes",25,"SP","Pre-Arb",545000,0,0,545000,169940,0.19,"545,000"
"Kevin Newman",24,"SS","Pre-Arb",545000,0,0,545000,134780,0.15,"545,000"
"Tanner Anderson",25,"RP","Pre-Arb",545000,0,0,545000,117200,0.13,"545,000"
"Jordan Luplow",24,"RF","Pre-Arb",545000,0,0,545000,117200,0.13,"545,000"
"Pablo Reyes",24,"LF","Pre-Arb",545000,0,0,545000,87900,0.1,"545,000"
"Kevin Kramer",24,"SS","Pre-Arb",545000,0,0,545000,79110,0.09,"545,000"
"Ryan Lavarnway",30,"C","Pre-Arb",545000,0,0,545000,79110,0.09,"545,000"
