"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Huston Street",28,"RP","Vet",7500000,0,25000,7525000,7025000,11,0
"Carlos Quentin",29,"LF","Arb 3",7025000,0,0,7025000,7025000,11,0
"Jason Bartlett",32,"SS","Vet",5500000,0,0,5500000,5500000,8.62,0
"Orlando Hudson",34,"3B","Vet",5500000,0,0,5500000,5500000,8.62,0
"Chase Headley",28,"3B","Arb 2",3475000,0,0,3475000,3475000,5.44,0
"Tim Stauffer",30,"RP","",3200000,0,0,3200000,3200000,5.01,0
"Clayton Richard",28,"SP","Pre-Arb",2705000,0,0,2705000,2705000,4.24,0
"Edinson Volquez",28,"SP","Arb 2",2237500,0,0,2237500,2237500,3.5,0
"Dustin Moseley",30,"SP","Arb 2",2012500,0,0,2012500,2012500,3.15,0
"Nick Hundley",28,"C","Arb 1",2e+06,0,0,2e+06,2e+06,3.13,0
"Luke Gregerson",28,"RP","Arb 1",1550000,0,0,1550000,1550000,2.43,0
"Will Venable",29,"CF","Arb 1",1475000,0,0,1475000,1475000,2.31,0
"Yonder Alonso",25,"1B","Pre-Arb",1e+06,4e+05,0,1400000,1400000,2.19,0
"Mark Kotsay",36,"CF","Vet",1250000,0,0,1250000,1250000,1.96,0
"Chris Denorfia",31,"RF","Arb 2",1165000,0,0,1165000,1165000,1.82,0
"Jeremy Hermida",28,"RF","",8e+05,0,0,8e+05,8e+05,1.25,0
"John Baker",31,"C","Arb 1",750000,0,0,750000,750000,1.17,0
"Joe Thatcher",30,"RP","Arb 1",7e+05,0,0,7e+05,7e+05,1.1,0
"Cory Luebke",27,"RP","Pre-Arb",497800,125000,0,622800,622800,0.98,0
"Cameron Maybin",25,"CF","Pre-Arb",5e+05,1e+05,0,6e+05,6e+05,0.94,0
"Micah Owings",29,"SP","Arb 2",5e+05,0,0,5e+05,5e+05,0.78,0
"Kyle Blanks",25,"LF","Pre-Arb",492400,0,0,492400,492400,0.77,0
"Ernesto Frieri",26,"RP","Pre-Arb",489100,0,0,489100,489100,0.77,0
"Jesus Guzman",28,"1B","Pre-Arb",486600,0,0,486600,486600,0.76,0
"Andrew Cashner",25,"SP","Pre-Arb",486100,0,0,486100,486100,0.76,0
"Anthony Bass",24,"RP","Pre-Arb",485300,0,0,485300,485300,0.76,0
"Logan Forsythe",25,"2B","Pre-Arb",481400,0,0,481400,481400,0.75,0
"Andy Parrino",26,"3B","Pre-Arb",481000,0,0,481000,481000,0.75,0
"Brad Boxberger",24,"RP/CL","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Brad Brach",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Cory Burns",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Everth Cabrera",25,"SS","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Everth Cabrera",25,"SS","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Josh Spence",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Dale Thayer",31,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Nick Vincent",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Andrew Werner",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Joe Wieland",22,"SP","Pre-Arb",480000,0,0,480000,480000,0.75,0
"Eric Stults",32,"SP","Pre-Arb",480000,0,0,480000,367213,0.58,0
