"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Matt Cain",30,"RP","Vet",2e+07,833333,0,20833333,20833333,11.18,"22,500,000"
"Buster Posey",28,"C","Arb 3",16500000,777777,75000,17352777,17352777,9.31,"19,875,000"
"Tim Hudson",39,"SP","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,6.44,"11,500,000"
"Angel Pagan",33,"LF","Vet",9e+06,1250000,0,10250000,10250000,5.5,"10,000,000"
"Jake Peavy",34,"RP","Vet",7e+06,2e+06,0,9e+06,9e+06,4.83,"12,000,000"
"Marlon Byrd",37,"LF","Vet",8e+06,0,0,8e+06,8e+06,4.29,"8,000,000"
"Madison Bumgarner",25,"SP","Arb 2",6750000,2e+05,50000,7e+06,7e+06,3.76,"7,000,000"
"Jeremy Affeldt",36,"RP","Vet",5e+06,1e+06,0,6e+06,6e+06,3.22,"6,000,000"
"Sergio Romo",32,"RP","Vet",5e+06,1e+06,0,6e+06,6e+06,3.22,"7,500,000"
"Santiago Casilla",34,"RP","Vet",5e+06,0,0,5e+06,5e+06,2.68,"5,000,000"
"Norichika Aoki",33,"LF","Arb 1",4e+06,0,0,4e+06,4e+06,2.15,"4,700,000"
"Javier Lopez",37,"RP","Vet",4e+06,0,0,4e+06,4e+06,2.15,"4,333,333"
"Ryan Vogelsong",37,"SP","Vet",4e+06,0,0,4e+06,4e+06,2.15,"4,000,000"
"Brandon Belt",27,"1B","Arb 1",3600000,0,0,3600000,3600000,1.93,"3,600,000"
"Gregor Blanco",31,"RF","Arb 3",3600000,0,0,3600000,3600000,1.93,"3,750,000"
"Mike Leake",27,"SP","Arb 3",3578825,0,0,3578825,3578825,1.92,"9,775,000"
"Brandon Crawford",28,"SS","Arb 1",3175000,0,0,3175000,3175000,1.7,"3,175,000"
"Yusmeiro Petit",30,"RP","Arb 2",2100000,0,0,2100000,2100000,1.13,"2,100,000"
"George Kontos",30,"RP","Pre-Arb",517500,0,0,517500,517500,0.28,"517,500"
"Matt Duffy",24,"3B","Pre-Arb",509000,0,0,509000,509000,0.27,"509,000"
"Chris Heston",27,"RP","Pre-Arb",507500,0,0,507500,485314,0.26,"507,500"
"Hunter Strickland",26,"RP","Pre-Arb",507500,0,0,507500,374385,0.2,"507,500"
"Ehire Adrianza",25,"SS","Pre-Arb",509500,0,0,509500,286767,0.15,"509,500"
"Alejandro De Aza",31,"LF","Arb 3",5e+06,0,0,5e+06,278961,0.15,"5,000,000"
"Josh Osich",26,"RP","Pre-Arb",507500,0,0,507500,210765,0.11,"507,500"
"Kelby Tomlinson",25,"2B","Pre-Arb",507500,0,0,507500,171939,0.09,"507,500"
"Mike Broadway",28,"RP","Pre-Arb",507500,0,0,507500,163620,0.09,"507,500"
"Cody Hall",27,"RP","Pre-Arb",507500,0,0,507500,91516,0.05,"507,500"
"Nick Noonan",26,"2B","Pre-Arb",507500,0,0,507500,91516,0.05,"507,500"
"Jarrett Parker",26,"RF","Pre-Arb",507500,0,0,507500,91516,0.05,"507,500"
"Jackson Williams",29,"C","Pre-Arb",507500,0,0,507500,77650,0.04,"507,500"
"Brett Bochy",27,"RP","Pre-Arb",507500,0,0,507500,74877,0.04,"507,500"
"Cory Gearrin",29,"RP","Pre-Arb",507500,0,0,507500,72103,0.04,"507,500"
"Mac Williamson",24,"RF","Pre-Arb",507500,0,0,507500,49918,0.03,"507,500"
"Trevor Brown",23,"C","Pre-Arb",507500,0,0,507500,41598,0.02,"507,500"
"Kevin Frandsen",33,"3B","Arb 3",507500,0,0,507500,30505,0.02,"507,500"
