"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Felix Hernandez",29,"SP","Vet",2.4e+07,857142,50000,24907142,24907142,19.76,"25,000,000"
"Robinson Cano",32,"2B","Vet",2.4e+07,0,0,2.4e+07,2.4e+07,19.04,"24,000,000"
"Nelson Cruz",34,"DH","Vet",1.4e+07,250000,125000,14375000,14375000,11.4,"14,250,000"
"Hisashi Iwakuma",34,"SP","Pre-Arb",7e+06,0,0,7e+06,7e+06,5.55,"7,000,000"
"Seth Smith",32,"RF","Vet",6e+06,0,0,6e+06,6e+06,4.76,"6,500,000"
"Mark Trumbo",29,"DH","Arb 2",6900000,0,0,4675409,4675409,3.71,"6,900,000"
"Kyle Seager",27,"3B","Arb 1",4e+06,5e+05,0,4500000,4500000,3.57,"14,285,714"
"Logan Morrison",27,"DH","Arb 2",2725000,0,25000,2750000,2750000,2.18,"2,725,000"
"Tom Wilhelmsen",31,"RP","Arb 1",1400000,0,0,1400000,1400000,1.11,"1,400,000"
"Brad Miller",25,"SS","Pre-Arb",527600,0,0,527600,527600,0.42,"527,600"
"James Paxton",26,"SP","Pre-Arb",519000,0,0,519000,519000,0.41,"519,000"
"Taijuan Walker",22,"SP","Pre-Arb",513100,0,0,513100,513100,0.41,"513,100"
"Carson Smith",25,"RP","Pre-Arb",509500,0,0,509500,509500,0.4,"509,500"
"David Rollins",25,"RP","Pre-Arb",507500,0,0,507500,507500,0.4,"507,500"
"Joe Beimel",38,"RP","Vet",6e+05,0,0,6e+05,501639,0.4,"600,000"
"Jesus Sucre",27,"C","Pre-Arb",509300,0,0,509300,467554,0.37,"509,300"
"Vidal Nuno",27,"RP","Pre-Arb",515000,0,0,515000,334890,0.27,"515,000"
"Roenis Elias",26,"RP","Pre-Arb",507500,0,0,507500,310601,0.25,"507,500"
"Franklin Gutierrez",32,"CF","Vet",507500,0,0,507500,285642,0.23,"507,500"
"Danny Farquhar",28,"RP","Pre-Arb",527000,0,0,527000,264939,0.21,"527,000"
"Jesus Montero",25,"C","Pre-Arb",507500,0,0,507500,194125,0.15,"507,500"
"Ketel Marte",21,"2B","Pre-Arb",507500,0,0,507500,180259,0.14,"507,500"
"Rob Rasmussen",26,"RP","Pre-Arb",507500,0,0,507500,171939,0.14,"507,500"
"Mayckol Guaipe",24,"RP","Pre-Arb",507500,0,0,507500,144207,0.11,"507,500"
"Logan Kensing",32,"RP","Pre-Arb",507500,0,0,507500,119248,0.09,"507,500"
"John Hicks",25,"C","Pre-Arb",507500,0,0,507500,102609,0.08,"507,500"
"James Jones",26,"SP","Pre-Arb",507500,0,0,507500,102609,0.08,"507,500"
"Shawn O'Malley",27,"LF","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Jose Ramirez",25,"RP","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Stefen Romero",26,"LF","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Tony Zych",26,"RP","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Steve Baron",24,"C","Pre-Arb",507500,0,0,507500,72103,0.06,"507,500"
"J.C. Ramirez",26,"SP","Pre-Arb",507500,0,0,507500,72103,0.06,"507,500"
