"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Matt Holliday",32,"DH","Vet",1.7e+07,0,50000,17050000,17050000,14.15,0
"Carlos Beltran",35,"DH","Vet",1.3e+07,0,50000,13050000,13050000,10.83,0
"Kyle Lohse",33,"SP","Vet",11875000,312500,0,12187500,12187500,10.12,0
"Lance Berkman",36,"DH","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,9.96,0
"Adam Wainwright",30,"SP","Vet",9e+06,0,0,9e+06,9e+06,7.47,0
"Chris Carpenter",37,"SP","Vet",8500000,0,0,8500000,8500000,7.06,0
"Jake Westbrook",34,"SP","Vet",8500000,0,0,8500000,8500000,7.06,0
"Yadier Molina",29,"C","Vet",7e+06,0,1e+05,7100000,7100000,5.89,0
"Rafael Furcal",34,"SS","Vet",6e+06,5e+05,0,6500000,6500000,5.4,0
"Jaime Garcia",25,"SP","Arb 1",3250000,125000,0,3375000,3375000,2.8,0
"Kyle McClellan",28,"RP","Arb 2",2500000,0,0,2500000,2500000,2.08,0
"Jason Motte",30,"RP","Arb 1",1950000,0,0,1950000,1950000,1.62,0
"Skip Schumaker",32,"LF","Arb 3",1500000,0,0,1500000,1500000,1.25,0
"Scott Linebrink",35,"RP","Vet",850000,0,0,850000,850000,0.71,0
"J.C. Romero",36,"RP","Vet",750000,0,0,750000,750000,0.62,0
"Edward Mujica",28,"RP","Arb 2",1625000,0,0,1625000,577185,0.48,0
"David Freese",29,"3B","Pre-Arb",508000,0,0,508000,508000,0.42,0
"Mitchell Boggs",28,"RP","Pre-Arb",506000,0,0,506000,506000,0.42,0
"Jon Jay",27,"CF","Pre-Arb",504000,0,0,504000,504000,0.42,0
"Marc Rzepczynski",26,"RP","Pre-Arb",504000,0,0,504000,504000,0.42,0
"Fernando Salas",27,"RP","Pre-Arb",498000,0,0,498000,498000,0.41,0
"Allen Craig",27,"RF","Pre-Arb",495000,0,0,495000,495000,0.41,0
"Daniel Descalso",25,"3B","Pre-Arb",495000,0,0,495000,495000,0.41,0
"Tyler Greene",28,"2B","Pre-Arb",483000,0,0,483000,483000,0.4,0
"Lance Lynn",25,"SP","Pre-Arb",482000,0,0,482000,482000,0.4,0
"Tony Cruz",25,"C","Pre-Arb",481000,0,0,481000,481000,0.4,0
"Matt Adams",23,"1B","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Bryan Anderson",25,"C","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Barret Browning",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Matt Carpenter",26,"3B","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Adron Chambers",25,"LF","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Maikel Cleto",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Brandon Dickson",27,"SP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Sam Freeman",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Steven Hill",27,"C","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Ryan Jackson",24,"SS","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Joe Kelly",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Pete Kozma",24,"SS","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Victor Marte",31,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Shelby Miller",21,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Adam Reifer",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Shane Robinson",27,"CF","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Trevor Rosenthal",22,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
"Eduardo Sanchez",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.4,0
