"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Johnny Damon",37,"LF","Pre-Arb",5250000,0,0,5250000,5250000,11.39,0
"Melvin Upton",26,"LF","Arb 2",4825000,0,0,4825000,4825000,10.47,0
"Ben Zobrist",30,"2B","Vet",4500000,140475,0,4640475,4640475,10.07,0
"James Shields",29,"SP","Vet",4250000,0,0,4250000,4250000,9.22,0
"Kelly Shoppach",31,"C","Vet",3e+06,0,0,3e+06,3e+06,6.51,0
"Kyle Farnsworth",35,"RP","Vet",2600000,0,0,2600000,2600000,5.64,0
"Evan Longoria",25,"3B","Vet",2500000,0,0,2500000,2500000,5.42,0
"David Price",25,"SP","Pre-Arb",1250000,933333,0,2183333,2183333,4.74,0
"J.P. Howell",28,"RP","Arb 2",1100000,0,0,1100000,1100000,2.39,0
"Wade Davis",25,"RP/CL","Vet",1e+06,0,0,1e+06,1e+06,2.17,0
"Dan Johnson",31,"1B","Pre-Arb",1e+06,0,0,1e+06,1e+06,2.17,0
"Joel Peralta",35,"RP","Arb 2",925000,0,0,925000,925000,2.01,0
"Andy Sonnanstine",28,"SP","Arb 1",912500,0,0,912500,912500,1.98,0
"Jeff Niemann",28,"RP","Pre-Arb",903000,0,0,903000,903000,1.96,0
"Juan Cruz",32,"RP","Vet",850000,0,0,850000,850000,1.84,0
"Casey Kotchman",28,"1B","Vet",750000,0,0,750000,750000,1.63,0
"Sean Rodriguez",26,"2B","Pre-Arb",428600,0,0,428600,428600,0.93,0
"John Jaso",27,"RF","Pre-Arb",427200,0,0,427200,427200,0.93,0
"Matt Joyce",26,"RF","Pre-Arb",426500,0,0,426500,426500,0.93,0
"Reid Brignac",25,"3B","Pre-Arb",425400,0,0,425400,425400,0.92,0
"Adam Russell",28,"RP","Pre-Arb",420800,0,0,420800,420800,0.91,0
"Jeremy Hellickson",24,"SP","Pre-Arb",418400,0,0,418400,418400,0.91,0
"Sam Fuld",29,"CF","Pre-Arb",418300,0,0,418300,418300,0.91,0
"Cesar Ramos",27,"RP","Pre-Arb",416700,0,0,416700,416700,0.9,0
"Jake McGee",24,"RP","Pre-Arb",415200,0,0,415200,415200,0.9,0
"Elliot Johnson",27,"2B","Pre-Arb",414900,0,0,414900,414900,0.9,0
"Russ Canzler",25,"3B","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Robinson Chirinos",27,"C","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Alex Cobb",23,"SP","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Dane De La Rosa",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Edgar Gonzalez",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Brandon Guyer",25,"RF","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Desmond Jennings",24,"LF","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Jose Lobaton",26,"C","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Matt Moore",22,"SP","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Justin Ruggiano",29,"RF","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Alex Torres",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.9,0
"Felipe Lopez",36,"SS","Pre-Arb",1e+06,0,0,1e+06,273224,0.59,0
