"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Michael Young",34,"3B","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,15.42,0
"Adrian Beltre",32,"3B","Vet",1.4e+07,0,2e+05,14200000,14200000,13.69,0
"Josh Hamilton",30,"LF","Arb 2",7250000,1500000,0,8750000,8750000,8.43,0
"C.J. Wilson",30,"SP","Arb 3",7e+06,0,150000,7150000,7150000,6.89,0
"Ian Kinsler",29,"2B","Vet",6e+06,2e+05,0,6200000,6200000,5.98,0
"Mike Napoli",29,"1B","Arb 2",5800000,0,0,5800000,5800000,5.59,0
"Scott Feldman",28,"SP","Arb 2",4400000,0,0,4400000,4400000,4.24,0
"Nelson Cruz",30,"DH","Arb 1",3650000,0,0,3650000,3650000,3.52,0
"Koji Uehara",36,"RP","Pre-Arb",3e+06,0,650000,3650000,3650000,3.52,0
"Darren Oliver",40,"RP","Vet",3250000,0,0,3250000,3250000,3.13,0
"Colby Lewis",31,"SP","Arb 2",3e+06,0,0,3e+06,3e+06,2.89,0
"Yorbit Torrealba",32,"C","Vet",3e+06,0,0,3e+06,3e+06,2.89,0
"Brandon Webb",32,"SP","Pre-Arb",3e+06,0,0,3e+06,3e+06,2.89,0
"David Murphy",29,"DH","Arb 1",2400000,0,0,2400000,2400000,2.31,0
"Leonys Martin",23,"CF","Pre-Arb",5e+05,1e+06,0,1500000,1500000,1.45,0
"Darren O'Day",28,"RP","Pre-Arb",1251000,0,0,1251000,1251000,1.21,0
"Endy Chavez",33,"LF","Vet",1250000,0,0,1250000,1250000,1.2,0
"Mark Lowe",28,"RP","Arb 2",1200000,0,0,1200000,1200000,1.16,0
"Dave Bush",31,"SP","Pre-Arb",1e+06,0,0,1e+06,1e+06,0.96,0
"Andres Blanco",27,"SS","Pre-Arb",520000,0,0,520000,520000,0.5,0
"Julio Borbon",25,"CF","Pre-Arb",490000,0,0,490000,490000,0.47,0
"Neftali Feliz",23,"RP","Pre-Arb",457160,0,0,457160,457160,0.44,0
"Elvis Andrus",22,"SS","Pre-Arb",452180,0,0,452180,452180,0.44,0
"Derek Holland",24,"SP","Pre-Arb",431810,0,0,431810,431810,0.42,0
"Alexi Ogando",27,"RP","Pre-Arb",430150,0,0,430150,430150,0.41,0
"Matt Harrison",25,"SP","Pre-Arb",428830,0,0,428830,428830,0.41,0
"Mitch Moreland",25,"1B","Pre-Arb",426000,0,0,426000,426000,0.41,0
"Michael Kirkman",24,"RP","Pre-Arb",423000,0,0,423000,423000,0.41,0
"Taylor Teagarden",27,"C","Pre-Arb",416790,0,0,416790,416790,0.4,0
"Craig Gentry",27,"LF","Pre-Arb",416000,0,0,416000,416000,0.4,0
"Pedro Strop",26,"RP","Pre-Arb",416000,0,0,416000,416000,0.4,0
"Omar Beltre",29,"SP","Pre-Arb",415000,0,0,415000,415000,0.4,0
"Eric Hurley",25,"SP","Pre-Arb",415000,0,0,415000,415000,0.4,0
"Engel Beltre",21,"CF","Pre-Arb",414000,0,0,414000,414000,0.4,0
"Miguel De Los Santos",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.4,0
"Cody Eppley",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.4,0
"Wilmer Font",21,"RP","Pre-Arb",414000,0,0,414000,414000,0.4,0
"Mark Hamburger",24,"RP","Pre-Arb",414000,0,0,414000,414000,0.4,0
"Mason Tobin",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.4,0
