"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Russell Martin",34,"C","Vet",2e+07,0,0,2e+07,2e+07,10.69,"16,400,000"
"Jose Bautista",36,"RF","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,9.62,"18,500,000"
"Josh Donaldson",31,"3B","Arb 3",1.7e+07,0,0,1.7e+07,1.7e+07,9.09,"14,325,000"
"Marco Estrada",33,"SP","Vet",1.4e+07,5e+05,0,14500000,14500000,7.75,"13,000,000"
"J.A. Happ",34,"SP","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,6.95,"12,000,000"
"Kendrys Morales",34,"DH","Vet",1e+07,0,0,1e+07,1e+07,5.35,"11,000,000"
"Miguel Montero",33,"C","Vet",1.4e+07,0,0,1.4e+07,6961773,3.72,"12,000,000"
"Steven Pearce",34,"LF","Vet",6250000,0,0,6250000,6250000,3.34,"6,250,000"
"Justin Smoak",30,"1B","Vet",4125000,0,0,4125000,4125000,2.21,"4,250,000"
"Marcus Stroman",26,"SP","Arb 1",3400000,0,0,3400000,3400000,1.82,"3,400,000"
"Darwin Barney",31,"SS","Arb 4",2887500,0,0,2887500,2887500,1.54,"2,887,500"
"Tom Koehler",31,"RP","Arb 2",5750000,0,0,5750000,1351103,0.72,"5,750,000"
"Ezequiel Carrera",30,"CF","Arb 1",1162500,0,0,1162500,1162500,0.62,"1,162,500"
"Aaron Loup",29,"RP","Arb 2",1125000,0,0,1125000,1125000,0.6,"1,125,000"
"Kevin Pillar",28,"CF","Pre-Arb",555000,0,0,555000,555000,0.3,"555,000"
"Roberto Osuna",22,"RP/CL","Pre-Arb",552400,0,0,552400,552400,0.3,"552,400"
"Ryan Goins",29,"2B","Pre-Arb",548200,0,0,548200,548200,0.29,"548,200"
"Ryan Tepera",29,"RP/CL","Pre-Arb",542700,0,0,542700,542700,0.29,"542,700"
"Dominic Leone",25,"RP/CL","Pre-Arb",548200,0,0,548200,482356,0.26,"548,200"
"Danny Barnes",27,"RP","Pre-Arb",535000,0,0,535000,473526,0.25,"535,000"
"Joseph Biagini",27,"SP","Pre-Arb",535000,0,0,535000,464757,0.25,"535,000"
"Luke Maile",26,"C","Pre-Arb",535000,0,0,535000,458911,0.25,"535,000"
"Leonel Campos",29,"RP","Pre-Arb",535000,0,0,535000,201687,0.11,"535,000"
"Matt Dermody",26,"RP","Pre-Arb",535000,0,0,535000,195841,0.1,"535,000"
"Rob Refsnyder",26,"2B","Pre-Arb",535000,0,0,535000,189995,0.1,"535,000"
"Raffy Lopez",29,"C","Pre-Arb",535000,0,0,535000,172457,0.09,"535,000"
"Tim Mayza",25,"RP","Pre-Arb",535000,0,0,535000,134458,0.07,"535,000"
"Chris Rowley",26,"P","Pre-Arb",535000,0,0,535000,122766,0.07,"535,000"
"Brett Anderson",29,"SP","Vet",535000,0,0,535000,99382,0.05,"535,000"
"Carlos Ramirez",26,"RP","Pre-Arb",535000,0,0,535000,93536,0.05,"535,000"
"Michael Saunders",30,"LF","Vet",535000,0,0,535000,93536,0.05,"535,000"
"Teoscar Hernandez",24,"CF","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Richard Urena",21,"SS","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Luis Santos",26,"RP","Pre-Arb",535000,0,0,535000,87690,0.05,"535,000"
"Taylor Cole",27,"RP","Pre-Arb",535000,0,0,535000,8769,0,"535,000"
