"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2015.Total.Payroll","Rank"
"Los Angeles Dodgers",38,199977688,20914084,70324195,16826000,0,301735080,1
"New York Yankees",40,187271441,24415379,9939561,2542500,507500,222528373,2
"San Francisco Giants",36,133109385,38423837,12322089,3732500,0,186413630,3
"Boston Red Sox",35,95030446,42985571,45443277,1522500,0,183481478,4
"Washington Nationals",39,146009803,17556549,2e+06,507500,0,165655095,5
"Detroit Tigers",37,109879336,27072978,25208607,0,0,162160921,6
"Texas Rangers",38,124525876,13135760,14368970,2560000,0,152445607,7
"Los Angeles Angels",39,106512083,19015000,24043722,4241500,0,151348162,8
"Philadelphia Phillies",33,52800331,33290177,51719664,6302666,0,141722639,9
"Toronto Blue Jays",37,106426104,6382500,25214964,3578100,0,138309664,10
"Chicago Cubs",37,106652384,1e+06,23656617,3757500,0,132993810,11
"St. Louis Cardinals",38,128814787,3195000,0,3552500,0,132178951,12
"Kansas City Royals",36,111740891,10483450,4047582,2538200,0,126529835,13
"Seattle Mariners",33,95874782,1383169,25921321,4538400,0,126045473,14
"Chicago White Sox",32,94365735,507500,9052252,1950000,1.3e+07,118875487,15
"Baltimore Orioles",37,93958315,1245000,22276584,2566500,0,117784476,16
"New York Mets",38,102480260,5551249,1579200,6837900,0,115698927,17
"Cincinnati Reds",35,68445559,22890777,20832787,1525000,0,112333097,18
"Atlanta Braves",33,55022799,11263899,44307649,1522500,0,110838389,19
"Minnesota Twins",35,101448147,2070081,3950000,2575000,0,107981818,20
"San Diego Padres",37,93212255,11029819,3267222,1568000,0,107915272,21
"Colorado Rockies",38,74930648,5862600,25765868,1527500,0,106860781,22
"Pittsburgh Pirates",33,81904030,14318868,2759768,3548000,0,99435606,23
"Milwaukee Brewers",34,58772714,1020000,33510458,4120000,0,94010873,24
"Houston Astros",33,64818398,11040900,3150680,5545000,0,81450835,25
"Oakland Athletics",34,41897450,8772896,29468089,2537500,0,80376830,26
"Cleveland Indians",36,45520977,680720,29817050,3907077,0,77404413,27
"Arizona Diamondbacks",39,45142733,1026500,30465028,9e+05,0,76781801,28
"Tampa Bay Rays",35,52092948,8440963,12505697,3337500,0,73582652,29
"Miami Marlins",32,28171144,15751830,19528890,1015000,0,63590525,30
