"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Justin Upton",26,"LF","Vet",14250000,208333,0,14458333,14458333,12.37,0
"Ervin Santana",31,"SP","Vet",14100000,0,0,14100000,14100000,12.07,0
"Melvin Upton",29,"LF","Vet",13450000,6e+05,0,14050000,14050000,12.02,0
"Craig Kimbrel",26,"RP/CL","Arb 1",7e+06,250000,50000,7300000,7300000,6.25,0
"Kris Medlen",28,"SP","Arb 2",5800000,0,0,5800000,5800000,4.96,0
"Freddie Freeman",24,"1B","Arb 1",5125000,359375,50000,5534375,5534375,4.74,0
"Jason Heyward",24,"RF","Arb 2",4500000,5e+05,0,5e+06,5e+06,4.28,0
"Chris Johnson",29,"3B","Arb 1",4750000,0,0,4750000,4750000,4.06,0
"Gavin Floyd",31,"RP","Vet",4e+06,0,0,4e+06,4e+06,3.42,0
"Mike Minor",26,"RP","Pre-Arb",3850000,0,0,3850000,3850000,3.29,0
"Ryan Doumit",33,"C","Vet",3500000,0,0,3500000,3500000,2.99,0
"Andrelton Simmons",24,"SS","Pre-Arb",1e+06,1e+06,0,2e+06,2e+06,1.71,0
"Jonny Venters",29,"RP","Arb 2",1625000,0,0,1625000,1625000,1.39,0
"Gerald Laird",34,"C","Vet",1500000,0,0,1500000,1500000,1.28,0
"Jordan Walden",26,"RP","Arb 1",1490000,0,0,1490000,1490000,1.27,0
"Brandon Beachy",27,"SP","Pre-Arb",1450000,0,0,1450000,1450000,1.24,0
"Aaron Harang",36,"SP","Vet",1e+06,0,0,1e+06,1e+06,0.86,0
"Julio Teheran",23,"SP","Pre-Arb",8e+05,166666,0,966666,966666,0.83,0
"Emilio Bonifacio",29,"CF","Arb 3",2500000,0,0,2500000,819672,0.7,0
"Ramiro Pena",28,"2B","Arb 1",7e+05,0,0,7e+05,7e+05,0.6,0
"James Russell",28,"RP","Arb 2",1775000,0,0,1775000,581967,0.5,0
"David Carpenter",28,"RP","Pre-Arb",532500,0,0,532500,532500,0.46,0
"Evan Gattis",27,"C","Pre-Arb",520250,0,0,520250,520250,0.45,0
"Luis Avilan",24,"RP","Pre-Arb",517500,0,0,517500,517500,0.44,0
"Anthony Varvaro",29,"RP","Pre-Arb",515000,0,0,515000,515000,0.44,0
"Cory Gearrin",28,"RP","Pre-Arb",507500,0,0,507500,507500,0.43,0
"Alex Wood",23,"SP","Pre-Arb",506250,0,0,506250,506250,0.43,0
"David Hale",26,"RP","Pre-Arb",502500,0,0,502500,502500,0.43,0
"Christian Bethancourt",22,"C","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Jose Constanza",30,"RF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Philip Gosselin",25,"2B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Juan Jaime",26,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Gus Schlosser",25,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Chasen Shreve",23,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Joey Terdoslavich",25,"LF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.43,0
"Tommy La Stella",25,"2B","Pre-Arb",5e+05,0,0,5e+05,338797,0.29,0
"Shae Simmons",23,"RP","Pre-Arb",5e+05,0,0,5e+05,330601,0.28,0
"Pedro Beato",27,"RP","Pre-Arb",512500,0,0,512500,302459,0.26,0
"Ian Thomas",27,"RP","Pre-Arb",5e+05,0,0,5e+05,163934,0.14,0
