"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"David Price",30,"SP","Vet",3e+07,0,0,3e+07,3e+07,14.44,"31,000,000"
"Hanley Ramirez",32,"DH","Vet",2.2e+07,750000,0,22750000,22750000,10.95,"22,000,000"
"Rick Porcello",27,"SP","Vet",2e+07,125000,0,20125000,20125000,9.69,"20,625,000"
"David Ortiz",40,"DH","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,7.7,"16,000,000"
"Dustin Pedroia",32,"2B","Vet",1.3e+07,125000,1e+05,13225000,13225000,6.37,"13,750,000"
"Clay Buchholz",31,"SP","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,6.26,"7,486,250"
"Craig Kimbrel",28,"RP/CL","Arb 3",1.1e+07,250000,50000,11300000,11300000,5.44,"10,500,000"
"Koji Uehara",41,"RP","Vet",9e+06,0,0,9e+06,9e+06,4.33,"9,000,000"
"Chris Young",32,"RF","Vet",6500000,0,0,6500000,6500000,3.13,"6,500,000"
"Ryan Hanigan",35,"C","Vet",3700000,0,0,3700000,3700000,1.78,"3,583,333"
"Junichi Tazawa",30,"RP","Arb 3",3375000,0,0,3375000,3375000,1.62,"3,375,000"
"Aaron Hill",34,"3B","Vet",1.2e+07,0,0,1.2e+07,2644808,1.27,"11,666,667"
"Joe Kelly",28,"RP","Arb 1",2600000,0,0,2600000,2600000,1.25,"2,600,000"
"Brad Ziegler",36,"RP","Vet",5500000,0,0,5500000,2584730,1.24,"5,250,000"
"Robbie Ross",27,"RP","Arb 1",1250000,0,0,1250000,1250000,0.6,"1,250,000"
"Xander Bogaerts",23,"SS","Pre-Arb",650500,0,0,650500,650500,0.31,"650,500"
"Brock Holt",28,"2B","Pre-Arb",606000,0,0,606000,606000,0.29,"606,000"
"Drew Pomeranz",27,"SP","Arb 1",1350000,0,0,1350000,597540,0.29,"1,350,000"
"Mookie Betts",23,"RF","Pre-Arb",566000,0,0,566000,566000,0.27,"566,000"
"Jackie Bradley Jr.",26,"CF","Pre-Arb",546500,0,0,546500,546500,0.26,"546,500"
"Travis Shaw",26,"3B","Pre-Arb",515000,0,0,515000,515000,0.25,"515,000"
"Steven Wright",31,"SP","Pre-Arb",514500,0,0,514500,514500,0.25,"514,500"
"Matt Barnes",26,"RP","Pre-Arb",511000,0,0,511000,511000,0.25,"511,000"
"Heath Hembree",27,"RP","Pre-Arb",507500,0,0,507500,366036,0.18,"507,500"
"Sandy Leon",27,"C","Pre-Arb",534000,0,0,534000,350160,0.17,"534,000"
"Christian Vazquez",25,"C","Pre-Arb",513000,0,0,513000,339163,0.16,"513,000"
"Marco Hernandez",23,"SS","Pre-Arb",507500,0,0,507500,285619,0.14,"507,500"
"Eduardo Rodriguez",23,"SP","Pre-Arb",521000,0,0,521000,241995,0.12,"521,000"
"Fernando Abad",30,"RP","Arb 2",507500,0,0,507500,174699,0.08,"507,500"
"Andrew Benintendi",21,"OF","Pre-Arb",507500,0,0,507500,171926,0.08,"507,500"
"Noe Ramirez",26,"RP","Pre-Arb",509500,0,0,509500,158688,0.08,"509,500"
"Bryan Holaday",28,"C","Pre-Arb",519000,0,0,519000,158061,0.08,"519,000"
"Deven Marrero",25,"SS","Pre-Arb",507500,0,0,507500,124785,0.06,"507,500"
"Henry Owens",23,"RP","Pre-Arb",507500,0,0,507500,102601,0.05,"507,500"
"Robby Scott",26,"RP","Pre-Arb",507500,0,0,507500,85963,0.04,"507,500"
