"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jason Heyward",27,"RF","Vet",21500000,6666666,0,28166666,28166666,16.37,"23,000,000"
"Jon Lester",33,"SP","Vet",2e+07,5e+06,0,2.5e+07,2.5e+07,14.53,"25,833,333"
"Ben Zobrist",36,"2B","Vet",1.6e+07,5e+05,0,16500000,16500000,9.59,"14,000,000"
"John Lackey",38,"SP","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,9.3,"16,000,000"
"Jake Arrieta",31,"SP","Arb 3",15637500,0,0,15637500,15637500,9.09,"15,637,500"
"Wade Davis",31,"RP/CL","Vet",1e+07,0,0,1e+07,1e+07,5.81,"3,150,000"
"Jon Jay",32,"CF","Vet",8e+06,0,0,8e+06,8e+06,4.65,"8,000,000"
"Anthony Rizzo",27,"1B","Vet",7e+06,285714,0,7285714,7285714,4.23,"5,857,143"
"Koji Uehara",42,"RP","Vet",6e+06,0,0,6e+06,6e+06,3.49,"6,000,000"
"Hector Rondon",29,"RP/CL","Arb 2",5800000,0,0,5800000,5800000,3.37,"5,800,000"
"Pedro Strop",32,"RP","Arb 4",5500000,0,0,5500000,5500000,3.2,"5,925,000"
"Jose Quintana",28,"SP","Vet",7e+06,0,0,7e+06,3098331,1.8,"5,300,000"
"Brian Duensing",34,"RP","Vet",2e+06,0,0,2e+06,2e+06,1.16,"2,000,000"
"Justin Grimm",28,"RP","Arb 2",1825000,0,0,1825000,1825000,1.06,"1,825,000"
"Kris Bryant",25,"3B","Pre-Arb",1050000,0,0,1050000,1050000,0.61,"1,050,000"
"Justin Wilson",29,"RP","Arb 2",2700000,0,0,2700000,929502,0.54,"2,700,000"
"Leonys Martin",29,"CF","Arb 2",4850000,0,0,4850000,821593,0.48,"4,850,000"
"Kyle Hendricks",27,"SP","Pre-Arb",760500,0,0,760500,760500,0.44,"760,500"
"Alex Avila",30,"C","Vet",2e+06,0,0,2e+06,688527,0.4,"2,000,000"
"Addison Russell",23,"SS","Pre-Arb",644000,0,0,644000,644000,0.37,"644,000"
"Javier Baez",24,"2B","Pre-Arb",609000,0,0,609000,609000,0.35,"609,000"
"Mike Montgomery",28,"RP","Pre-Arb",570500,0,0,570500,570500,0.33,"570,500"
"C.J. Edwards",25,"RP","Pre-Arb",556000,0,0,556000,556000,0.32,"556,000"
"Albert Almora",23,"CF","Pre-Arb",552000,0,0,552000,552000,0.32,"552,000"
"Willson Contreras",25,"C","Pre-Arb",544500,0,0,544500,544500,0.32,"544,500"
"Kyle Schwarber",24,"LF","Pre-Arb",565500,0,0,565500,519120,0.3,"565,500"
"Rene Rivera",33,"C","Arb 3",1750000,0,0,1750000,420772,0.24,"1,750,000"
"Ian Happ",22,"OF","Pre-Arb",535000,0,0,535000,415066,0.24,"535,000"
"Tommy La Stella",28,"2B","Pre-Arb",573500,0,0,573500,347874,0.2,"573,500"
"Felix Pena",27,"RP","Pre-Arb",535000,0,0,535000,248455,0.14,"535,000"
"Victor Caratini",23,"C","Pre-Arb",535000,0,0,535000,219225,0.13,"535,000"
"Rob Zastryzny",25,"P","Pre-Arb",535000,0,0,535000,102305,0.06,"535,000"
"Mike Freeman",29,"2B","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Dillon Maples",25,"P","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Taylor Davis",27,"C","Pre-Arb",535000,0,0,535000,78921,0.05,"535,000"
"Jen-Ho Tseng",22,"P","Pre-Arb",535000,0,0,535000,55537,0.03,"535,000"
