"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jake Peavy",31,"RP","Vet",1.7e+07,0,75000,17075000,17075000,15.67,0
"Adam Dunn",32,"DH","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,12.85,0
"Alex Rios",31,"RF","Vet",1.2e+07,5e+05,0,12500000,12500000,11.47,0
"Paul Konerko",36,"1B","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,11.01,0
"Gavin Floyd",29,"RP","Vet",7e+06,0,0,7e+06,7e+06,6.42,0
"A.J. Pierzynski",35,"C","Vet",6e+06,0,0,6e+06,6e+06,5.51,0
"Matt Thornton",35,"RP","Vet",5500000,0,0,5500000,5500000,5.05,0
"Alexei Ramirez",30,"SS","Vet",5e+06,0,0,5e+06,5e+06,4.59,0
"Jesse Crain",30,"RP","Vet",4500000,0,0,4500000,4500000,4.13,0
"Brett Myers",31,"SP","Vet",1.1e+07,1e+06,0,1.2e+07,3840000,3.52,0
"Dayan Viciedo",23,"RF","Pre-Arb",2500000,1e+06,0,3500000,3500000,3.21,0
"Will Ohman",34,"RP","Vet",2500000,0,0,2500000,2500000,2.29,0
"John Danks",27,"SP","Arb 3",5e+05,1500000,0,2e+06,2e+06,1.84,0
"Kevin Youkilis",33,"3B","Vet",1.2e+07,250000,0,12250000,1088524,1,0
"Philip Humber",29,"SP","Arb 1",530000,0,0,530000,530000,0.49,0
"Gordon Beckham",25,"2B","Pre-Arb",520000,0,0,520000,520000,0.48,0
"Kosuke Fukudome",35,"RF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.46,0
"Chris Sale",23,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.46,0
"Alejandro De Aza",28,"LF","Pre-Arb",495000,0,0,495000,495000,0.45,0
"Brent Morel",25,"3B","Pre-Arb",490000,0,0,490000,490000,0.45,0
"Tyler Flowers",26,"C","Pre-Arb",483000,0,0,483000,483000,0.44,0
"Zach Stewart",25,"SP","Pre-Arb",481500,0,0,481500,481500,0.44,0
"Dylan Axelrod",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Anthony Carter",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Simon Castro",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Manny Corpas",29,"RP","Arb 1",480000,0,0,480000,480000,0.44,0
"Eduardo Escobar",23,"SS","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Deunte Heath",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Nate Jones",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Charlie Leesman",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Jhan Marinez",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Nestor Molina",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Brian Omogrosso",28,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Jose Quintana",23,"SP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Addison Reed",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Hector Santiago",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Donnie Veal",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.44,0
"Jordan Danks",25,"RF","Pre-Arb",480000,0,0,480000,293770,0.27,0
"Dan Johnson",32,"1B","Pre-Arb",9e+05,0,0,9e+05,162295,0.15,0
"Jose Lopez",28,"3B","Vet",480000,0,0,480000,91803,0.08,0
