"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joey Votto",30,"1B","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,10.59,0
"Brandon Phillips",33,"2B","Vet",1.1e+07,0,75000,11075000,11075000,9.77,0
"Jay Bruce",27,"RF","Arb 3",1e+07,41666,0,10041666,10041666,8.86,0
"Johnny Cueto",28,"SP","Vet",1e+07,0,25000,10025000,10025000,8.84,0
"Homer Bailey",28,"SP","Arb 3",9e+06,0,0,9e+06,9e+06,7.94,0
"Ryan Ludwick",35,"LF","Vet",7500000,1e+06,0,8500000,8500000,7.5,0
"Aroldis Chapman",26,"RP/CL","Arb 1",5e+06,2835772,25000,7860772,7860772,6.93,0
"Mat Latos",26,"SP","Arb 2",7250000,0,0,7250000,7250000,6.4,0
"Mike Leake",26,"SP","Arb 2",5925000,0,0,5925000,5925000,5.23,0
"Manny Parra",31,"RP","Vet",2e+06,0,0,2e+06,2e+06,1.76,0
"Skip Schumaker",34,"LF","Vet",2e+06,0,0,2e+06,2e+06,1.76,0
"Chris Heisey",29,"LF","Arb 1",1760000,0,0,1760000,1760000,1.55,0
"Alfredo Simon",33,"SP","Arb 2",1500000,0,0,1500000,1500000,1.32,0
"Logan Ondrusek",29,"RP","Arb 2",1450000,0,0,1450000,1450000,1.28,0
"Sam LeCure",30,"RP","Pre-Arb",1200000,0,0,1200000,1200000,1.06,0
"Ramon Santiago",34,"2B","Vet",1100000,0,0,1100000,1100000,0.97,0
"Jack Hannahan",34,"1B","Arb 3",1e+06,0,0,1e+06,1e+06,0.88,0
"Brayan Pena",32,"C","Vet",875000,0,0,875000,875000,0.77,0
"Zack Cozart",28,"SS","Pre-Arb",6e+05,0,0,6e+05,6e+05,0.53,0
"Todd Frazier",28,"3B","Pre-Arb",6e+05,0,0,6e+05,6e+05,0.53,0
"Devin Mesoraco",26,"C","Pre-Arb",525000,0,0,525000,525000,0.46,0
"Jose Diaz",30,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.44,0
"Billy Hamilton",23,"CF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.44,0
"J.J. Hoover",26,"RP","Pre-Arb",520000,0,0,520000,488743,0.43,0
"Carlos Contreras",23,"RP","Pre-Arb",5e+05,0,0,5e+05,237704,0.21,0
"Tony Cingrani",24,"RP","Pre-Arb",512500,0,0,512500,232445,0.21,0
"Donald Lutz",25,"1B","Pre-Arb",5e+05,0,0,5e+05,202185,0.18,0
"Tucker Barnhart",23,"C","Pre-Arb",5e+05,0,0,5e+05,196721,0.17,0
"Pedro Villarreal",24,"RP","Pre-Arb",5e+05,0,0,5e+05,103825,0.09,0
"Dylan Axelrod",28,"RP","Pre-Arb",5e+05,0,0,5e+05,90163,0.08,0
"Daniel Corcino",23,"RP","Pre-Arb",5e+05,0,0,5e+05,90163,0.08,0
"David Holmberg",22,"RP","Pre-Arb",5e+05,0,0,5e+05,79234,0.07,0
"Jason Bourgeois",32,"LF","Pre-Arb",5e+05,0,0,5e+05,73770,0.07,0
"Ryan Dennick",27,"RP","Pre-Arb",5e+05,0,0,5e+05,73770,0.07,0
"Yorman Rodriguez",21,"LF","Pre-Arb",5e+05,0,0,5e+05,73770,0.07,0
