"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Carlos Gonzalez",31,"RF","Vet",2e+07,428571,0,20428571,20428571,14.66,"11,428,571"
"Greg Holland",31,"RP/CL","Vet",6e+06,0,7e+06,1.3e+07,1.3e+07,9.33,"7,000,000"
"Nolan Arenado",26,"3B","Arb 2",11750000,0,0,11750000,11750000,8.43,"14,750,000"
"Ian Desmond",31,"LF","Vet",8e+06,0,0,8e+06,8e+06,5.74,"14,000,000"
"Gerardo Parra",30,"LF","Vet",8e+06,0,0,8e+06,8e+06,5.74,"9,166,667"
"Charlie Blackmon",31,"CF","Arb 2",7300000,0,0,7300000,7300000,5.24,"7,300,000"
"Jake McGee",30,"RP","Arb 3",5900000,0,0,5900000,5900000,4.23,"5,900,000"
"D.J. LeMahieu",28,"2B","Arb 2",4800000,0,0,4800000,4800000,3.45,"3,900,000"
"Tyler Chatwood",27,"SP","Arb 3",4400000,0,0,4400000,4400000,3.16,"4,400,000"
"Michael Dunn",32,"RP","Vet",4e+06,0,0,4e+06,4e+06,2.87,"6,333,333"
"Pat Neshek",36,"RP","Vet",6500000,0,0,6500000,2379773,1.71,"6,250,000"
"Adam Ottavino",31,"RP","Arb 3",2100000,0,0,2100000,2100000,1.51,"3,466,667"
"Jonathan Lucroy",31,"C","Vet",5250000,0,0,5250000,1836096,1.32,"2,200,000"
"Mark Reynolds",33,"3B","Vet",1500000,0,0,1500000,1500000,1.08,"1,500,000"
"Ryan Hanigan",36,"C","Vet",1250000,0,0,1250000,1140777,0.82,"1,250,000"
"Alexi Amarista",28,"SS","Arb 3",1100000,0,0,1100000,1100000,0.79,"1,250,000"
"Chris Rusin",30,"RP","Pre-Arb",545000,0,0,545000,545000,0.39,"545,000"
"Tyler Anderson",27,"SP","Pre-Arb",540000,0,0,540000,540000,0.39,"540,000"
"Jon Gray",25,"SP","Pre-Arb",540000,0,0,540000,540000,0.39,"540,000"
"Trevor Story",24,"SS","Pre-Arb",540000,0,0,540000,540000,0.39,"540,000"
"Kyle Freeland",24,"RP","Pre-Arb",535000,0,0,535000,535000,0.38,"535,000"
"Chad Bettis",28,"SP","Pre-Arb",545000,0,0,545000,515194,0.37,"545,000"
"Antonio Senzatela",22,"SP","Pre-Arb",535000,0,0,535000,502756,0.36,"535,000"
"Scott Oberg",27,"RP","Pre-Arb",540000,0,0,540000,498719,0.36,"540,000"
"German Marquez",22,"SP","Pre-Arb",537000,0,0,537000,489978,0.35,"537,000"
"Pat Valaika",24,"SS","Pre-Arb",535000,0,0,535000,488141,0.35,"535,000"
"Tony Wolters",25,"C","Pre-Arb",540000,0,0,540000,475111,0.34,"540,000"
"Tom Murphy",26,"C","Pre-Arb",537000,0,0,537000,352080,0.25,"537,000"
"Jeff Hoffman",24,"SP","Pre-Arb",535000,0,0,535000,318607,0.23,"535,000"
"Raimel Tapia",23,"LF","Pre-Arb",535000,0,0,535000,292300,0.21,"535,000"
"Carlos Estevez",24,"RP","Pre-Arb",537000,0,0,537000,266994,0.19,"537,000"
"Zac Rosscup",29,"RP","Pre-Arb",535000,0,0,535000,163688,0.12,"535,000"
"Mike Tauchman",26,"CF","Pre-Arb",535000,0,0,535000,131535,0.09,"535,000"
"Ryan McMahon",22,"3B","Pre-Arb",535000,0,0,535000,111074,0.08,"535,000"
"Shane Carle",25,"RP","Pre-Arb",535000,0,0,535000,87690,0.06,"535,000"
