"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Miguel Cabrera",31,"1B","Vet",2.2e+07,0,0,2.2e+07,2.2e+07,12.79,0
"Justin Verlander",31,"SP","Vet",2e+07,0,0,2e+07,2e+07,11.63,0
"Ian Kinsler",32,"2B","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,9.3,0
"Max Scherzer",29,"SP","Arb 3",15525000,0,0,15525000,15525000,9.03,0
"Torii Hunter",38,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,8.14,0
"Victor Martinez",35,"DH","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,6.98,0
"Joe Nathan",39,"RP","Vet",9e+06,0,0,9e+06,9e+06,5.23,0
"Rick Porcello",25,"SP","Arb 3",8500000,0,0,8500000,8500000,4.94,0
"Rajai Davis",33,"CF","Vet",5e+06,0,0,5e+06,5e+06,2.91,0
"David Price",28,"SP","Arb 2",4513661,0,0,4513661,4513661,2.62,0
"Alex Avila",27,"C","Arb 2",4150000,0,0,4150000,4150000,2.41,0
"Joba Chamberlain",28,"RP","Vet",2500000,0,5e+05,3e+06,3e+06,1.74,0
"Joakim Soria",30,"RP","Vet",5500000,0,0,5500000,2073770,1.21,0
"Phil Coke",31,"RP","Arb 3",1900000,0,0,1900000,1900000,1.1,0
"Jose Iglesias",24,"SS","Pre-Arb",1650000,0,0,1650000,1650000,0.96,0
"Andy Dirks",28,"LF","Arb 1",1625000,0,0,1625000,1625000,0.94,0
"Don Kelly",34,"CF","Arb 3",1e+06,0,0,1e+06,1e+06,0.58,0
"Alberto Alburquerque",28,"RP","Pre-Arb",837500,0,0,837500,837500,0.49,0
"Bruce Rondon",23,"RP","Pre-Arb",505000,0,0,505000,505000,0.29,0
"Andrew Romine",28,"SS","Pre-Arb",504000,0,0,504000,504000,0.29,0
"Bryan Holaday",26,"C","Pre-Arb",502000,0,0,502000,502000,0.29,0
"Nick Castellanos",22,"3B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.29,0
"J.D. Martinez",26,"DH","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.29,0
"Eugenio Suarez",22,"3B","Pre-Arb",5e+05,0,0,5e+05,316939,0.18,0
"Blaine Hardy",27,"RP","Pre-Arb",5e+05,0,0,5e+05,284153,0.17,0
"Pat McCoy",25,"RP","Pre-Arb",5e+05,0,0,5e+05,234972,0.14,0
"Ezequiel Carrera",27,"CF","Pre-Arb",5e+05,0,0,5e+05,161202,0.09,0
"Robbie Ray",22,"SP","Pre-Arb",5e+05,0,0,5e+05,150273,0.09,0
"Tyler Collins",24,"LF","Pre-Arb",5e+05,0,0,5e+05,131147,0.08,0
"Jim Johnson",31,"RP","Arb 4",5e+05,0,0,5e+05,117486,0.07,0
"Kyle Lobstein",24,"RP","Pre-Arb",5e+05,0,0,5e+05,90163,0.05,0
"Kyle Ryan",22,"RP","Pre-Arb",5e+05,0,0,5e+05,81967,0.05,0
"James McCann",24,"C","Pre-Arb",5e+05,0,0,5e+05,79234,0.05,0
"Hernan Perez",23,"LF","Pre-Arb",5e+05,0,0,5e+05,76502,0.04,0
"Chad Smith",24,"RP","Pre-Arb",0,0,0,0,0,0,0
