"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jed Lowrie",31,"2B","Vet",8e+06,0,0,8e+06,8e+06,9.82,"7,666,667"
"Colby Rasmus",28,"LF","Vet",8e+06,0,0,8e+06,8e+06,9.82,"8,000,000"
"Luke Gregerson",31,"RP","Vet",6e+06,0,50000,6050000,6050000,7.43,"6,166,667"
"Pat Neshek",34,"RP","Vet",5500000,0,0,5500000,5500000,6.75,"6,250,000"
"Scott Kazmir",31,"SP","Vet",4448087,0,0,4448087,4448087,5.46,"11,000,000"
"Luis Valbuena",29,"3B","Arb 3",4200000,0,0,4200000,4200000,5.16,"4,200,000"
"Chris Carter",28,"1B","Arb 1",4175000,0,0,4175000,4175000,5.13,"4,175,000"
"Jason Castro",28,"C","Arb 2",4e+06,0,0,4e+06,4e+06,4.91,"4,000,000"
"Chad Qualls",36,"RP","Vet",3e+06,0,0,3e+06,3e+06,3.68,"3,000,000"
"Carlos Gomez",29,"CF","Vet",2928961,0,0,2928961,2928961,3.6,"8,000,000"
"Jose Altuve",25,"2B","Arb 1",2500000,187500,25000,2712500,2712500,3.33,"3,125,000"
"Tony Sipp",31,"RP","Arb 3",2400000,0,0,2400000,2400000,2.95,"2,400,000"
"Hank Conger",27,"C","Arb 1",1075000,0,0,1075000,1075000,1.32,"1,075,000"
"Marwin Gonzalez",26,"LF","Arb 1",1062500,0,0,1062500,1062500,1.3,"1,062,500"
"Oliver Perez",33,"RP","Vet",778688,0,0,778688,778688,0.96,"2,125,000"
"Joe Thatcher",33,"RP","Vet",765027,0,0,765027,765027,0.94,"1,000,000"
"Evan Gattis",28,"C","Pre-Arb",526500,0,0,526500,526500,0.65,"526,500"
"Dallas Keuchel",27,"SP","Pre-Arb",524500,0,0,524500,524500,0.64,"524,500"
"Collin McHugh",28,"SP","Pre-Arb",516300,0,0,516300,516300,0.63,"516,300"
"Will Harris",30,"RP","Pre-Arb",513900,0,0,513900,513900,0.63,"513,900"
"George Springer",25,"RF","Pre-Arb",512900,0,0,512900,512900,0.63,"512,900"
"Jake Marisnick",24,"CF","Pre-Arb",511200,0,0,511200,511200,0.63,"511,200"
"Josh Fields",29,"RP","Pre-Arb",516700,0,0,516700,482818,0.59,"516,700"
"Preston Tucker",24,"RF","Pre-Arb",507500,0,0,507500,385478,0.47,"507,500"
"Carlos Correa",20,"SS","Pre-Arb",507500,0,0,507500,330013,0.41,"507,500"
"Lance McCullers",21,"SP","Pre-Arb",507500,0,0,507500,330013,0.41,"507,500"
"Jonathan Villar",24,"SS","Pre-Arb",513000,0,0,513000,266311,0.33,"513,000"
"Vincent Velasquez",23,"SP","Pre-Arb",507500,0,0,507500,230177,0.28,"507,500"
"Michael Fiers",30,"SP","Pre-Arb",512500,0,0,512500,187636,0.23,"512,500"
"Matt Duffy",26,"1B","Pre-Arb",507500,0,0,507500,141434,0.17,"507,500"
"Max Stassi",24,"C","Pre-Arb",507500,0,0,507500,99836,0.12,"507,500"
"Michael Feliz",22,"RP","Pre-Arb",507500,0,0,507500,97062,0.12,"507,500"
"Dan Straily",26,"SP","Pre-Arb",507500,0,0,507500,66557,0.08,"507,500"
