"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Alex Gordon",33,"LF","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,10.79,"18,000,000"
"Ian Kennedy",32,"SP","Vet",13500000,0,0,13500000,13500000,9.11,"14,000,000"
"Eric Hosmer",27,"1B","Arb 3",12250000,0,0,12250000,12250000,8.26,"12,250,000"
"Lorenzo Cain",31,"CF","Arb 3",1.1e+07,0,0,1.1e+07,1.1e+07,7.42,"8,750,000"
"Mike Moustakas",28,"3B","Arb 3",8700000,0,0,8700000,8700000,5.87,"7,150,000"
"Joakim Soria",33,"RP","Vet",8e+06,0,0,8e+06,8e+06,5.4,"8,333,333"
"Jason Vargas",34,"SP","Vet",8e+06,0,0,8e+06,8e+06,5.4,"8,000,000"
"Alcides Escobar",30,"SS","Vet",6500000,0,0,6500000,6500000,4.39,"2,625,000"
"Kelvin Herrera",27,"RP","Arb 3",5325000,0,0,5325000,5325000,3.59,"5,325,000"
"Danny Duffy",28,"SP","Arb 3",5e+06,0,0,5e+06,5e+06,3.37,"13,000,000"
"Jason Hammel",34,"SP","Vet",5e+06,0,0,5e+06,5e+06,3.37,"8,000,000"
"Salvador Perez",27,"C","Vet",3e+06,1200000,0,4200000,4200000,2.83,"8,750,000"
"Mike Minor",29,"RP","Arb 3",4e+06,0,0,4e+06,4e+06,2.7,"3,625,000"
"Brandon Moss",33,"DH","Vet",3750000,0,0,3750000,3750000,2.53,"6,000,000"
"Jorge Soler",25,"LF","Pre-Arb",3e+06,666667,0,3666667,3666667,2.47,"3,333,333"
"Melky Cabrera",32,"LF","Vet",1.5e+07,0,0,1.5e+07,2622944,1.77,"14,000,000"
"Drew Butera",33,"C","Vet",1500000,0,0,1500000,1500000,1.01,"1,900,000"
"Peter Moylan",38,"RP","Vet",1e+06,0,0,1e+06,1e+06,0.67,"1,000,000"
"Brandon Maurer",26,"RP","Arb 1",1900000,0,0,1900000,726775,0.49,"1,900,000"
"Trevor Cahill",29,"RP","Vet",1750000,0,0,1750000,669410,0.45,"1,750,000"
"Cheslor Cuthbert",24,"3B","Pre-Arb",552250,0,0,552250,552250,0.37,"552,250"
"Scott Alexander",27,"RP","Pre-Arb",535000,0,0,535000,505679,0.34,"535,000"
"Whit Merrifield",28,"2B","Pre-Arb",543750,0,0,543750,496157,0.33,"543,750"
"Jorge Bonifacio",24,"RF","Pre-Arb",535000,0,0,535000,479372,0.32,"535,000"
"Paulo Orlando",31,"RF","Pre-Arb",558250,0,0,558250,402732,0.27,"558,250"
"Kevin McCarthy",25,"RP","Pre-Arb",535000,0,0,535000,277685,0.19,"535,000"
"Ramon Torres",24,"SS","Pre-Arb",535000,0,0,535000,257224,0.17,"535,000"
"Jake Junis",24,"SP","Pre-Arb",535000,0,0,535000,242609,0.16,"535,000"
"Ryan Buchter",30,"RP","Pre-Arb",544700,0,0,544700,208390,0.14,"544,700"
"Eric Skoglund",24,"SP","Pre-Arb",535000,0,0,535000,192918,0.13,"535,000"
"Adalberto Mondesi",21,"SS","Pre-Arb",537250,0,0,537250,149736,0.1,"537,250"
"Cameron Gallagher",24,"C","Pre-Arb",535000,0,0,535000,137381,0.09,"535,000"
"Terrance Gore",26,"LF","Pre-Arb",536500,0,0,536500,126076,0.09,"536,500"
"Sam Gaviglio",27,"SP","Pre-Arb",535000,0,0,535000,90613,0.06,"535,000"
"Andres Machado",24,"P","Pre-Arb",535000,0,0,535000,90613,0.06,"535,000"
"Mike Morin",26,"RP","Pre-Arb",535000,0,0,535000,58460,0.04,"535,000"
