"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Mike Trout",26,"CF","Vet",33250000,833333,0,34083333,34083333,19.61,"24,083,333"
"Justin Upton",30,"LF","Vet",1.6e+07,0,0,1.6e+07,1.6e+07,9.21,"21,200,000"
"Andrelton Simmons",28,"SS","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,6.33,"8,285,714"
"Kole Calhoun",30,"RF","Arb 3",8500000,0,0,8500000,8500000,4.89,"8,666,667"
"Jim Johnson",35,"RP","Vet",4500000,5e+05,0,5e+06,5e+06,2.88,"5,000,000"
"Matt Shoemaker",31,"SP","Arb 2",4125000,0,0,4125000,4125000,2.37,"4,125,000"
"Tyler Skaggs",26,"SP","Arb 1",1875000,0,0,1875000,1875000,1.08,"1,875,000"
"Blake Parker",33,"RP/CL","Arb 1",1800000,0,0,1800000,1800000,1.04,"1,800,000"
"Cam Bedrosian",26,"RP","Arb 1",1100000,0,0,1100000,1100000,0.63,"1,100,000"
"Jose Alvarez",29,"RP","Arb 1",1050000,0,0,1050000,1050000,0.6,"1,050,000"
"Andrew Heaney",27,"SP","Arb 1",8e+05,0,0,8e+05,8e+05,0.46,"800,000"
"Jefry Marte",27,"1B","Pre-Arb",559000,0,0,559000,559000,0.32,"559,000"
"Noe Ramirez",28,"RP","Pre-Arb",548500,0,0,548500,548500,0.32,"548,500"
"Shohei Ohtani",23,"DH","Pre-Arb",545000,0,0,545000,545000,0.31,"545,000"
"Hansel Robles",27,"RP","Arb 1",9e+05,0,0,9e+05,489300,0.28,"900,000"
"Justin Anderson",25,"RP","Pre-Arb",545000,0,0,545000,474660,0.27,"545,000"
"Jaime Barria",21,"SP","Pre-Arb",545000,0,0,545000,398480,0.23,"545,000"
"Jose Briceno",25,"C","Pre-Arb",545000,0,0,545000,348670,0.2,"545,000"
"Felix Pena",28,"SP","Pre-Arb",545000,0,0,545000,345740,0.2,"545,000"
"David Fletcher",24,"SS","Pre-Arb",545000,0,0,545000,325230,0.19,"545,000"
"Odrisamer Despaigne",31,"SP","Pre-Arb",1090000,0,0,1090000,263700,0.15,"1,090,000"
"Kaleb Cowart",26,"3B","Pre-Arb",545000,0,0,545000,243190,0.14,"545,000"
"Taylor Cole",28,"RP","Pre-Arb",545000,0,0,545000,205100,0.12,"545,000"
"Francisco Arcia",28,"C","Pre-Arb",545000,0,0,545000,196310,0.11,"545,000"
"Eric Young Jr.",33,"CF","Vet",545000,0,0,545000,193380,0.11,"545,000"
"Jose Miguel Fernandez",30,"2B","Pre-Arb",545000,0,0,545000,169940,0.1,"545,000"
"Jabari Blash",28,"LF","Pre-Arb",545000,0,0,545000,167010,0.1,"545,000"
"Michael Hermosillo",23,"OF","Pre-Arb",545000,0,0,545000,164080,0.09,"545,000"
"Deck McGuire",29,"SP","Pre-Arb",545000,0,0,545000,161150,0.09,"545,000"
"Taylor Ward",24,"C","Pre-Arb",545000,0,0,545000,143570,0.08,"545,000"
"Ty Buttrey",25,"SP","Pre-Arb",545000,0,0,545000,134780,0.08,"545,000"
"Williams Jerez",26,"RP","Pre-Arb",545000,0,0,545000,134780,0.08,"545,000"
"Miguel Almonte",25,"RP","Pre-Arb",545000,0,0,545000,93760,0.05,"545,000"
"Junichi Tazawa",32,"RP","Vet",545000,0,0,545000,87900,0.05,"545,000"
"Joe Hudson",27,"C","Pre-Arb",545000,0,0,545000,79110,0.05,"545,000"
"Parker Bridwell",26,"SP","Pre-Arb",545000,0,0,545000,70320,0.04,"545,000"
"Sherman Johnson",27,"2B","Pre-Arb",545000,0,0,545000,38090,0.02,"545,000"
